alpha,gamma,c,mean_energy
0.1,0.1,0.01,-2.641277911617799
0.1,0.1,0.017777777777777778,-2.698976081573325
0.1,0.1,0.025555555555555557,-2.602923962682648
0.1,0.1,0.03333333333333333,-2.5328899058970658
0.1,0.1,0.04111111111111111,-2.2553788844933513
0.1,0.1,0.04888888888888889,-2.1596519421980993
0.1,0.1,0.05666666666666667,-2.1385491706261157
0.1,0.1,0.06444444444444444,-2.34923093070807
0.1,0.1,0.07222222222222223,-2.6029907086229107
0.1,0.1,0.08,-2.8012002264517895
0.1,0.17777777777777778,0.01,-2.638218566394585
0.1,0.17777777777777778,0.017777777777777778,-2.6754559585140356
0.1,0.17777777777777778,0.025555555555555557,-2.526091732806405
0.1,0.17777777777777778,0.03333333333333333,-2.320181769252319
0.1,0.17777777777777778,0.04111111111111111,-2.055569327363753
0.1,0.17777777777777778,0.04888888888888889,-2.348527977697473
0.1,0.17777777777777778,0.05666666666666667,-2.1051151251507525
0.1,0.17777777777777778,0.06444444444444444,-2.6555121168051667
0.1,0.17777777777777778,0.07222222222222223,-2.4154489890949007
0.1,0.17777777777777778,0.08,-2.543675195331989
0.1,0.25555555555555554,0.01,-2.4246030062604427
0.1,0.25555555555555554,0.017777777777777778,-2.565665621665702
0.1,0.25555555555555554,0.025555555555555557,-2.6263061840203363
0.1,0.25555555555555554,0.03333333333333333,-2.0997480780909017
0.1,0.25555555555555554,0.04111111111111111,-2.0088771796681035
0.1,0.25555555555555554,0.04888888888888889,-2.331112720134095
0.1,0.25555555555555554,0.05666666666666667,-2.295405897682545
0.1,0.25555555555555554,0.06444444444444444,-2.5487273846065346
0.1,0.25555555555555554,0.07222222222222223,-2.5331205667872103
0.1,0.25555555555555554,0.08,-2.298856988486346
0.1,0.33333333333333337,0.01,-2.55183428851781
0.1,0.33333333333333337,0.017777777777777778,-2.4513499462698354
0.1,0.33333333333333337,0.025555555555555557,-2.633299059775685
0.1,0.33333333333333337,0.03333333333333333,-2.6701103640630257
0.1,0.33333333333333337,0.04111111111111111,-2.4743508825995444
0.1,0.33333333333333337,0.04888888888888889,-2.215051888803406
0.1,0.33333333333333337,0.05666666666666667,-2.533650215349968
0.1,0.33333333333333337,0.06444444444444444,-2.2729264161227833
0.1,0.33333333333333337,0.07222222222222223,-2.5684642470038512
0.1,0.33333333333333337,0.08,-2.4423960645941007
0.1,0.4111111111111111,0.01,-2.0244187988827975
0.1,0.4111111111111111,0.017777777777777778,-2.6810912551514874
0.1,0.4111111111111111,0.025555555555555557,-2.228899607533134
0.1,0.4111111111111111,0.03333333333333333,-2.0535279275472758
0.1,0.4111111111111111,0.04111111111111111,-2.699752032512718
0.1,0.4111111111111111,0.04888888888888889,-2.469467566670816
0.1,0.4111111111111111,0.05666666666666667,-1.8987745511143685
0.1,0.4111111111111111,0.06444444444444444,-2.726839701926644
0.1,0.4111111111111111,0.07222222222222223,-2.5023355931742977
0.1,0.4111111111111111,0.08,-2.800475415718327
0.1,0.48888888888888893,0.01,-2.361319614015629
0.1,0.48888888888888893,0.017777777777777778,-2.5901245878861543
0.1,0.48888888888888893,0.025555555555555557,-2.143249952162698
0.1,0.48888888888888893,0.03333333333333333,-2.6519100643132143
0.1,0.48888888888888893,0.04111111111111111,-2.771154108940537
0.1,0.48888888888888893,0.04888888888888889,-2.4277573868255127
0.1,0.48888888888888893,0.05666666666666667,-2.4139601115955545
0.1,0.48888888888888893,0.06444444444444444,-1.9635620894533534
0.1,0.48888888888888893,0.07222222222222223,-2.5637233518371323
0.1,0.48888888888888893,0.08,-1.6880601794570467
0.1,0.5666666666666667,0.01,-2.1301264520607983
0.1,0.5666666666666667,0.017777777777777778,-2.4949176470176573
0.1,0.5666666666666667,0.025555555555555557,-2.521198043179927
0.1,0.5666666666666667,0.03333333333333333,-2.323817853732689
0.1,0.5666666666666667,0.04111111111111111,-2.5661686997713247
0.1,0.5666666666666667,0.04888888888888889,-2.9443424090719814
0.1,0.5666666666666667,0.05666666666666667,-2.2916873836050846
0.1,0.5666666666666667,0.06444444444444444,-2.3869180497112614
0.1,0.5666666666666667,0.07222222222222223,-2.3490384035807335
0.1,0.5666666666666667,0.08,-2.608910642448014
0.1,0.6444444444444445,0.01,-2.5528014944088406
0.1,0.6444444444444445,0.017777777777777778,-2.4299035379807323
0.1,0.6444444444444445,0.025555555555555557,-2.4248382475491868
0.1,0.6444444444444445,0.03333333333333333,-2.8757379535185104
0.1,0.6444444444444445,0.04111111111111111,-2.3124945720801136
0.1,0.6444444444444445,0.04888888888888889,-2.387854698188882
0.1,0.6444444444444445,0.05666666666666667,-2.2075571602793898
0.1,0.6444444444444445,0.06444444444444444,-2.7434466316325414
0.1,0.6444444444444445,0.07222222222222223,-2.5998663675260727
0.1,0.6444444444444445,0.08,-2.4706382274011167
0.1,0.7222222222222222,0.01,-2.4426470738135246
0.1,0.7222222222222222,0.017777777777777778,-1.9481893993634258
0.1,0.7222222222222222,0.025555555555555557,-2.5129105868300443
0.1,0.7222222222222222,0.03333333333333333,-2.5659387877023603
0.1,0.7222222222222222,0.04111111111111111,-2.469100370912205
0.1,0.7222222222222222,0.04888888888888889,-2.667401398990944
0.1,0.7222222222222222,0.05666666666666667,-2.409446031860301
0.1,0.7222222222222222,0.06444444444444444,-2.2827492243991743
0.1,0.7222222222222222,0.07222222222222223,-2.32054057107272
0.1,0.7222222222222222,0.08,-2.510078497385498
0.1,0.8,0.01,-2.593679164159075
0.1,0.8,0.017777777777777778,-2.5746132083651387
0.1,0.8,0.025555555555555557,-1.968610656724109
0.1,0.8,0.03333333333333333,-2.866728648973493
0.1,0.8,0.04111111111111111,-2.7142659725925156
0.1,0.8,0.04888888888888889,-2.6279938373335114
0.1,0.8,0.05666666666666667,-2.6735342701613694
0.1,0.8,0.06444444444444444,-2.622267989866934
0.1,0.8,0.07222222222222223,-2.8464126338089453
0.1,0.8,0.08,-2.5040484492084536
0.17777777777777778,0.1,0.01,-2.705464025744144
0.17777777777777778,0.1,0.017777777777777778,-2.2667140936075443
0.17777777777777778,0.1,0.025555555555555557,-2.412223057095065
0.17777777777777778,0.1,0.03333333333333333,-2.3477050748394084
0.17777777777777778,0.1,0.04111111111111111,-2.244424276581994
0.17777777777777778,0.1,0.04888888888888889,-2.5100811386913784
0.17777777777777778,0.1,0.05666666666666667,-2.3776246052736174
0.17777777777777778,0.1,0.06444444444444444,-2.052394305713997
0.17777777777777778,0.1,0.07222222222222223,-2.505284872256269
0.17777777777777778,0.1,0.08,-2.6107135295876844
0.17777777777777778,0.17777777777777778,0.01,-2.4682203660736355
0.17777777777777778,0.17777777777777778,0.017777777777777778,-2.4225044429471594
0.17777777777777778,0.17777777777777778,0.025555555555555557,-2.090538554302131
0.17777777777777778,0.17777777777777778,0.03333333333333333,-2.154443018972723
0.17777777777777778,0.17777777777777778,0.04111111111111111,-2.420933150021218
0.17777777777777778,0.17777777777777778,0.04888888888888889,-2.0690113084962554
0.17777777777777778,0.17777777777777778,0.05666666666666667,-2.3903234960298034
0.17777777777777778,0.17777777777777778,0.06444444444444444,-2.6054048983325933
0.17777777777777778,0.17777777777777778,0.07222222222222223,-2.2906616301520994
0.17777777777777778,0.17777777777777778,0.08,-2.3421600264641635
0.17777777777777778,0.25555555555555554,0.01,-2.0784945263205254
0.17777777777777778,0.25555555555555554,0.017777777777777778,-2.661198424865711
0.17777777777777778,0.25555555555555554,0.025555555555555557,-2.0810774236421925
0.17777777777777778,0.25555555555555554,0.03333333333333333,-2.4113391629217436
0.17777777777777778,0.25555555555555554,0.04111111111111111,-2.806982517711375
0.17777777777777778,0.25555555555555554,0.04888888888888889,-2.5267530288446176
0.17777777777777778,0.25555555555555554,0.05666666666666667,-2.289268845356191
0.17777777777777778,0.25555555555555554,0.06444444444444444,-2.1398685454104136
0.17777777777777778,0.25555555555555554,0.07222222222222223,-1.7059584881579795
0.17777777777777778,0.25555555555555554,0.08,-2.605383605575734
0.17777777777777778,0.33333333333333337,0.01,-2.269073815053558
0.17777777777777778,0.33333333333333337,0.017777777777777778,-2.60543305934916
0.17777777777777778,0.33333333333333337,0.025555555555555557,-2.430691435362914
0.17777777777777778,0.33333333333333337,0.03333333333333333,-2.7255746536166945
0.17777777777777778,0.33333333333333337,0.04111111111111111,-2.530684327655779
0.17777777777777778,0.33333333333333337,0.04888888888888889,-2.786361732024591
0.17777777777777778,0.33333333333333337,0.05666666666666667,-2.2230288042250397
0.17777777777777778,0.33333333333333337,0.06444444444444444,-2.435500921632971
0.17777777777777778,0.33333333333333337,0.07222222222222223,-2.3766992640367213
0.17777777777777778,0.33333333333333337,0.08,-1.7315508158898942
0.17777777777777778,0.4111111111111111,0.01,-2.4877198855228357
0.17777777777777778,0.4111111111111111,0.017777777777777778,-2.3459095653171964
0.17777777777777778,0.4111111111111111,0.025555555555555557,-2.2646665938719934
0.17777777777777778,0.4111111111111111,0.03333333333333333,-2.5590926949404214
0.17777777777777778,0.4111111111111111,0.04111111111111111,-2.3150817660104486
0.17777777777777778,0.4111111111111111,0.04888888888888889,-2.6769540067447304
0.17777777777777778,0.4111111111111111,0.05666666666666667,-2.708966801474149
0.17777777777777778,0.4111111111111111,0.06444444444444444,-2.1499232737340694
0.17777777777777778,0.4111111111111111,0.07222222222222223,-2.583894215234907
0.17777777777777778,0.4111111111111111,0.08,-2.7042051642121074
0.17777777777777778,0.48888888888888893,0.01,-2.1842282004383717
0.17777777777777778,0.48888888888888893,0.017777777777777778,-2.380062842059428
0.17777777777777778,0.48888888888888893,0.025555555555555557,-2.1861913942143025
0.17777777777777778,0.48888888888888893,0.03333333333333333,-2.6841729826757397
0.17777777777777778,0.48888888888888893,0.04111111111111111,-2.3307584023497503
0.17777777777777778,0.48888888888888893,0.04888888888888889,-1.784331355447581
0.17777777777777778,0.48888888888888893,0.05666666666666667,-2.655560158072345
0.17777777777777778,0.48888888888888893,0.06444444444444444,-2.7675623581895032
0.17777777777777778,0.48888888888888893,0.07222222222222223,-2.144681065548162
0.17777777777777778,0.48888888888888893,0.08,-2.390266309535624
0.17777777777777778,0.5666666666666667,0.01,-2.600613876029158
0.17777777777777778,0.5666666666666667,0.017777777777777778,-2.474177352433545
0.17777777777777778,0.5666666666666667,0.025555555555555557,-2.3212793350553493
0.17777777777777778,0.5666666666666667,0.03333333333333333,-2.510294495320953
