fraction,gs,fes,gap,num_qubits
0.0,-18.0,-16.0,2.0,18
0.02,-17.5638,-15.6146,1.9492,18
0.04,-17.1303,-15.2315,1.8988,18
0.06,-16.6996,-14.8509,1.8487,18
0.08,-16.2717,-14.4729,1.7988,18
0.1,-15.8468,-14.0974,1.7494,18
0.12,-15.4248,-13.7247,1.7001,18
0.14,-15.0059,-13.3547,1.6512,18
0.16,-14.5903,-12.9875,1.6028,18
0.18,-14.1779,-12.6233,1.5546,18
0.2,-13.7688,-12.262,1.5068,18
0.22,-13.3633,-11.9039,1.4594,18
0.24,-12.9614,-11.549,1.4124,18
0.26,-12.5632,-11.1973,1.3659,18
0.28,-12.1688,-10.849,1.3198,18
0.3,-11.7784,-10.5042,1.2742,18
0.32,-11.3922,-10.1634,1.2288,18
0.34,-11.0103,-9.8265,1.1838,18
0.36,-10.6328,-9.4936,1.1392,18
0.38,-10.2601,-9.1649,1.0952,18
0.4,-9.8923,-8.8405,1.0518,18
0.42,-9.5296,-8.5207,1.0089,18
0.44,-9.1725,-8.2058,0.9667,18
0.46,-8.8211,-7.8959,0.9252,18
0.48,-8.4758,-7.5913,0.8845,18
0.5,-8.1372,-7.2924,0.8448,18
0.52,-7.8055,-6.9995,0.806,18
0.54,-7.4815,-6.713,0.7685,18
0.56,-7.1656,-6.4335,0.7321,18
0.58,-6.8585,-6.1612,0.6973,18
0.6,-6.561,-5.897,0.664,18
0.62,-6.2738,-5.6413,0.6325,18
0.64,-5.9979,-5.3951,0.6028,18
0.66,-5.7342,-5.1593,0.5749,18
0.68,-5.4837,-4.9355,0.5482,18
0.7000000000000001,-5.2473,-4.7355,0.5118,18
0.72,-5.0261,-4.5512,0.4749,18
0.74,-4.8212,-4.3812,0.44,18
0.76,-4.6335,-4.2259,0.4076,18
0.78,-4.464,-4.0855,0.3785,18
0.8,-4.3139,-3.9726,0.3413,18
0.8200000000000001,-4.1841,-3.8788,0.3053,18
0.84,-4.0756,-3.8043,0.2713,18
0.86,-3.9893,-3.7493,0.24,18
0.88,-3.9255,-3.7134,0.2121,18
0.9,-3.8847,-3.6962,0.1885,18
0.92,-3.8668,-3.6965,0.1703,18
0.9400000000000001,-3.8718,-3.7131,0.1587,18
0.96,-3.8994,-3.7455,0.1539,18
0.98,-3.9488,-3.7945,0.1543,18
1.0,-4.0192,-3.8619,0.1573,18
