fraction,gs,fes,gap,num_qubits
0.0,-16.0,-14.0,2.0,16
0.02,-15.5259,-13.58,1.9459,16
0.04,-15.0617,-13.1682,1.8935,16
0.06,-14.607,-12.7643,1.8427,16
0.08,-14.1616,-12.3684,1.7932,16
0.1,-13.725,-11.9802,1.7448,16
0.12,-13.2971,-11.5997,1.6974,16
0.14,-12.8775,-11.2268,1.6507,16
0.16,-12.466,-10.8615,1.6045,16
0.18,-12.0623,-10.5036,1.5587,16
0.2,-11.6662,-10.153,1.5132,16
0.22,-11.2773,-9.8095,1.4678,16
0.24,-10.8956,-9.4729,1.4227,16
0.26,-10.5208,-9.1431,1.3777,16
0.28,-10.1528,-8.8199,1.3329,16
0.3,-9.7915,-8.5032,1.2883,16
0.32,-9.4366,-8.193,1.2436,16
0.34,-9.0882,-7.889,1.1992,16
0.36,-8.7462,-7.5913,1.1549,16
0.38,-8.4105,-7.2997,1.1108,16
0.4,-8.0812,-7.0143,1.0669,16
0.42,-7.7583,-6.7349,1.0234,16
0.44,-7.4419,-6.4616,0.9803,16
0.46,-7.1321,-6.1943,0.9378,16
0.48,-6.8291,-5.933,0.8961,16
0.5,-6.533,-5.6778,0.8552,16
0.52,-6.2444,-5.4288,0.8156,16
0.54,-5.9634,-5.186,0.7774,16
0.56,-5.6906,-4.9495,0.7411,16
0.58,-5.4266,-4.7197,0.7069,16
0.6,-5.1721,-4.4969,0.6752,16
0.62,-4.9276,-4.2854,0.6422,16
0.64,-4.6942,-4.0924,0.6018,16
0.66,-4.4727,-3.9106,0.5621,16
0.68,-4.2639,-3.7408,0.5231,16
0.7000000000000001,-4.0686,-3.5836,0.485,16
0.72,-3.8876,-3.4396,0.448,16
0.74,-3.7215,-3.3091,0.4124,16
0.76,-3.5708,-3.1924,0.3784,16
0.78,-3.4361,-3.0895,0.3466,16
0.8,-3.3178,-3.0003,0.3175,16
0.8200000000000001,-3.2165,-2.9247,0.2918,16
0.84,-3.1329,-2.8625,0.2704,16
0.86,-3.0675,-2.8133,0.2542,16
0.88,-3.0206,-2.7766,0.244,16
0.9,-2.9925,-2.7519,0.2406,16
0.92,-2.9827,-2.7392,0.2435,16
0.9400000000000001,-2.9906,-2.7386,0.252,16
0.96,-3.0152,-2.7511,0.2641,16
0.98,-3.0556,-2.7787,0.2769,16
1.0,-3.1107,-2.8249,0.2858,16
