problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,5,0.5,777,0.1,-4.8041,-3.0794,1.7247
maxcut,5,0.5,777,0.2,-4.6176,-3.1615,1.4561
maxcut,5,0.5,777,0.3,-4.4434,-3.247,1.1964
maxcut,5,0.5,777,0.4,-4.2849,-3.3363,0.9486
maxcut,5,0.5,777,0.5,-4.147,-3.4301,0.7169
maxcut,5,0.5,777,0.6,-4.0359,-3.5292,0.5067
maxcut,5,0.5,777,0.7,-3.9593,-3.6345,0.3248
maxcut,5,0.5,777,0.8,-3.9247,-3.7471,0.1776
maxcut,5,0.5,777,0.9,-3.9378,-3.8684,0.0694
maxcut,5,0.5,777,1.0,-4.0,-2.0,2.0
maxcut,5,0.6,777,0.0,-5.0,-3.0,2.0
maxcut,5,0.6,777,0.1,-4.8041,-3.0794,1.7247
maxcut,5,0.6,777,0.2,-4.6176,-3.1615,1.4561
maxcut,5,0.6,777,0.3,-4.4434,-3.247,1.1964
maxcut,5,0.6,777,0.4,-4.2849,-3.3363,0.9486
maxcut,5,0.6,777,0.5,-4.147,-3.4301,0.7169
maxcut,5,0.6,777,0.6,-4.0359,-3.5292,0.5067
maxcut,5,0.6,777,0.7,-3.9593,-3.6345,0.3248
maxcut,5,0.6,777,0.8,-3.9247,-3.7471,0.1776
maxcut,5,0.6,777,0.9,-3.9378,-3.8684,0.0694
maxcut,5,0.6,777,1.0,-4.0,-2.0,2.0
maxcut,5,0.7,777,0.0,-5.0,-3.0,2.0
maxcut,5,0.7,777,0.1,-4.8547,-3.1337,1.721
maxcut,5,0.7,777,0.2,-4.7203,-3.274,1.4463
maxcut,5,0.7,777,0.3,-4.5997,-3.4227,1.177
maxcut,5,0.7,777,0.4,-4.4973,-3.5822,0.9151
maxcut,5,0.7,777,0.5,-4.4198,-3.7555,0.6643
maxcut,5,0.7,777,0.6,-4.3784,-3.9467,0.4317
maxcut,5,0.7,777,0.7,-4.3926,-4.1609,0.2317
maxcut,5,0.7,777,0.8,-4.4917,-4.4041,0.0876
maxcut,5,0.7,777,0.9,-4.6984,-4.6823,0.0161
maxcut,5,0.7,777,1.0,-5.0,-4.0,1.0
maxcut,5,0.8,777,0.0,-5.0,-3.0,2.0
maxcut,5,0.8,777,0.1,-4.9053,-3.2041,1.7012
maxcut,5,0.8,777,0.2,-4.823,-3.4176,1.4054
maxcut,5,0.8,777,0.3,-4.7564,-3.6432,1.1132
maxcut,5,0.8,777,0.4,-4.7112,-3.8842,0.827
maxcut,5,0.8,777,0.5,-4.6976,-4.145,0.5526
maxcut,5,0.8,777,0.6,-4.7367,-4.4314,0.3053
maxcut,5,0.8,777,0.7,-4.8688,-4.7511,0.1177
maxcut,5,0.8,777,0.8,-5.1373,-5.1134,0.0239
maxcut,5,0.8,777,0.9,-5.5293,-5.528,0.0013
maxcut,5,0.8,777,1.0,-6.0,-5.0,1.0
maxcut,5,0.9,777,0.0,-5.0,-3.0,2.0
maxcut,5,0.9,777,0.1,-4.9053,-3.2041,1.7012
maxcut,5,0.9,777,0.2,-4.823,-3.4176,1.4054
maxcut,5,0.9,777,0.3,-4.7564,-3.6432,1.1132
maxcut,5,0.9,777,0.4,-4.7112,-3.8842,0.827
maxcut,5,0.9,777,0.5,-4.6976,-4.145,0.5526
maxcut,5,0.9,777,0.6,-4.7367,-4.4314,0.3053
maxcut,5,0.9,777,0.7,-4.8688,-4.7511,0.1177
maxcut,5,0.9,777,0.8,-5.1373,-5.1134,0.0239
maxcut,5,0.9,777,0.9,-5.5293,-5.528,0.0013
maxcut,5,0.9,777,1.0,-6.0,-5.0,1.0
maxcut,5,1.0,777,0.0,-5.0,-3.0,2.0
maxcut,5,1.0,777,0.1,-5.0064,-3.252,1.7544
maxcut,5,1.0,777,0.2,-5.0263,-3.5088,1.5175
maxcut,5,1.0,777,0.3,-5.0609,-3.7716,1.2893
maxcut,5,1.0,777,0.4,-5.1116,-4.0422,1.0694
maxcut,5,1.0,777,0.5,-5.1805,-4.3229,0.8576
maxcut,5,1.0,777,0.6,-5.2708,-4.6166,0.6542
maxcut,5,1.0,777,0.7,-5.3875,-4.9269,0.4606
maxcut,5,1.0,777,0.8,-5.539,-5.2583,0.2807
maxcut,5,1.0,777,0.9,-5.7376,-5.6149,0.1227
maxcut,5,1.0,777,1.0,-6.0,-4.0,2.0
maxcut,6,0.5,777,0.0,-6.0,-4.0,2.0
maxcut,6,0.5,777,0.1,-5.7548,-4.0531,1.7017
maxcut,6,0.5,777,0.2,-5.5208,-4.1134,1.4074
maxcut,6,0.5,777,0.3,-5.302,-4.1835,1.1185
maxcut,6,0.5,777,0.4,-5.1042,-4.2675,0.8367
maxcut,6,0.5,777,0.5,-4.938,-4.3724,0.5656
maxcut,6,0.5,777,0.6,-4.8251,-4.5118,0.3133
maxcut,6,0.5,777,0.7,-4.8185,-4.7117,0.1068
maxcut,6,0.5,777,0.8,-5.0249,-5.0139,0.011
maxcut,6,0.5,777,0.9,-5.4483,-5.4482,0.0001
maxcut,6,0.5,777,1.0,-6.0,-5.0,1.0
maxcut,6,0.6,777,0.0,-6.0,-4.0,2.0
maxcut,6,0.6,777,0.1,-5.7548,-4.0531,1.7017
maxcut,6,0.6,777,0.2,-5.5208,-4.1134,1.4074
maxcut,6,0.6,777,0.3,-5.302,-4.1835,1.1185
maxcut,6,0.6,777,0.4,-5.1042,-4.2675,0.8367
maxcut,6,0.6,777,0.5,-4.938,-4.3724,0.5656
maxcut,6,0.6,777,0.6,-4.8251,-4.5118,0.3133
maxcut,6,0.6,777,0.7,-4.8185,-4.7117,0.1068
maxcut,6,0.6,777,0.8,-5.0249,-5.0139,0.011
maxcut,6,0.6,777,0.9,-5.4483,-5.4482,0.0001
maxcut,6,0.6,777,1.0,-6.0,-5.0,1.0
maxcut,6,0.7,777,0.0,-6.0,-4.0,2.0
maxcut,6,0.7,777,0.1,-5.856,-4.1446,1.7114
maxcut,6,0.7,777,0.2,-5.726,-4.2993,1.4267
maxcut,6,0.7,777,0.3,-5.6138,-4.4671,1.1467
maxcut,6,0.7,777,0.4,-5.5248,-4.6524,0.8724
maxcut,6,0.7,777,0.5,-5.4683,-4.8624,0.6059
maxcut,6,0.7,777,0.6,-5.461,-5.1087,0.3523
maxcut,6,0.7,777,0.7,-5.5455,-5.4137,0.1318
maxcut,6,0.7,777,0.8,-5.8306,-5.8156,0.015
maxcut,6,0.7,777,0.9,-6.3485,-6.3483,0.0002
maxcut,6,0.7,777,1.0,-7.0,-6.0,1.0
maxcut,6,0.8,777,0.0,-6.0,-4.0,2.0
maxcut,6,0.8,777,0.1,-5.9067,-4.2145,1.6922
