fraction,gs,fes,gap,num_qubits
0.0,-15.0,-13.0,2.0,15
0.02,-14.5448,-12.5989,1.9459,15
0.04,-14.0991,-12.2056,1.8935,15
0.06,-13.6629,-11.8202,1.8427,15
0.08,-13.2356,-11.4425,1.7931,15
0.1,-12.817,-11.0723,1.7447,15
0.12,-12.4069,-10.7096,1.6973,15
0.14,-12.0048,-10.3543,1.6505,15
0.16,-11.6106,-10.0064,1.6042,15
0.18,-11.2239,-9.6657,1.5582,15
0.2,-10.8445,-9.332,1.5125,15
0.22,-10.4721,-9.0051,1.467,15
0.24,-10.1066,-8.6848,1.4218,15
0.26,-9.7478,-8.371,1.3768,15
0.28,-9.3954,-8.0635,1.3319,15
0.3,-9.0493,-7.7622,1.2871,15
0.32,-8.7094,-7.4669,1.2425,15
0.34,-8.3756,-7.1776,1.198,15
0.36,-8.0477,-6.894,1.1537,15
0.38,-7.7258,-6.6161,1.1097,15
0.4,-7.4099,-6.3438,1.0661,15
0.42,-7.0998,-6.0771,1.0227,15
0.44,-6.7958,-5.8157,0.9801,15
0.46,-6.4979,-5.5598,0.9381,15
0.48,-6.2062,-5.3093,0.8969,15
0.5,-5.9209,-5.064,0.8569,15
0.52,-5.6424,-4.8241,0.8183,15
0.54,-5.371,-4.5895,0.7815,15
0.56,-5.107,-4.3603,0.7467,15
0.58,-4.8511,-4.137,0.7141,15
0.6,-4.6038,-3.92,0.6838,15
0.62,-4.3657,-3.7107,0.655,15
0.64,-4.1376,-3.5116,0.626,15
0.66,-3.9201,-3.3256,0.5945,15
0.68,-3.7139,-3.1537,0.5602,15
0.7000000000000001,-3.5197,-2.9948,0.5249,15
0.72,-3.3378,-2.8477,0.4901,15
0.74,-3.1685,-2.7114,0.4571,15
0.76,-3.0122,-2.5851,0.4271,15
0.78,-2.869,-2.468,0.401,15
0.8,-2.7389,-2.3595,0.3794,15
0.8200000000000001,-2.6222,-2.262,0.3602,15
0.84,-2.5189,-2.1987,0.3202,15
0.86,-2.429,-2.1487,0.2803,15
0.88,-2.3526,-2.1122,0.2404,15
0.9,-2.2896,-2.0891,0.2005,15
0.92,-2.2402,-2.0796,0.1606,15
0.9400000000000001,-2.2048,-2.084,0.1208,15
0.96,-2.1845,-2.1033,0.0812,15
0.98,-2.1813,-2.1387,0.0426,15
1.0,-2.2018,-2.1871,0.0147,15
