fraction,gs,fes,gap,num_qubits
0.0,-22.0,-20.0,2.0,22
0.02,-21.3609,-19.4154,1.9455,22
0.04,-20.7351,-18.8418,1.8933,22
0.06,-20.1219,-18.2791,1.8428,22
0.08,-19.5209,-17.7271,1.7938,22
0.1,-18.9316,-17.1856,1.746,22
0.12,-18.3535,-16.6543,1.6992,22
0.14,-17.7862,-16.1333,1.6529,22
0.16,-17.2292,-15.6255,1.6037,22
0.18,-16.6822,-15.1274,1.5548,22
0.2,-16.1449,-14.6388,1.5061,22
0.22,-15.6169,-14.1594,1.4575,22
0.24,-15.0979,-13.6888,1.4091,22
0.26,-14.5878,-13.2269,1.3609,22
0.28,-14.0863,-12.7734,1.3129,22
0.3,-13.5932,-12.3282,1.265,22
0.32,-13.1086,-11.8911,1.2175,22
0.34,-12.6323,-11.4621,1.1702,22
0.36,-12.1642,-11.0411,1.1231,22
0.38,-11.7045,-10.6282,1.0763,22
0.4,-11.2533,-10.2232,1.0301,22
0.42,-10.8105,-9.8265,0.984,22
0.44,-10.3765,-9.438,0.9385,22
0.46,-9.9514,-9.058,0.8934,22
0.48,-9.5356,-8.6868,0.8488,22
0.5,-9.1294,-8.3245,0.8049,22
0.52,-8.7333,-7.9716,0.7617,22
0.54,-8.3478,-7.6283,0.7195,22
0.56,-7.9733,-7.2951,0.6782,22
0.58,-7.6105,-6.9724,0.6381,22
0.6,-7.26,-6.6605,0.5995,22
0.62,-6.9224,-6.3597,0.5627,22
0.64,-6.5984,-6.0705,0.5279,22
0.66,-6.2888,-5.7932,0.4956,22
0.68,-5.9943,-5.528,0.4663,22
0.7000000000000001,-5.7157,-5.2754,0.4403,22
0.72,-5.454,-5.0358,0.4182,22
0.74,-5.2103,-4.81,0.4003,22
0.76,-4.9857,-4.5996,0.3861,22
0.78,-4.7813,-4.4232,0.3581,22
0.8,-4.5985,-4.2674,0.3311,22
0.8200000000000001,-4.4386,-4.1295,0.3091,22
0.84,-4.3028,-4.0099,0.2929,22
0.86,-4.192,-3.909,0.283,22
0.88,-4.1069,-3.832,0.2749,22
0.9,-4.0478,-3.7982,0.2496,22
0.92,-4.0147,-3.7882,0.2265,22
0.9400000000000001,-4.0075,-3.8004,0.2071,22
0.96,-4.0264,-3.8334,0.193,22
0.98,-4.0712,-3.8858,0.1854,22
1.0,-4.1416,-3.9563,0.1853,22
