fraction,gs,fes,gap,num_qubits
0.0,-15.0,-13.0,2.0,15
0.02,-14.6533,-12.7065,1.9468,15
0.04,-14.3095,-12.415,1.8945,15
0.06,-13.9685,-12.1256,1.8429,15
0.08,-13.6304,-11.8384,1.792,15
0.1,-13.2953,-11.5533,1.742,15
0.12,-12.9632,-11.2705,1.6927,15
0.14,-12.6341,-10.9901,1.644,15
0.16,-12.3082,-10.7121,1.5961,15
0.18,-11.9853,-10.4366,1.5487,15
0.2,-11.6657,-10.1637,1.502,15
0.22,-11.3493,-9.8934,1.4559,15
0.24,-11.0362,-9.6259,1.4103,15
0.26,-10.7265,-9.3612,1.3653,15
0.28,-10.4203,-9.0994,1.3209,15
0.3,-10.1176,-8.8407,1.2769,15
0.32,-9.8185,-8.5851,1.2334,15
0.34,-9.5232,-8.3327,1.1905,15
0.36,-9.2318,-8.0837,1.1481,15
0.38,-8.9443,-7.8382,1.1061,15
0.4,-8.6611,-7.5963,1.0648,15
0.42,-8.3822,-7.3581,1.0241,15
0.44,-8.1079,-7.1239,0.984,15
0.46,-7.8385,-6.8938,0.9447,15
0.48,-7.5741,-6.6681,0.906,15
0.5,-7.3152,-6.447,0.8682,15
0.52,-7.0622,-6.2308,0.8314,15
0.54,-6.8153,-6.0198,0.7955,15
0.56,-6.5752,-5.8143,0.7609,15
0.58,-6.3424,-5.6148,0.7276,15
0.6,-6.1173,-5.4217,0.6956,15
0.62,-5.9008,-5.2401,0.6607,15
0.64,-5.6934,-5.0721,0.6213,15
0.66,-5.4959,-4.913,0.5829,15
0.68,-5.309,-4.7632,0.5458,15
0.7000000000000001,-5.1335,-4.6232,0.5103,15
0.72,-4.9702,-4.4935,0.4767,15
0.74,-4.8199,-4.3743,0.4456,15
0.76,-4.6834,-4.2658,0.4176,15
0.78,-4.5616,-4.1683,0.3933,15
0.8,-4.4553,-4.0819,0.3734,15
0.8200000000000001,-4.3655,-4.0069,0.3586,15
0.84,-4.2929,-3.9434,0.3495,15
0.86,-4.2383,-3.8919,0.3464,15
0.88,-4.2024,-3.857,0.3454,15
0.9,-4.1857,-3.8571,0.3286,15
0.92,-4.1884,-3.8733,0.3151,15
0.9400000000000001,-4.2107,-3.9053,0.3054,15
0.96,-4.2523,-3.9524,0.2999,15
0.98,-4.313,-4.014,0.299,15
1.0,-4.3919,-4.0892,0.3027,15
