fraction,gs,fes,gap,num_qubits
0.0,-21.0,-19.0,2.0,21
0.02,-20.3591,-18.4143,1.9448,21
0.04,-19.7312,-17.8397,1.8915,21
0.06,-19.1159,-17.2764,1.8395,21
0.08,-18.5127,-16.7239,1.7888,21
0.1,-17.9214,-16.1823,1.7391,21
0.12,-17.3414,-15.6513,1.6901,21
0.14,-16.7725,-15.1306,1.6419,21
0.16,-16.2144,-14.6201,1.5943,21
0.18,-15.6666,-14.1194,1.5472,21
0.2,-15.1289,-13.6285,1.5004,21
0.22,-14.601,-13.1469,1.4541,21
0.24,-14.0827,-12.6747,1.408,21
0.26,-13.5739,-12.2115,1.3624,21
0.28,-13.0743,-11.7574,1.3169,21
0.3,-12.5838,-11.3121,1.2717,21
0.32,-12.1023,-10.8756,1.2267,21
0.34,-11.6299,-10.4478,1.1821,21
0.36,-11.1664,-10.0289,1.1375,21
0.38,-10.7119,-9.6187,1.0932,21
0.4,-10.2665,-9.2173,1.0492,21
0.42,-9.8305,-8.8249,1.0056,21
0.44,-9.4041,-8.4415,0.9626,21
0.46,-8.9875,-8.0671,0.9204,21
0.48,-8.5813,-7.7019,0.8794,21
0.5,-8.1859,-7.346,0.8399,21
0.52,-7.8021,-6.9996,0.8025,21
0.54,-7.4308,-6.6628,0.768,21
0.56,-7.0728,-6.3361,0.7367,21
0.58,-6.7294,-6.0198,0.7096,21
0.6,-6.4018,-5.7144,0.6874,21
0.62,-6.0913,-5.4226,0.6687,21
0.64,-5.7992,-5.1631,0.6361,21
0.66,-5.5266,-4.9259,0.6007,21
0.68,-5.2744,-4.7112,0.5632,21
0.7000000000000001,-5.0432,-4.5186,0.5246,21
0.72,-4.8332,-4.3472,0.486,21
0.74,-4.6447,-4.1963,0.4484,21
0.76,-4.4773,-4.0652,0.4121,21
0.78,-4.331,-3.9531,0.3779,21
0.8,-4.2055,-3.8592,0.3463,21
0.8200000000000001,-4.1006,-3.7826,0.318,21
0.84,-4.0163,-3.7225,0.2938,21
0.86,-3.9524,-3.678,0.2744,21
0.88,-3.9091,-3.6485,0.2606,21
0.9,-3.8864,-3.6332,0.2532,21
0.92,-3.884,-3.6318,0.2522,21
0.9400000000000001,-3.9016,-3.6443,0.2573,21
0.96,-3.9385,-3.6713,0.2672,21
0.98,-3.9938,-3.7145,0.2793,21
1.0,-4.0667,-3.7783,0.2884,21
