fraction,gs,fes,gap,num_qubits
0.0,-9.0,-7.0,2.0,9
0.02,-8.825,-6.87,1.955,9
0.04,-8.6504,-6.7403,1.9101,9
0.06,-8.4762,-6.6111,1.8651,9
0.08,-8.3024,-6.4822,1.8202,9
0.1,-8.1291,-6.3537,1.7754,9
0.12,-7.9563,-6.2257,1.7306,9
0.14,-7.7839,-6.0982,1.6857,9
0.16,-7.6122,-5.9711,1.6411,9
0.18,-7.441,-5.8446,1.5964,9
0.2,-7.2705,-5.7187,1.5518,9
0.22,-7.1006,-5.5934,1.5072,9
0.24,-6.9314,-5.4688,1.4626,9
0.26,-6.7631,-5.3449,1.4182,9
0.28,-6.5955,-5.2217,1.3738,9
0.3,-6.4289,-5.0994,1.3295,9
0.32,-6.2632,-4.9779,1.2853,9
0.34,-6.0986,-4.8574,1.2412,9
0.36,-5.9351,-4.7379,1.1972,9
0.38,-5.7728,-4.6195,1.1533,9
0.4,-5.6118,-4.5023,1.1095,9
0.42,-5.4522,-4.3863,1.0659,9
0.44,-5.2942,-4.2717,1.0225,9
0.46,-5.1378,-4.1586,0.9792,9
0.48,-4.9831,-4.047,0.9361,9
0.5,-4.8304,-3.9372,0.8932,9
0.52,-4.6798,-3.8291,0.8507,9
0.54,-4.5315,-3.723,0.8085,9
0.56,-4.3857,-3.6191,0.7666,9
0.58,-4.2425,-3.5174,0.7251,9
0.6,-4.1023,-3.4182,0.6841,9
0.62,-3.9654,-3.3217,0.6437,9
0.64,-3.8319,-3.2279,0.604,9
0.66,-3.7024,-3.1373,0.5651,9
0.68,-3.5771,-3.05,0.5271,9
0.7000000000000001,-3.4567,-2.9662,0.4905,9
0.72,-3.3416,-2.8863,0.4553,9
0.74,-3.2326,-2.8107,0.4219,9
0.76,-3.1305,-2.7397,0.3908,9
0.78,-3.0364,-2.6738,0.3626,9
0.8,-2.9514,-2.615,0.3364,9
0.8200000000000001,-2.877,-2.564,0.313,9
0.84,-2.8147,-2.5207,0.294,9
0.86,-2.7658,-2.4856,0.2802,9
0.88,-2.7316,-2.4593,0.2723,9
0.9,-2.7127,-2.4418,0.2709,9
0.92,-2.7091,-2.4333,0.2758,9
0.9400000000000001,-2.7205,-2.4337,0.2868,9
0.96,-2.7459,-2.443,0.3029,9
0.98,-2.7845,-2.4622,0.3223,9
1.0,-2.8354,-2.4979,0.3375,9
