problem,num_qubits,geometric_index,seed,fraction,gs,fes,gap
track reconstruction,2,6,12345,1.0,-0.3719,-0.0,0.3719
track reconstruction,8,7,12345,0.0,-8.0,-6.0,2.0
track reconstruction,8,7,12345,0.1,-7.2009,-5.4377,1.7632
track reconstruction,8,7,12345,0.2,-6.404,-4.8774,1.5266
track reconstruction,8,7,12345,0.3,-5.6102,-4.3198,1.2904
track reconstruction,8,7,12345,0.4,-4.8213,-3.7663,1.055
track reconstruction,8,7,12345,0.5,-4.0402,-3.2191,0.8211
track reconstruction,8,7,12345,0.6,-3.274,-2.6825,0.5915
track reconstruction,8,7,12345,0.7,-2.5421,-2.1639,0.3782
track reconstruction,8,7,12345,0.8,-1.9205,-1.6617,0.2588
track reconstruction,8,7,12345,0.9,-1.5549,-1.3549,0.2
track reconstruction,8,7,12345,1.0,-1.4108,-1.0111,0.3997
track reconstruction,17,8,12345,0.0,-17.0,-15.0,2.0
track reconstruction,17,8,12345,0.1,-15.3141,-13.5914,1.7227
track reconstruction,17,8,12345,0.2,-13.6636,-12.2192,1.4444
track reconstruction,17,8,12345,0.3,-12.065,-10.9038,1.1612
track reconstruction,17,8,12345,0.4,-10.5525,-9.6878,0.8647
track reconstruction,17,8,12345,0.5,-9.2213,-8.6592,0.5621
track reconstruction,17,8,12345,0.6,-8.3922,-7.8982,0.494
track reconstruction,17,8,12345,0.7,-8.2033,-8.0013,0.202
track reconstruction,17,8,12345,0.8,-8.519,-8.4446,0.0744
track reconstruction,17,8,12345,0.9,-9.1585,-9.0953,0.0632
track reconstruction,17,8,12345,1.0,-9.9151,-9.8455,0.0696
track reconstruction,3,15,12345,0.0,-3.0,-1.0,2.0
track reconstruction,3,15,12345,0.1,-2.7004,-0.9252,1.7752
track reconstruction,3,15,12345,0.2,-2.4018,-0.8503,1.5515
track reconstruction,3,15,12345,0.3,-2.1048,-0.7754,1.3294
track reconstruction,3,15,12345,0.4,-1.8099,-0.7,1.1099
track reconstruction,3,15,12345,0.5,-1.5186,-0.6238,0.8948
track reconstruction,3,15,12345,0.6,-1.2336,-0.5454,0.6882
track reconstruction,3,15,12345,0.7,-0.9616,-0.4608,0.5008
track reconstruction,3,15,12345,0.8,-0.72,-0.3573,0.3627
track reconstruction,3,15,12345,0.9,-0.5464,-0.3464,0.2
track reconstruction,3,15,12345,1.0,-0.4572,-0.0468,0.4104
track reconstruction,12,16,12345,0.0,-12.0,-10.0,2.0
track reconstruction,12,16,12345,0.1,-10.8009,-9.0374,1.7635
track reconstruction,12,16,12345,0.2,-9.6042,-8.0769,1.5273
track reconstruction,12,16,12345,0.3,-8.4109,-7.1193,1.2916
track reconstruction,12,16,12345,0.4,-7.2226,-6.1657,1.0569
track reconstruction,12,16,12345,0.5,-6.0426,-5.2185,0.8241
track reconstruction,12,16,12345,0.6,-4.8774,-4.2813,0.5961
track reconstruction,12,16,12345,0.7,-3.7434,-3.3611,0.3823
track reconstruction,12,16,12345,0.8,-2.6928,-2.4695,0.2233
track reconstruction,12,16,12345,0.9,-1.8554,-1.7307,0.1247
track reconstruction,12,16,12345,1.0,-1.2775,-1.1628,0.1147
track reconstruction,10,17,12345,0.0,-10.0,-8.0,2.0
track reconstruction,10,17,12345,0.1,-9.0288,-7.3899,1.6389
track reconstruction,10,17,12345,0.2,-8.1311,-6.8122,1.3189
track reconstruction,10,17,12345,0.3,-7.3488,-6.2744,1.0744
track reconstruction,10,17,12345,0.4,-6.7543,-5.8522,0.9021
track reconstruction,10,17,12345,0.5,-6.4283,-5.7623,0.666
track reconstruction,10,17,12345,0.6,-6.4651,-5.8771,0.588
track reconstruction,10,17,12345,0.7,-6.8628,-6.3418,0.521
track reconstruction,10,17,12345,0.8,-7.4708,-7.0493,0.4215
track reconstruction,10,17,12345,0.9,-8.2266,-7.7788,0.4478
track reconstruction,10,17,12345,1.0,-9.093,-8.5186,0.5744
track reconstruction,12,18,12345,0.0,-12.0,-10.0,2.0
track reconstruction,12,18,12345,0.1,-10.8008,-9.0405,1.7603
track reconstruction,12,18,12345,0.2,-9.6035,-8.0822,1.5213
track reconstruction,12,18,12345,0.3,-8.4091,-7.1256,1.2835
track reconstruction,12,18,12345,0.4,-7.2189,-6.1715,1.0474
track reconstruction,12,18,12345,0.5,-6.0356,-5.2206,0.815
track reconstruction,12,18,12345,0.6,-4.8651,-4.2745,0.5906
track reconstruction,12,18,12345,0.7,-3.7223,-3.3335,0.3888
track reconstruction,12,18,12345,0.8,-2.6542,-2.3913,0.2629
track reconstruction,12,18,12345,0.9,-1.7527,-1.5603,0.1924
track reconstruction,12,18,12345,1.0,-1.0901,-1.0044,0.0857
track reconstruction,14,21,12345,0.0,-14.0,-12.0,2.0
track reconstruction,14,21,12345,0.1,-12.6165,-10.9511,1.6654
track reconstruction,14,21,12345,0.2,-11.2749,-9.9389,1.336
track reconstruction,14,21,12345,0.3,-9.9991,-8.9764,1.0227
track reconstruction,14,21,12345,0.4,-8.8452,-8.0884,0.7568
track reconstruction,14,21,12345,0.5,-7.9581,-7.3803,0.5778
track reconstruction,14,21,12345,0.6,-7.5847,-7.1347,0.45
track reconstruction,14,21,12345,0.7,-7.8311,-7.4609,0.3702
track reconstruction,14,21,12345,0.8,-8.4223,-8.0223,0.4
track reconstruction,14,21,12345,0.9,-9.1298,-8.9298,0.2
track reconstruction,14,21,12345,1.0,-9.8972,-9.2884,0.6088
track reconstruction,10,22,12345,0.0,-10.0,-8.0,2.0
track reconstruction,10,22,12345,0.1,-9.0037,-7.2493,1.7544
track reconstruction,10,22,12345,0.2,-8.0165,-6.5127,1.5038
track reconstruction,10,22,12345,0.3,-7.0427,-5.7979,1.2448
track reconstruction,10,22,12345,0.4,-6.0894,-5.1174,0.972
track reconstruction,10,22,12345,0.5,-5.1714,-4.4922,0.6792
track reconstruction,10,22,12345,0.6,-4.3263,-3.9608,0.3655
track reconstruction,10,22,12345,0.7,-3.6756,-3.5787,0.0969
track reconstruction,10,22,12345,0.8,-3.4659,-3.2756,0.1903
track reconstruction,10,22,12345,0.9,-3.4636,-3.2636,0.2
track reconstruction,10,22,12345,1.0,-3.5739,-3.2486,0.3253
track reconstruction,12,23,12345,0.0,-12.0,-10.0,2.0
track reconstruction,12,23,12345,0.1,-10.8271,-9.1597,1.6674
track reconstruction,12,23,12345,0.2,-9.721,-8.3656,1.3554
track reconstruction,12,23,12345,0.3,-8.7134,-7.6469,1.0665
track reconstruction,12,23,12345,0.4,-7.8653,-7.0572,0.8081
track reconstruction,12,23,12345,0.5,-7.3107,-6.844,0.4667
track reconstruction,12,23,12345,0.6,-7.4943,-7.0778,0.4165
track reconstruction,12,23,12345,0.7,-8.2326,-7.6776,0.555
track reconstruction,12,23,12345,0.8,-9.1161,-8.7161,0.4
track reconstruction,12,23,12345,0.9,-10.0664,-9.8664,0.2
track reconstruction,12,23,12345,1.0,-11.0568,-10.2301,0.8267
