fraction,gs,fes,gap,num_qubits
0.0,-6.0,-4.0,2.0,6
0.02,-5.8571,-3.9079,1.9492,6
0.04,-5.7151,-3.8163,1.8988,6
0.06,-5.5739,-3.7252,1.8487,6
0.08,-5.4335,-3.6348,1.7987,6
0.1,-5.2941,-3.545,1.7491,6
0.12,-5.1556,-3.4558,1.6998,6
0.14,-5.0181,-3.3672,1.6509,6
0.16,-4.8816,-3.2793,1.6023,6
0.18,-4.746,-3.1921,1.5539,6
0.2,-4.6116,-3.1056,1.506,6
0.22,-4.4782,-3.0198,1.4584,6
0.24,-4.3459,-2.9347,1.4112,6
0.26,-4.2148,-2.8504,1.3644,6
0.28,-4.0849,-2.7668,1.3181,6
0.3,-3.9563,-2.684,1.2723,6
0.32,-3.829,-2.6021,1.2269,6
0.34,-3.703,-2.5209,1.1821,6
0.36,-3.5784,-2.4405,1.1379,6
0.38,-3.4553,-2.3609,1.0944,6
0.4,-3.3337,-2.2822,1.0515,6
0.42,-3.2138,-2.2043,1.0095,6
0.44,-3.0957,-2.1272,0.9685,6
0.46,-2.9794,-2.0509,0.9285,6
0.48,-2.865,-1.9755,0.8895,6
0.5,-2.7528,-1.9009,0.8519,6
0.52,-2.6428,-1.8271,0.8157,6
0.54,-2.5353,-1.7542,0.7811,6
0.56,-2.4304,-1.6823,0.7481,6
0.58,-2.3284,-1.6117,0.7167,6
0.6,-2.2296,-1.5431,0.6865,6
0.62,-2.1342,-1.4779,0.6563,6
0.64,-2.0425,-1.4186,0.6239,6
0.66,-1.9549,-1.3669,0.588,6
0.68,-1.8717,-1.3223,0.5494,6
0.7000000000000001,-1.7931,-1.2834,0.5097,6
0.72,-1.7197,-1.2492,0.4705,6
0.74,-1.6516,-1.2194,0.4322,6
0.76,-1.5892,-1.1934,0.3958,6
0.78,-1.5329,-1.1709,0.362,6
0.8,-1.4831,-1.1515,0.3316,6
0.8200000000000001,-1.4401,-1.1349,0.3052,6
0.84,-1.4045,-1.1204,0.2841,6
0.86,-1.3767,-1.1077,0.269,6
0.88,-1.3571,-1.0963,0.2608,6
0.9,-1.3458,-1.0863,0.2595,6
0.92,-1.3427,-1.0777,0.265,6
0.9400000000000001,-1.3475,-1.0714,0.2761,6
0.96,-1.3595,-1.0686,0.2909,6
0.98,-1.3783,-1.0721,0.3062,6
1.0,-1.4034,-1.0867,0.3167,6
