fraction,gs,fes,gap,num_qubits
0.0,-23.0,-21.0,2.0,23
0.02,-22.3837,-20.4376,1.9461,23
0.04,-21.7759,-19.8823,1.8936,23
0.06,-21.1765,-19.3341,1.8424,23
0.08,-20.5853,-18.7931,1.7922,23
0.1,-20.0022,-18.2592,1.743,23
0.12,-19.4271,-17.7324,1.6947,23
0.14,-18.8597,-17.2128,1.6469,23
0.16,-18.3,-16.7003,1.5997,23
0.18,-17.7478,-16.1949,1.5529,23
0.2,-17.2031,-15.6966,1.5065,23
0.22,-16.6657,-15.2076,1.4581,23
0.24,-16.1356,-14.7258,1.4098,23
0.26,-15.6129,-14.2509,1.362,23
0.28,-15.0973,-13.783,1.3143,23
0.3,-14.5891,-13.3221,1.267,23
0.32,-14.0882,-12.8682,1.22,23
0.34,-13.5947,-12.4213,1.1734,23
0.36,-13.1087,-11.9814,1.1273,23
0.38,-12.6305,-11.5488,1.0817,23
0.4,-12.1602,-11.1235,1.0367,23
0.42,-11.6981,-10.7057,0.9924,23
0.44,-11.2446,-10.2958,0.9488,23
0.46,-10.8,-9.8938,0.9062,23
0.48,-10.3649,-9.5003,0.8646,23
0.5,-9.9399,-9.1155,0.8244,23
0.52,-9.5256,-8.7401,0.7855,23
0.54,-9.1228,-8.3744,0.7484,23
0.56,-8.7325,-8.0191,0.7134,23
0.58,-8.3555,-7.675,0.6805,23
0.6,-7.9929,-7.3426,0.6503,23
0.62,-7.6459,-7.023,0.6229,23
0.64,-7.3155,-6.7168,0.5987,23
0.66,-7.0029,-6.4307,0.5722,23
0.68,-6.709,-6.1733,0.5357,23
0.7000000000000001,-6.435,-5.9378,0.4972,23
0.72,-6.1815,-5.7229,0.4586,23
0.74,-5.9496,-5.5281,0.4215,23
0.76,-5.7399,-5.3538,0.3861,23
0.78,-5.5532,-5.2003,0.3529,23
0.8,-5.3904,-5.0678,0.3226,23
0.8200000000000001,-5.2523,-4.9563,0.296,23
0.84,-5.1397,-4.8659,0.2738,23
0.86,-5.0533,-4.7962,0.2571,23
0.88,-4.9936,-4.7469,0.2467,23
0.9,-4.9607,-4.7176,0.2431,23
0.92,-4.9543,-4.7098,0.2445,23
0.9400000000000001,-4.9737,-4.7499,0.2238,23
0.96,-5.0183,-4.8094,0.2089,23
0.98,-5.0872,-4.8862,0.201,23
1.0,-5.1795,-4.9785,0.201,23
