fraction,gs,fes,gap,num_qubits
0.0,-10.0,-8.0,2.0,10
0.02,-9.772,-7.8241,1.9479,10
0.04,-9.5455,-7.6493,1.8962,10
0.06,-9.3205,-7.4756,1.8449,10
0.08,-9.0971,-7.303,1.7941,10
0.1,-8.8754,-7.1317,1.7437,10
0.12,-8.6554,-6.9615,1.6939,10
0.14,-8.4371,-6.7927,1.6444,10
0.16,-8.2205,-6.6251,1.5954,10
0.18,-8.0058,-6.4589,1.5469,10
0.2,-7.793,-6.2941,1.4989,10
0.22,-7.5821,-6.1308,1.4513,10
0.24,-7.3733,-5.9689,1.4044,10
0.26,-7.1665,-5.8085,1.358,10
0.28,-6.9619,-5.6498,1.3121,10
0.3,-6.7595,-5.4926,1.2669,10
0.32,-6.5596,-5.3372,1.2224,10
0.34,-6.362,-5.1836,1.1784,10
0.36,-6.1671,-5.0318,1.1353,10
0.38,-5.975,-4.8819,1.0931,10
0.4,-5.7857,-4.734,1.0517,10
0.42,-5.5996,-4.5882,1.0114,10
0.44,-5.4168,-4.4447,0.9721,10
0.46,-5.2375,-4.3035,0.934,10
0.48,-5.062,-4.1648,0.8972,10
0.5,-4.8908,-4.0289,0.8619,10
0.52,-4.724,-3.8959,0.8281,10
0.54,-4.562,-3.7661,0.7959,10
0.56,-4.4054,-3.6398,0.7656,10
0.58,-4.2546,-3.5175,0.7371,10
0.6,-4.11,-3.3996,0.7104,10
0.62,-3.9721,-3.2867,0.6854,10
0.64,-3.8415,-3.1796,0.6619,10
0.66,-3.7186,-3.0791,0.6395,10
0.68,-3.6039,-2.986,0.6179,10
0.7000000000000001,-3.4978,-2.901,0.5968,10
0.72,-3.4008,-2.8245,0.5763,10
0.74,-3.313,-2.7569,0.5561,10
0.76,-3.2349,-2.6983,0.5366,10
0.78,-3.1667,-2.6487,0.518,10
0.8,-3.1088,-2.6081,0.5007,10
0.8200000000000001,-3.0614,-2.5766,0.4848,10
0.84,-3.0248,-2.5585,0.4663,10
0.86,-2.9994,-2.5534,0.446,10
0.88,-2.9855,-2.5568,0.4287,10
0.9,-2.9835,-2.5687,0.4148,10
0.92,-2.9934,-2.589,0.4044,10
0.9400000000000001,-3.0155,-2.6175,0.398,10
0.96,-3.0497,-2.6539,0.3958,10
0.98,-3.0958,-2.6981,0.3977,10
1.0,-3.1533,-2.7496,0.4037,10
