fraction,gs,fes,gap,num_qubits
0.0,-14.0,-12.0,2.0,14
0.02,-13.5919,-11.6459,1.946,14
0.04,-13.1916,-11.298,1.8936,14
0.06,-12.7988,-10.9564,1.8424,14
0.08,-12.4133,-10.621,1.7923,14
0.1,-12.035,-10.2919,1.7431,14
0.12,-11.6636,-9.9689,1.6947,14
0.14,-11.2989,-9.6521,1.6468,14
0.16,-10.9409,-9.3412,1.5997,14
0.18,-10.5892,-9.0363,1.5529,14
0.2,-10.2437,-8.7371,1.5066,14
0.22,-9.9044,-8.4437,1.4607,14
0.24,-9.571,-8.1558,1.4152,14
0.26,-9.2434,-7.8734,1.37,14
0.28,-8.9215,-7.5964,1.3251,14
0.3,-8.6052,-7.3246,1.2806,14
0.32,-8.2946,-7.058,1.2366,14
0.34,-7.9895,-6.7964,1.1931,14
0.36,-7.69,-6.5399,1.1501,14
0.38,-7.396,-6.2882,1.1078,14
0.4,-7.1077,-6.0414,1.0663,14
0.42,-6.8251,-5.7993,1.0258,14
0.44,-6.5483,-5.562,0.9863,14
0.46,-6.2777,-5.3293,0.9484,14
0.48,-6.0133,-5.1014,0.9119,14
0.5,-5.7555,-4.8782,0.8773,14
0.52,-5.5046,-4.6598,0.8448,14
0.54,-5.261,-4.4465,0.8145,14
0.56,-5.0253,-4.2391,0.7862,14
0.58,-4.7979,-4.0422,0.7557,14
0.6,-4.5793,-3.863,0.7163,14
0.62,-4.37,-3.6945,0.6755,14
0.64,-4.1706,-3.5354,0.6352,14
0.66,-3.9815,-3.3856,0.5959,14
0.68,-3.803,-3.245,0.558,14
0.7000000000000001,-3.6355,-3.1135,0.522,14
0.72,-3.4791,-2.9909,0.4882,14
0.74,-3.3341,-2.8768,0.4573,14
0.76,-3.2007,-2.7707,0.43,14
0.78,-3.0788,-2.6723,0.4065,14
0.8,-2.9689,-2.5809,0.388,14
0.8200000000000001,-2.8709,-2.5026,0.3683,14
0.84,-2.785,-2.4553,0.3297,14
0.86,-2.7115,-2.4199,0.2916,14
0.88,-2.6503,-2.3964,0.2539,14
0.9,-2.6019,-2.3846,0.2173,14
0.92,-2.5665,-2.3844,0.1821,14
0.9400000000000001,-2.5452,-2.3959,0.1493,14
0.96,-2.5399,-2.4191,0.1208,14
0.98,-2.5544,-2.4536,0.1008,14
1.0,-2.5931,-2.4987,0.0944,14
