fraction,gs,fes,gap,num_qubits
0.0,-11.0,-9.0,2.0,11
0.02,-10.7562,-8.8069,1.9493,11
0.04,-10.5133,-8.6145,1.8988,11
0.06,-10.2715,-8.4228,1.8487,11
0.08,-10.0307,-8.2319,1.7988,11
0.1,-9.791,-8.0417,1.7493,11
0.12,-9.5525,-7.8523,1.7002,11
0.14,-9.3151,-7.6638,1.6513,11
0.16,-9.0789,-7.4761,1.6028,11
0.18,-8.8441,-7.2893,1.5548,11
0.2,-8.6106,-7.1033,1.5073,11
0.22,-8.3785,-6.9184,1.4601,11
0.24,-8.1478,-6.7344,1.4134,11
0.26,-7.9187,-6.5514,1.3673,11
0.28,-7.6912,-6.3695,1.3217,11
0.3,-7.4653,-6.1886,1.2767,11
0.32,-7.2413,-6.0088,1.2325,11
0.34,-7.0192,-5.8301,1.1891,11
0.36,-6.799,-5.6526,1.1464,11
0.38,-6.581,-5.4763,1.1047,11
0.4,-6.3653,-5.3012,1.0641,11
0.42,-6.1519,-5.1273,1.0246,11
0.44,-5.9412,-4.9548,0.9864,11
0.46,-5.7333,-4.7837,0.9496,11
0.48,-5.5283,-4.614,0.9143,11
0.5,-5.3266,-4.4461,0.8805,11
0.52,-5.1284,-4.2829,0.8455,11
0.54,-4.934,-4.1313,0.8027,11
0.56,-4.7437,-3.9835,0.7602,11
0.58,-4.5578,-3.8397,0.7181,11
0.6,-4.3767,-3.7003,0.6764,11
0.62,-4.2008,-3.5655,0.6353,11
0.64,-4.0305,-3.4356,0.5949,11
0.66,-3.8661,-3.311,0.5551,11
0.68,-3.7082,-3.1918,0.5164,11
0.7000000000000001,-3.5573,-3.0784,0.4789,11
0.72,-3.4139,-2.971,0.4429,11
0.74,-3.2785,-2.8698,0.4087,11
0.76,-3.1521,-2.7752,0.3769,11
0.78,-3.0355,-2.6875,0.348,11
0.8,-2.9298,-2.607,0.3228,11
0.8200000000000001,-2.8363,-2.5343,0.302,11
0.84,-2.7567,-2.4725,0.2842,11
0.86,-2.6923,-2.4232,0.2691,11
0.88,-2.6444,-2.3836,0.2608,11
0.9,-2.6138,-2.3542,0.2596,11
0.92,-2.6003,-2.3353,0.265,11
0.9400000000000001,-2.6036,-2.3275,0.2761,11
0.96,-2.6227,-2.3318,0.2909,11
0.98,-2.6565,-2.3503,0.3062,11
1.0,-2.704,-2.3873,0.3167,11
