fraction,gs,fes,gap,num_qubits
0.0,-16.0,-14.0,2.0,16
0.02,-15.5261,-13.5802,1.9459,16
0.04,-15.062,-13.1685,1.8935,16
0.06,-14.6073,-12.7647,1.8426,16
0.08,-14.1617,-12.3687,1.793,16
0.1,-13.7249,-11.9804,1.7445,16
0.12,-13.2967,-11.5997,1.697,16
0.14,-12.8768,-11.2265,1.6503,16
0.16,-12.4647,-10.8607,1.604,16
0.18,-12.0604,-10.5023,1.5581,16
0.2,-11.6636,-10.1511,1.5125,16
0.22,-11.2739,-9.8068,1.4671,16
0.24,-10.8913,-9.4694,1.4219,16
0.26,-10.5155,-9.1387,1.3768,16
0.28,-10.1464,-8.8145,1.3319,16
0.3,-9.7838,-8.4967,1.2871,16
0.32,-9.4276,-8.1853,1.2423,16
0.34,-9.0777,-7.88,1.1977,16
0.36,-8.7341,-7.5808,1.1533,16
0.38,-8.3967,-7.2877,1.109,16
0.4,-8.0655,-7.0005,1.065,16
0.42,-7.7406,-6.7192,1.0214,16
0.44,-7.422,-6.4438,0.9782,16
0.46,-7.1098,-6.1742,0.9356,16
0.48,-6.8042,-5.9104,0.8938,16
0.5,-6.5055,-5.6524,0.8531,16
0.52,-6.2139,-5.4003,0.8136,16
0.54,-5.9298,-5.1541,0.7757,16
0.56,-5.6537,-4.9139,0.7398,16
0.58,-5.3861,-4.68,0.7061,16
0.6,-5.1276,-4.4527,0.6749,16
0.62,-4.8792,-4.233,0.6462,16
0.64,-4.6414,-4.0339,0.6075,16
0.66,-4.4154,-3.8467,0.5687,16
0.68,-4.2018,-3.6711,0.5307,16
0.7000000000000001,-4.0016,-3.5078,0.4938,16
0.72,-3.8155,-3.3572,0.4583,16
0.74,-3.6442,-3.2198,0.4244,16
0.76,-3.4883,-3.0958,0.3925,16
0.78,-3.3483,-2.9852,0.3631,16
0.8,-3.2249,-2.8881,0.3368,16
0.8200000000000001,-3.1187,-2.8043,0.3144,16
0.84,-3.0304,-2.7337,0.2967,16
0.86,-2.9604,-2.676,0.2844,16
0.88,-2.909,-2.6309,0.2781,16
0.9,-2.8764,-2.5982,0.2782,16
0.92,-2.8622,-2.5777,0.2845,16
0.9400000000000001,-2.8658,-2.5696,0.2962,16
0.96,-2.8865,-2.5744,0.3121,16
0.98,-2.9233,-2.5991,0.3242,16
1.0,-2.9755,-2.6471,0.3284,16
