fraction,gs,fes,gap,num_qubits
0.0,-3.0,-1.0,2.0,3
0.02,-2.9476,-0.9876,1.96,3
0.04,-2.8953,-0.9752,1.9201,3
0.06,-2.8431,-0.963,1.8801,3
0.08,-2.791,-0.9509,1.8401,3
0.1,-2.7391,-0.9389,1.8002,3
0.12,-2.6874,-0.927,1.7604,3
0.14,-2.6358,-0.9153,1.7205,3
0.16,-2.5844,-0.9036,1.6808,3
0.18,-2.5331,-0.8922,1.6409,3
0.2,-2.4821,-0.8809,1.6012,3
0.22,-2.4312,-0.8698,1.5614,3
0.24,-2.3806,-0.8589,1.5217,3
0.26,-2.3302,-0.8481,1.4821,3
0.28,-2.2801,-0.8376,1.4425,3
0.3,-2.2303,-0.8273,1.403,3
0.32,-2.1808,-0.8173,1.3635,3
0.34,-2.1316,-0.8076,1.324,3
0.36,-2.0828,-0.7981,1.2847,3
0.38,-2.0343,-0.789,1.2453,3
0.4,-1.9863,-0.7802,1.2061,3
0.42,-1.9388,-0.7718,1.167,3
0.44,-1.8917,-0.7637,1.128,3
0.46,-1.8452,-0.7562,1.089,3
0.48,-1.7993,-0.7491,1.0502,3
0.5,-1.754,-0.7425,1.0115,3
0.52,-1.7094,-0.7365,0.9729,3
0.54,-1.6657,-0.7311,0.9346,3
0.56,-1.6227,-0.7264,0.8963,3
0.58,-1.5808,-0.7225,0.8583,3
0.6,-1.5398,-0.7193,0.8205,3
0.62,-1.5,-0.717,0.783,3
0.64,-1.4614,-0.7156,0.7458,3
0.66,-1.4241,-0.7152,0.7089,3
0.68,-1.3884,-0.7159,0.6725,3
0.7000000000000001,-1.3543,-0.7177,0.6366,3
0.72,-1.322,-0.7208,0.6012,3
0.74,-1.2917,-0.7252,0.5665,3
0.76,-1.2636,-0.7309,0.5327,3
0.78,-1.2379,-0.7381,0.4998,3
0.8,-1.2149,-0.7468,0.4681,3
0.8200000000000001,-1.1948,-0.757,0.4378,3
0.84,-1.178,-0.7687,0.4093,3
0.86,-1.1648,-0.7818,0.383,3
0.88,-1.1556,-0.7962,0.3594,3
0.9,-1.1507,-0.8119,0.3388,3
0.92,-1.1506,-0.8285,0.3221,3
0.9400000000000001,-1.1557,-0.8458,0.3099,3
0.96,-1.1661,-0.8635,0.3026,3
0.98,-1.182,-0.8815,0.3005,3
1.0,-1.2034,-0.8995,0.3039,3
