fraction,gs,fes,gap,num_qubits
0.0,-6.0,-4.0,2.0,6
0.02,-5.849,-3.8997,1.9493,6
0.04,-5.699,-3.8001,1.8989,6
0.06,-5.5499,-3.701,1.8489,6
0.08,-5.4019,-3.6027,1.7992,6
0.1,-5.2549,-3.505,1.7499,6
0.12,-5.109,-3.4081,1.7009,6
0.14,-4.9642,-3.3118,1.6524,6
0.16,-4.8205,-3.2164,1.6041,6
0.18,-4.678,-3.1217,1.5563,6
0.2,-4.5367,-3.0278,1.5089,6
0.22,-4.3965,-2.9346,1.4619,6
0.24,-4.2577,-2.8424,1.4153,6
0.26,-4.1201,-2.7509,1.3692,6
0.28,-3.9839,-2.6603,1.3236,6
0.3,-3.849,-2.5706,1.2784,6
0.32,-3.7156,-2.4817,1.2339,6
0.34,-3.5836,-2.3938,1.1898,6
0.36,-3.4531,-2.3067,1.1464,6
0.38,-3.3242,-2.2206,1.1036,6
0.4,-3.1969,-2.1353,1.0616,6
0.42,-3.0714,-2.051,1.0204,6
0.44,-2.9476,-1.9676,0.98,6
0.46,-2.8258,-1.885,0.9408,6
0.48,-2.7059,-1.8035,0.9024,6
0.5,-2.5882,-1.7228,0.8654,6
0.52,-2.4727,-1.6431,0.8296,6
0.54,-2.3596,-1.5644,0.7952,6
0.56,-2.2491,-1.4868,0.7623,6
0.58,-2.1414,-1.4108,0.7306,6
0.6,-2.0366,-1.3369,0.6997,6
0.62,-1.9351,-1.2663,0.6688,6
0.64,-1.8371,-1.201,0.6361,6
0.66,-1.7429,-1.1421,0.6008,6
0.68,-1.6527,-1.0895,0.5632,6
0.7000000000000001,-1.5669,-1.0423,0.5246,6
0.72,-1.4858,-0.9997,0.4861,6
0.74,-1.4097,-0.9613,0.4484,6
0.76,-1.3389,-0.9267,0.4122,6
0.78,-1.2737,-0.8958,0.3779,6
0.8,-1.2144,-0.8681,0.3463,6
0.8200000000000001,-1.1616,-0.8435,0.3181,6
0.84,-1.1155,-0.8217,0.2938,6
0.86,-1.0766,-0.8023,0.2743,6
0.88,-1.0456,-0.7849,0.2607,6
0.9,-1.0227,-0.7695,0.2532,6
0.92,-1.0081,-0.7559,0.2522,6
0.9400000000000001,-1.002,-0.7447,0.2573,6
0.96,-1.004,-0.7368,0.2672,6
0.98,-1.0137,-0.7344,0.2793,6
1.0,-1.0308,-0.7423,0.2885,6
