fraction,gs,fes,gap,num_qubits
0.0,-8.0,-6.0,2.0,8
0.02,-7.8511,-5.896,1.9551,8
0.04,-7.7025,-5.7924,1.9101,8
0.06,-7.5543,-5.6891,1.8652,8
0.08,-7.4064,-5.5862,1.8202,8
0.1,-7.2591,-5.4837,1.7754,8
0.12,-7.1121,-5.3816,1.7305,8
0.14,-6.9657,-5.2799,1.6858,8
0.16,-6.8197,-5.1787,1.641,8
0.18,-6.6744,-5.078,1.5964,8
0.2,-6.5296,-4.9779,1.5517,8
0.22,-6.3854,-4.8783,1.5071,8
0.24,-6.2419,-4.7793,1.4626,8
0.26,-6.0992,-4.681,1.4182,8
0.28,-5.9572,-4.5835,1.3737,8
0.3,-5.8161,-4.4867,1.3294,8
0.32,-5.6759,-4.3907,1.2852,8
0.34,-5.5367,-4.2956,1.2411,8
0.36,-5.3985,-4.2014,1.1971,8
0.38,-5.2615,-4.1083,1.1532,8
0.4,-5.1257,-4.0163,1.1094,8
0.42,-4.9913,-3.9255,1.0658,8
0.44,-4.8583,-3.836,1.0223,8
0.46,-4.7269,-3.7479,0.979,8
0.48,-4.5971,-3.6613,0.9358,8
0.5,-4.4693,-3.5763,0.893,8
0.52,-4.3434,-3.493,0.8504,8
0.54,-4.2198,-3.4117,0.8081,8
0.56,-4.0985,-3.3324,0.7661,8
0.58,-3.9799,-3.2552,0.7247,8
0.6,-3.864,-3.1804,0.6836,8
0.62,-3.7513,-3.1082,0.6431,8
0.64,-3.642,-3.0387,0.6033,8
0.66,-3.5364,-2.9721,0.5643,8
0.68,-3.4349,-2.9086,0.5263,8
0.7000000000000001,-3.338,-2.8486,0.4894,8
0.72,-3.2462,-2.7921,0.4541,8
0.74,-3.16,-2.7396,0.4204,8
0.76,-3.0804,-2.6912,0.3892,8
0.78,-3.008,-2.6473,0.3607,8
0.8,-2.944,-2.6083,0.3357,8
0.8200000000000001,-2.8894,-2.5744,0.315,8
0.84,-2.8454,-2.5461,0.2993,8
0.86,-2.8131,-2.5238,0.2893,8
0.88,-2.7934,-2.508,0.2854,8
0.9,-2.7867,-2.4991,0.2876,8
0.92,-2.7931,-2.4979,0.2952,8
0.9400000000000001,-2.8122,-2.5053,0.3069,8
0.96,-2.8435,-2.5227,0.3208,8
0.98,-2.8862,-2.5523,0.3339,8
1.0,-2.9398,-2.5964,0.3434,8
