fraction,gs,fes,gap,num_qubits
0.0,-21.0,-19.0,2.0,21
0.02,-20.3351,-18.3896,1.9455,21
0.04,-19.6857,-17.7924,1.8933,21
0.06,-19.0513,-17.2085,1.8428,21
0.08,-18.4314,-16.6381,1.7933,21
0.1,-17.8254,-16.0821,1.7433,21
0.12,-17.2329,-15.5389,1.694,21
0.14,-16.6534,-15.008,1.6454,21
0.16,-16.0863,-14.489,1.5973,21
0.18,-15.5315,-13.9815,1.55,21
0.2,-14.9883,-13.4851,1.5032,21
0.22,-14.4565,-12.9995,1.457,21
0.24,-13.9359,-12.5244,1.4115,21
0.26,-13.426,-12.0594,1.3666,21
0.28,-12.9268,-11.6044,1.3224,21
0.3,-12.4379,-11.1592,1.2787,21
0.32,-11.9594,-10.7235,1.2359,21
0.34,-11.491,-10.2973,1.1937,21
0.36,-11.0328,-9.8804,1.1524,21
0.38,-10.5847,-9.4728,1.1119,21
0.4,-10.1468,-9.0745,1.0723,21
0.42,-9.7192,-8.6854,1.0338,21
0.44,-9.3021,-8.3058,0.9963,21
0.46,-8.8958,-7.9358,0.96,21
0.48,-8.5005,-7.5755,0.925,21
0.5,-8.1166,-7.2254,0.8912,21
0.52,-7.7446,-6.8858,0.8588,21
0.54,-7.385,-6.5577,0.8273,21
0.56,-7.0384,-6.243,0.7954,21
0.58,-6.7053,-5.9504,0.7549,21
0.6,-6.3865,-5.6742,0.7123,21
0.62,-6.0825,-5.4126,0.6699,21
0.64,-5.7941,-5.1657,0.6284,21
0.66,-5.5217,-4.9341,0.5876,21
0.68,-5.266,-4.718,0.548,21
0.7000000000000001,-5.0275,-4.5175,0.51,21
0.72,-4.8067,-4.3361,0.4706,21
0.74,-4.6042,-4.1718,0.4324,21
0.76,-4.4204,-4.0242,0.3962,21
0.78,-4.2563,-3.8934,0.3629,21
0.8,-4.1125,-3.7795,0.333,21
0.8200000000000001,-3.9898,-3.6827,0.3071,21
0.84,-3.8893,-3.603,0.2863,21
0.86,-3.8114,-3.54,0.2714,21
0.88,-3.7566,-3.4934,0.2632,21
0.9,-3.7247,-3.4628,0.2619,21
0.92,-3.7152,-3.4479,0.2673,21
0.9400000000000001,-3.7269,-3.4485,0.2784,21
0.96,-3.7589,-3.4653,0.2936,21
0.98,-3.8099,-3.5154,0.2945,21
1.0,-3.8789,-3.5812,0.2977,21
