fraction,gs,fes,gap,num_qubits
0.0,-8.0,-6.0,2.0,8
0.02,-7.7852,-5.8383,1.9469,8
0.04,-7.5726,-5.678,1.8946,8
0.06,-7.3623,-5.5193,1.843,8
0.08,-7.1543,-5.3622,1.7921,8
0.1,-6.9487,-5.2067,1.742,8
0.12,-6.7454,-5.0529,1.6925,8
0.14,-6.5445,-4.9007,1.6438,8
0.16,-6.346,-4.7503,1.5957,8
0.18,-6.15,-4.6017,1.5483,8
0.2,-5.9565,-4.4549,1.5016,8
0.22,-5.7654,-4.31,1.4554,8
0.24,-5.5768,-4.167,1.4098,8
0.26,-5.3908,-4.026,1.3648,8
0.28,-5.2074,-3.8871,1.3203,8
0.3,-5.0267,-3.7502,1.2765,8
0.32,-4.8486,-3.6155,1.2331,8
0.34,-4.6733,-3.4831,1.1902,8
0.36,-4.5007,-3.353,1.1477,8
0.38,-4.3311,-3.2253,1.1058,8
0.4,-4.1644,-3.1,1.0644,8
0.42,-4.0008,-2.9773,1.0235,8
0.44,-3.8404,-2.8572,0.9832,8
0.46,-3.6834,-2.7398,0.9436,8
0.48,-3.5299,-2.6252,0.9047,8
0.5,-3.3802,-2.5135,0.8667,8
0.52,-3.2344,-2.4048,0.8296,8
0.54,-3.093,-2.2993,0.7937,8
0.56,-2.9561,-2.1971,0.759,8
0.58,-2.8242,-2.0984,0.7258,8
0.6,-2.6977,-2.0036,0.6941,8
0.62,-2.577,-1.913,0.664,8
0.64,-2.4626,-1.8271,0.6355,8
0.66,-2.355,-1.7465,0.6085,8
0.68,-2.2547,-1.672,0.5827,8
0.7000000000000001,-2.162,-1.6045,0.5575,8
0.72,-2.0773,-1.5448,0.5325,8
0.74,-2.0009,-1.4937,0.5072,8
0.76,-1.9331,-1.4513,0.4818,8
0.78,-1.8737,-1.4177,0.456,8
0.8,-1.823,-1.3925,0.4305,8
0.8200000000000001,-1.7807,-1.3753,0.4054,8
0.84,-1.747,-1.3656,0.3814,8
0.86,-1.7216,-1.3627,0.3589,8
0.88,-1.7046,-1.3661,0.3385,8
0.9,-1.6959,-1.3752,0.3207,8
0.92,-1.6954,-1.3892,0.3062,8
0.9400000000000001,-1.7032,-1.4076,0.2956,8
0.96,-1.7191,-1.4297,0.2894,8
0.98,-1.7431,-1.4551,0.288,8
1.0,-1.7749,-1.4834,0.2915,8
