fraction,gs,fes,gap,num_qubits
0.0,-17.0,-15.0,2.0,17
0.02,-16.6486,-14.6994,1.9492,17
0.04,-16.2985,-14.3997,1.8988,17
0.06,-15.9497,-14.101,1.8487,17
0.08,-15.6022,-13.8033,1.7989,17
0.1,-15.2561,-13.5068,1.7493,17
0.12,-14.9115,-13.2113,1.7002,17
0.14,-14.5684,-12.9171,1.6513,17
0.16,-14.2269,-12.6241,1.6028,17
0.18,-13.8871,-12.3325,1.5546,17
0.2,-13.549,-12.0422,1.5068,17
0.22,-13.2127,-11.7533,1.4594,17
0.24,-12.8783,-11.466,1.4123,17
0.26,-12.5459,-11.1802,1.3657,17
0.28,-12.2155,-10.8961,1.3194,17
0.3,-11.8873,-10.6137,1.2736,17
0.32,-11.5615,-10.3332,1.2283,17
0.34,-11.2381,-10.0546,1.1835,17
0.36,-10.9172,-9.778,1.1392,17
0.38,-10.5991,-9.5035,1.0956,17
0.4,-10.2839,-9.2313,1.0526,17
0.42,-9.9718,-8.9614,1.0104,17
0.44,-9.663,-8.694,0.969,17
0.46,-9.3577,-8.4293,0.9284,17
0.48,-9.0562,-8.1674,0.8888,17
0.5,-8.7588,-7.9084,0.8504,17
0.52,-8.4658,-7.6526,0.8132,17
0.54,-8.1776,-7.4002,0.7774,17
0.56,-7.8946,-7.1514,0.7432,17
0.58,-7.6172,-6.9067,0.7105,17
0.6,-7.346,-6.6666,0.6794,17
0.62,-7.0815,-6.4366,0.6449,17
0.64,-6.8245,-6.2194,0.6051,17
0.66,-6.5756,-6.0095,0.5661,17
0.68,-6.3356,-5.8077,0.5279,17
0.7000000000000001,-6.1055,-5.6147,0.4908,17
0.72,-5.8862,-5.4311,0.4551,17
0.74,-5.6789,-5.2579,0.421,17
0.76,-5.4849,-5.099,0.3859,17
0.78,-5.3056,-4.9563,0.3493,17
0.8,-5.1426,-4.8272,0.3154,17
0.8200000000000001,-4.9979,-4.7127,0.2852,17
0.84,-4.8736,-4.6142,0.2594,17
0.86,-4.772,-4.5326,0.2394,17
0.88,-4.695,-4.4692,0.2258,17
0.9,-4.6444,-4.4248,0.2196,17
0.92,-4.6212,-4.4007,0.2205,17
0.9400000000000001,-4.6257,-4.3982,0.2275,17
0.96,-4.6574,-4.4191,0.2383,17
0.98,-4.7157,-4.466,0.2497,17
1.0,-4.7994,-4.5418,0.2576,17
