fraction,gs,fes,gap,num_qubits
0.0,-18.0,-16.0,2.0,18
0.02,-17.6065,-15.6587,1.9478,18
0.04,-17.2147,-15.3186,1.8961,18
0.06,-16.8246,-14.9797,1.8449,18
0.08,-16.4362,-14.6422,1.794,18
0.1,-16.0496,-14.3061,1.7435,18
0.12,-15.6649,-13.9713,1.6936,18
0.14,-15.2821,-13.6381,1.644,18
0.16,-14.9013,-13.3063,1.595,18
0.18,-14.5224,-12.9762,1.5462,18
0.2,-14.1457,-12.6476,1.4981,18
0.22,-13.7712,-12.3207,1.4505,18
0.24,-13.3988,-11.9956,1.4032,18
0.26,-13.0289,-11.6723,1.3566,18
0.28,-12.6613,-11.3509,1.3104,18
0.3,-12.2963,-11.0314,1.2649,18
0.32,-11.934,-10.714,1.22,18
0.34,-11.5744,-10.3988,1.1756,18
0.36,-11.2178,-10.0857,1.1321,18
0.38,-10.8643,-9.7751,1.0892,18
0.4,-10.5141,-9.467,1.0471,18
0.42,-10.1675,-9.1615,1.006,18
0.44,-9.8245,-8.8589,0.9656,18
0.46,-9.4857,-8.5593,0.9264,18
0.48,-9.1512,-8.263,0.8882,18
0.5,-8.8214,-7.9704,0.851,18
0.52,-8.4967,-7.6816,0.8151,18
0.54,-8.1777,-7.3972,0.7805,18
0.56,-7.8647,-7.1175,0.7472,18
0.58,-7.5584,-6.8429,0.7155,18
0.6,-7.2594,-6.574,0.6854,18
0.62,-6.9684,-6.3175,0.6509,18
0.64,-6.6861,-6.0742,0.6119,18
0.66,-6.4134,-5.8396,0.5738,18
0.68,-6.151,-5.6143,0.5367,18
0.7000000000000001,-5.8998,-5.399,0.5008,18
0.72,-5.6607,-5.1943,0.4664,18
0.74,-5.4347,-5.0008,0.4339,18
0.76,-5.2228,-4.8191,0.4037,18
0.78,-5.0262,-4.6499,0.3763,18
0.8,-4.8461,-4.4937,0.3524,18
0.8200000000000001,-4.684,-4.3514,0.3326,18
0.84,-4.5413,-4.2237,0.3176,18
0.86,-4.4197,-4.1116,0.3081,18
0.88,-4.321,-4.0243,0.2967,18
0.9,-4.2468,-3.9787,0.2681,18
0.92,-4.1987,-3.9561,0.2426,18
0.9400000000000001,-4.1785,-3.9569,0.2216,18
0.96,-4.1877,-3.9813,0.2064,18
0.98,-4.2276,-4.0292,0.1984,18
1.0,-4.2983,-4.1001,0.1982,18
