fraction,gs,fes,gap,num_qubits
0.0,-17.0,-15.0,2.0,17
0.02,-16.4967,-14.5506,1.9461,17
0.04,-16.0022,-14.1085,1.8937,17
0.06,-15.5164,-13.6738,1.8426,17
0.08,-15.039,-13.2464,1.7926,17
0.1,-14.5699,-12.8264,1.7435,17
0.12,-14.1089,-12.4137,1.6952,17
0.14,-13.6558,-12.0082,1.6476,17
0.16,-13.2104,-11.6099,1.6005,17
0.18,-12.7726,-11.2186,1.554,17
0.2,-12.3422,-10.8344,1.5078,17
0.22,-11.9191,-10.4581,1.461,17
0.24,-11.5032,-10.0889,1.4143,17
0.26,-11.0943,-9.7263,1.368,17
0.28,-10.6924,-9.3703,1.3221,17
0.3,-10.2974,-9.0206,1.2768,17
0.32,-9.9092,-8.6773,1.2319,17
0.34,-9.5279,-8.3403,1.1876,17
0.36,-9.1534,-8.0095,1.1439,17
0.38,-8.7858,-7.6849,1.1009,17
0.4,-8.4252,-7.3667,1.0585,17
0.42,-8.0716,-7.0547,1.0169,17
0.44,-7.7253,-6.7491,0.9762,17
0.46,-7.3865,-6.45,0.9365,17
0.48,-7.0553,-6.1576,0.8977,17
0.5,-6.7323,-5.872,0.8603,17
0.52,-6.4177,-5.5936,0.8241,17
0.54,-6.112,-5.3228,0.7892,17
0.56,-5.8159,-5.0599,0.756,17
0.58,-5.5299,-4.8058,0.7241,17
0.6,-5.2547,-4.5613,0.6934,17
0.62,-4.9913,-4.3281,0.6632,17
0.64,-4.7403,-4.1085,0.6318,17
0.66,-4.5025,-3.9052,0.5973,17
0.68,-4.2788,-3.7188,0.56,17
0.7000000000000001,-4.0699,-3.5488,0.5211,17
0.72,-3.8765,-3.3945,0.482,17
0.74,-3.6991,-3.2555,0.4436,17
0.76,-3.5382,-3.1318,0.4064,17
0.78,-3.3944,-3.0232,0.3712,17
0.8,-3.2681,-2.9294,0.3387,17
0.8200000000000001,-3.1596,-2.8503,0.3093,17
0.84,-3.0696,-2.7854,0.2842,17
0.86,-2.9982,-2.7343,0.2639,17
0.88,-2.9457,-2.6961,0.2496,17
0.9,-2.9123,-2.6702,0.2421,17
0.92,-2.8976,-2.6561,0.2415,17
0.9400000000000001,-2.9012,-2.6532,0.248,17
0.96,-2.9221,-2.6617,0.2604,17
0.98,-2.9595,-2.6824,0.2771,17
1.0,-3.0123,-2.7213,0.291,17
