fraction,gs,fes,gap,num_qubits
0.0,-18.0,-16.0,2.0,18
0.02,-17.6264,-15.6772,1.9492,18
0.04,-17.2542,-15.3554,1.8988,18
0.06,-16.8832,-15.0345,1.8487,18
0.08,-16.5135,-14.7148,1.7987,18
0.1,-16.1453,-14.3961,1.7492,18
0.12,-15.7786,-14.0786,1.7,18
0.14,-15.4134,-13.7624,1.651,18
0.16,-15.0498,-13.4474,1.6024,18
0.18,-14.6879,-13.1337,1.5542,18
0.2,-14.3278,-12.8215,1.5063,18
0.22,-13.9695,-12.5107,1.4588,18
0.24,-13.6131,-12.2015,1.4116,18
0.26,-13.2587,-11.8939,1.3648,18
0.28,-12.9065,-11.588,1.3185,18
0.3,-12.5565,-11.2838,1.2727,18
0.32,-12.2088,-10.9816,1.2272,18
0.34,-11.8637,-10.6813,1.1824,18
0.36,-11.5212,-10.3831,1.1381,18
0.38,-11.1816,-10.0871,1.0945,18
0.4,-10.8449,-9.7934,1.0515,18
0.42,-10.5115,-9.5021,1.0094,18
0.44,-10.1815,-9.2134,0.9681,18
0.46,-9.8552,-8.9274,0.9278,18
0.48,-9.5329,-8.6443,0.8886,18
0.5,-9.2148,-8.3643,0.8505,18
0.52,-8.9014,-8.0876,0.8138,18
0.54,-8.5931,-7.8145,0.7786,18
0.56,-8.2903,-7.5452,0.7451,18
0.58,-7.9934,-7.2803,0.7131,18
0.6,-7.7032,-7.0246,0.6786,18
0.62,-7.4201,-6.7831,0.637,18
0.64,-7.145,-6.5492,0.5958,18
0.66,-6.8786,-6.3235,0.5551,18
0.68,-6.6217,-6.1069,0.5148,18
0.7000000000000001,-6.3755,-5.9001,0.4754,18
0.72,-6.1408,-5.7041,0.4367,18
0.74,-5.919,-5.5199,0.3991,18
0.76,-5.7114,-5.3487,0.3627,18
0.78,-5.5195,-5.1917,0.3278,18
0.8,-5.3453,-5.0502,0.2951,18
0.8200000000000001,-5.1906,-4.9256,0.265,18
0.84,-5.0578,-4.8194,0.2384,18
0.86,-4.9491,-4.7328,0.2163,18
0.88,-4.8666,-4.6667,0.1999,18
0.9,-4.812,-4.6218,0.1902,18
0.92,-4.7861,-4.5987,0.1874,18
0.9400000000000001,-4.7889,-4.6051,0.1838,18
0.96,-4.82,-4.6569,0.1631,18
0.98,-4.8788,-4.7283,0.1505,18
1.0,-4.9648,-4.8168,0.148,18
