fraction,gs,fes,gap,num_qubits
0.0,-16.0,-14.0,2.0,16
0.02,-15.6565,-13.7073,1.9492,16
0.04,-15.3143,-13.4155,1.8988,16
0.06,-14.9735,-13.1248,1.8487,16
0.08,-14.6341,-12.8353,1.7988,16
0.1,-14.2962,-12.5468,1.7494,16
0.12,-13.9599,-12.2596,1.7003,16
0.14,-13.6251,-11.9737,1.6514,16
0.16,-13.292,-11.6891,1.6029,16
0.18,-12.9607,-11.4059,1.5548,16
0.2,-12.6312,-11.1241,1.5071,16
0.22,-12.3036,-10.8439,1.4597,16
0.24,-11.9781,-10.5652,1.4129,16
0.26,-11.6547,-10.2883,1.3664,16
0.28,-11.3334,-10.013,1.3204,16
0.3,-11.0146,-9.7397,1.2749,16
0.32,-10.6982,-9.4682,1.23,16
0.34,-10.3844,-9.1988,1.1856,16
0.36,-10.0733,-8.9314,1.1419,16
0.38,-9.7652,-8.6663,1.0989,16
0.4,-9.4603,-8.4035,1.0568,16
0.42,-9.1586,-8.1432,1.0154,16
0.44,-8.8605,-7.8854,0.9751,16
0.46,-8.5662,-7.6304,0.9358,16
0.48,-8.2759,-7.3782,0.8977,16
0.5,-7.99,-7.129,0.861,16
0.52,-7.7089,-6.8832,0.8257,16
0.54,-7.4328,-6.6409,0.7919,16
0.56,-7.1623,-6.4026,0.7597,16
0.58,-6.8978,-6.1732,0.7246,16
0.6,-6.6398,-5.9563,0.6835,16
0.62,-6.389,-5.7459,0.6431,16
0.64,-6.1459,-5.5427,0.6032,16
0.66,-5.9114,-5.3471,0.5643,16
0.68,-5.6862,-5.1599,0.5263,16
0.7000000000000001,-5.4712,-4.9818,0.4894,16
0.72,-5.2676,-4.8136,0.454,16
0.74,-5.0765,-4.656,0.4205,16
0.76,-4.8992,-4.51,0.3892,16
0.78,-4.7375,-4.3768,0.3607,16
0.8,-4.5931,-4.2574,0.3357,16
0.8200000000000001,-4.4681,-4.1556,0.3125,16
0.84,-4.3644,-4.0733,0.2911,16
0.86,-4.2838,-4.0083,0.2755,16
0.88,-4.2278,-3.9613,0.2665,16
0.9,-4.1968,-3.9321,0.2647,16
0.92,-4.1904,-3.9207,0.2697,16
0.9400000000000001,-4.2075,-3.9264,0.2811,16
0.96,-4.2466,-3.9488,0.2978,16
0.98,-4.3062,-3.988,0.3182,16
1.0,-4.3848,-4.0498,0.335,16
