p,qaoa_energy,beta01,gamma01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,beta03,gamma03,beta04,gamma04,beta05,gamma05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
1,6.57467326403798,-1.0842985126980902,1.86087012671677,11,-2.0088944195653555,01101101101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.4657944528349951,-1.5451232566322395,0.7160194576391682,11,-2.0088944195653555,01101101101,-0.7738342941187847,-0.7219483781894791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.46608965015656967,-1.5470349166364572,0.7150163711411803,11,-2.0088944195653555,01101101101,-0.7731758705302885,-0.7209459513547528,-0.003642000172618456,-0.12309305564125483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.7532565267395626,-1.5519491352454695,0.7150498557107012,11,-2.0088944195653555,01101101101,-0.8659390767753226,-0.6920691080336988,-0.0733591846334587,-0.5935271305255004,-0.12846486889529718,-0.4919333057793177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.7859284145249372,-1.549622054244062,0.7111941372432652,11,-2.0088944195653555,01101101101,-0.8548453599942966,-0.6960972519925793,-0.13276436477850603,-0.6263673532041846,-0.05959279536973975,-0.5673274338579177,-0.06300483848249026,-0.1507360818789596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.7950543749610928,-1.5478143685953756,0.7063602476321154,11,-2.0088944195653555,01101101101,-0.8481846152609654,-0.6963520330904559,-0.14846156412278178,-0.6233763660100794,-0.06671995873487618,-0.5580376942904786,-0.05280643457050493,-0.27885861881976315,-0.01642974241729501,-0.12580748253119592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-0.8683908781396301,-1.5486601547576826,0.726625471581837,11,-2.0088944195653555,01101101101,-0.8570537127928181,-0.7052404884597551,-0.12616431128498884,-0.7350443026930052,-0.13707519873608134,-0.5999310358514598,-0.04011345304788797,-0.3146613561746827,0.0650047068732232,-0.3700177444462702,-0.1277791722780437,-0.23347176179906412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-0.8718661116733113,-1.5486213882196698,0.7257619668032046,11,-2.0088944195653555,01101101101,-0.8570093332213644,-0.7050823994893443,-0.12919986373594253,-0.7502266350409276,-0.13187133196098982,-0.5957085452392376,-0.04215216589087931,-0.35359091095436,0.0545019826188529,-0.3968977552660291,-0.11763790254618524,-0.21606715534161186,-0.004748335079677277,-0.10633022448481684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.8731188433746722,-1.5485582985011255,0.7255010441185913,11,-2.0088944195653555,01101101101,-0.85813075241867,-0.7042772444377612,-0.13095989448279677,-0.7545035407513101,-0.12788446570406126,-0.5949672943314094,-0.044995340137213485,-0.3587081859014978,0.05007816537581494,-0.3969123704595506,-0.11391334972856469,-0.21836118971148336,0.08218112263692486,-0.12737534708604517,-0.08732576739340663,-0.019200602139629368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.8761233975244735,-1.5489754246628424,0.7254670779697632,11,-2.0088944195653555,01101101101,-0.8574994879391792,-0.705764918427985,-0.13361067200294258,-0.7594040045491622,-0.12197401752919347,-0.5933772456420903,-0.0481742681499191,-0.3588577757914016,0.04015324052963433,-0.39320283154043134,-0.11358949810178842,-0.21818179642223698,0.1742621140345822,-0.2580066250947142,-0.17601169588520818,-0.033303056009404836,-0.003295162594435636,-0.12783892431771202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-0.8796778308359938,-1.5499253590152797,0.7231332996883358,11,-2.0088944195653555,01101101101,-0.8589460668810748,-0.7030245691179566,-0.1337877871312243,-0.7605208371183416,-0.11524643778586686,-0.5691140502843143,-0.051144688745544224,-0.36406670366893557,0.0361319196596874,-0.39391004381458933,-0.11612636922660369,-0.21681999093939403,0.1690952752242102,-0.3863900026046687,-0.1726154784961162,-0.03110033549845696,-0.0017251183180055302,-0.2949983685501608,-0.013112790132870346,-0.1665260338501613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-0.8800136085439565,-1.5486778468561377,0.7231713849599033,11,-2.0088944195653555,01101101101,-0.8601397219833123,-0.7038855146755919,-0.13374477526162537,-0.7609395644718805,-0.11804241941420279,-0.5659634005800241,-0.04909522723969736,-0.36267408288613684,0.03780844063517667,-0.3894308910277369,-0.12054613672946711,-0.21548589289652226,0.1650595437760007,-0.3806975886699303,-0.16685888141593588,-0.03057003802284602,0.00041738400439788226,-0.30150217798355966,-0.01587022887288025,-0.16312214740407666,-0.00258203940697464,-0.13099132636712682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
