p,qaoa_energy,beta01,gamma01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,beta03,gamma03,beta04,gamma04,beta05,gamma05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
13,-0.8808194515844097,-1.5497527773920081,0.7245185751042243,11,-2.0088944195653555,01101101101,-0.8611310907223053,-0.7040231479595566,-0.1336572642199953,-0.7692113972675055,-0.11749861612336683,-0.5595150241184491,-0.04632531121414358,-0.3587531019718336,0.036417787629958,-0.388334993214414,-0.12152308936979941,-0.21481944313092075,0.16380008835118787,-0.35314854146474606,-0.16452387611391386,-0.029547719872821645,0.0032544767123488957,-0.31123903010762527,-0.019759788528856143,-0.16667716804450938,0.08692714922800562,-0.27049968624008314,-0.09077374107824898,-0.0016475605826758808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-0.8812815763680897,-1.5507353702710982,0.7241781472767119,11,-2.0088944195653555,01101101101,-0.8619081810189303,-0.7041521691961784,-0.13269303983144243,-0.7744832913020123,-0.11783753579625829,-0.5550289210326207,-0.04420833511712784,-0.35989288385959645,0.033894031222109496,-0.389142511734586,-0.12271524133352288,-0.21664286923741527,0.1658759556005048,-0.34378803251032153,-0.16267729926833938,-0.029496795513316167,-7.310548625518275e-05,-0.3128327088789457,-0.02063430764361429,-0.16914225803820956,0.08705403100998962,-0.39411687143256596,-0.09151764570604298,-0.0046745840538040965,0.0015727578156476258,0.017036856329903406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-0.8866848578626669,-1.5504143105900232,0.7268427719345988,11,-2.0088944195653555,01101101101,-0.8639969548136357,-0.704154498191547,-0.1382404286640848,-0.792253019027565,-0.11619491889987088,-0.5521112819054128,-0.03782851036874536,-0.3667293986054138,0.021339389474976836,-0.3807593630819158,-0.1263032825698638,-0.22733682562389107,0.16741271233352337,-0.33624681930923955,-0.14422655950782737,-0.05028778714311803,-0.004287263631650185,-0.32263494177411994,-0.04024522004378798,-0.17268029706149324,0.18050478993688662,-0.5221006135015024,-0.1691744675648211,-0.026503627075950584,0.029674054885849826,0.01022470742009102,-0.037019893010658333,-0.12897668181577046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-0.8942923141883776,-1.5515611193632703,0.7269710626413669,11,-2.0088944195653555,01101101101,-0.8637496236948669,-0.702563619996542,-0.1429100295893916,-0.8056629420521857,-0.11377912927863948,-0.5573366915333184,-0.03376259149677454,-0.362450310593556,0.0157958439165168,-0.38911955422351785,-0.12067758704981726,-0.2340805454218631,0.12015122877880666,-0.32895900044235027,-0.10277465732324341,-0.047795780894661216,0.0017163808016065867,-0.45817685584458057,-0.05176555985591841,-0.18493695713684277,0.19047026024957167,-0.6595250316447451,-0.18450194902480144,-0.016980618863325424,0.030761170652233813,0.04728447956499277,-0.051167097694345194,-0.26112393782756094,0.0006248445094546529,-0.13104123215857505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-0.8951007237752817,-1.5508179013059742,0.7255219369821924,11,-2.0088944195653555,01101101101,-0.8625922603493216,-0.7026188571297315,-0.14367754711222466,-0.8042561672857869,-0.11477649538889761,-0.5544805576810057,-0.03090897357184344,-0.36839468519179486,0.014210600320726206,-0.38329074240781663,-0.12328768163434652,-0.22975685644660018,0.12299904410102565,-0.3315072363253562,-0.09999524122158751,-0.04873070733272803,-0.002155833944789905,-0.462522126836471,-0.057722978723914506,-0.1865000341576003,0.18971419860033562,-0.659428340239947,-0.18442076927102383,-0.01553334472029255,0.033523005617284746,0.04680387887503111,-0.052227367116213196,-0.2632753634729594,0.004675309247037593,0.8643791833383592,0.004724975052491803,-0.12401697427335519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-0.8954048476723031,-1.5515608215394492,0.7251355792177111,11,-2.0088944195653555,01101101101,-0.8632767016976475,-0.7015975862458895,-0.14336636330719957,-0.8041807323821235,-0.11342352027238786,-0.5565643743176689,-0.031481519502009545,-0.370695854674365,0.01489281582155286,-0.3821375312623995,-0.12325787632864448,-0.22775317961259348,0.1206705668012311,-0.33021601970803843,-0.09775790830020342,-0.048150890205560695,-0.004730740123349234,-0.47419667325461645,-0.06098115928497466,-0.18444682106762192,0.18652246907905826,-0.6504046393929245,-0.18539988558993303,-0.016047641735590798,0.034920986948253116,0.042730066876373395,-0.05141363211894524,-0.2689823692190696,0.005124124799987898,0.8706696501563264,0.007968247744384475,-0.10563547290060961,0.0009199676440247539,-0.14476897575208084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-0.8956234299297261,-1.5514747896109327,0.7257215293704273,11,-2.0088944195653555,01101101101,-0.8634548772943517,-0.702330495838986,-0.1437246858175284,-0.8064631817318384,-0.1140813302914602,-0.5512970387508392,-0.03137325419982096,-0.36822888008905585,0.014179165746887875,-0.3794138249320432,-0.12328321399693035,-0.23290703143419048,0.120091678404042,-0.326664088205918,-0.09825338097242668,-0.049123877596043426,-0.005296017183144688,-0.47636894608645586,-0.06159449325680552,-0.20927935502841225,0.18692113555241535,-0.6442962065108583,-0.1882288407090438,-0.015990766398639143,0.03760288335424332,0.04541760655738965,-0.050830797640820234,-0.27167537853019796,0.005406190635110738,0.8829821626667801,0.012777477812299511,-0.1303202919477791,-0.002851127974426643,-0.13525726075574446,0.0003940844611953663,-0.10404828021258794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-0.8987032315365466,-1.5512560368430586,0.7267726048459097,11,-2.0088944195653555,01101101101,-0.8638937723563418,-0.702152912308712,-0.14369025130526858,-0.8105342961604061,-0.11306185618983006,-0.5496154083946305,-0.030845808768561554,-0.3741663270178618,0.014893627719871117,-0.3841254417663319,-0.12485353638430849,-0.22561208439565858,0.1121224051820156,-0.30610627206244556,-0.10210116161295386,-0.052930029558090994,-0.019487917253946857,-0.5130406616360091,-0.07358865732339416,-0.21392999786388367,0.18504673869174348,-0.6337211807459378,-0.1870394549563158,-0.014305190203283698,0.038813692866432534,0.04763889163391058,-0.05499638429057717,-0.27657541320778084,0.009773600651450881,0.8894605272197837,0.017780355191314132,-0.13812843415481413,0.005031453876241235,-0.13622168663127512,0.1891261437654752,0.9035662550671132,-0.16587185829362075,0.015532107797975404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-0.9022739175870393,-1.551116863894489,0.7261892286024774,11,-2.0088944195653555,01101101101,-0.8646677209160656,-0.7013752299229685,-0.14583556076326895,-0.8084032201522964,-0.11237087749150214,-0.554865852638698,-0.033854802479743144,-0.3772852459157805,0.019121167427277874,-0.4783924338012254,-0.11907779714905395,-0.1564224416537413,0.1071108023852521,-0.30144655853885804,-0.10678779373631517,-0.05724479607332552,-0.028652808011049823,-0.5079666474098112,-0.08498605579101437,-0.21168633069207074,0.1824580928797672,-0.6337273428125058,-0.18815643298218876,-0.012548669095396807,0.04124942310407752,0.04855195226736799,-0.05578276643398575,-0.27420946798508955,0.01074697569974364,0.88676563281992,0.02186702350669132,-0.1331874396868242,0.011003847356447284,-0.11358859541622282,0.2844373401484481,0.9021888859053627,-0.2507393470726113,0.03912610418949805,0.0020586928561278596,-0.16019577883871713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-0.9082567696148791,-1.5506827186833314,0.7269861249636786,11,-2.0088944195653555,01101101101,-0.8664768966089046,-0.7013294333798769,-0.15134849850658655,-0.8108773647345712,-0.10938314419270079,-0.5543114142056208,-0.04174765698887411,-0.38276134232631265,0.027385325802412947,-0.5094030933451883,-0.10850344919553989,-0.14664138225195184,0.10936045925341702,-0.29835136467914763,-0.10638137781408358,-0.06482113496375341,-0.03397820182385998,-0.5085624795608626,-0.09082059251383277,-0.20623308975426002,0.18451325910638589,-0.6373004513944225,-0.1966104394063281,-0.009820439389516732,0.049880945634414794,0.05116165821326514,-0.05649800989821407,-0.26575478560463883,0.013353788592000872,0.8923992970503267,0.026002986615448316,-0.13941348793780853,0.009122558557354297,-0.09791862238186351,0.38354337615529605,0.9006162227203182,-0.34791075644471414,0.06321898823114037,-0.016787390133786127,-0.1757300311398142,0.0033489633047892988,0.0016267291506128782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-0.91701155475989,-1.5505922065356967,0.7263523501457694,11,-2.0088944195653555,01101101101,-0.8721799200952876,-0.6990177776845382,-0.16049013414610766,-0.8056957818966484,-0.1059579354909792,-0.5538692549922902,-0.049601451955465496,-0.38210767758399905,0.032204682735050366,-0.4833881728989891,-0.09451313458996177,-0.1517609618189958,0.11539109223394432,-0.2971951522957671,-0.11217066101123135,-0.12828592614809575,-0.04455440554460901,-0.493411451901752,-0.09309470126696132,-0.21035818273110135,0.1862965042937372,-0.6305657455466772,-0.21551691290136946,-0.002993970395058018,0.066362104277587,0.044878697073194494,-0.052841404801666346,-0.25566336449960564,0.015680719655728766,0.9114515854139686,0.04544587493229941,-0.16577493192166917,-0.0053154836206204484,-0.11092235858172532,0.47376641690227367,0.9070055209312227,-0.44627238464455354,0.08308903411733684,0.0004346419117952883,-0.29061962013899323,-0.017461097663286365,9.427365999524656e-06,0.00039278185936190063,-0.028660864579853396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-0.9266663119825713,-1.5504359215293546,0.7267444424198384,11,-2.0088944195653555,01101101101,-0.8783578899258104,-0.6972340570223905,-0.17001233454808942,-0.7966498976291004,-0.10226548011344647,-0.5528401733801648,-0.05519507870496823,-0.3689922566108808,0.037906172402265965,-0.5772477592772185,-0.08287828742707777,-0.09079098589109384,0.12331515463801643,-0.2834544798397388,-0.12229951941055049,-0.1319645635817525,-0.055760523477911175,-0.48347379383256484,-0.09366676650235019,-0.203671665738315,0.1806893574161017,-0.6368836408967351,-0.17735673193270157,0.0006565447078220409,0.027868164794521883,0.03974676430858653,-0.05074665342014936,-0.2523764754906234,0.010367790864789096,0.9220965757367421,0.02252951684251979,-0.18175841701962184,0.020056914528986926,-0.030474296293761242,0.5587584943240074,0.8282883614077275,-0.5373183242884554,0.09088887524195513,0.018539544096805242,-0.289675260984945,-0.04299023462021543,0.0057926686587706725,0.06514096886961789,-0.14843550275467512,-0.050140744742624324,0.020171565955731986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-0.9418487236944779,-1.5519116296845243,0.7249458668746709,11,-2.0088944195653555,01101101101,-0.8840602254014258,-0.6944078374156114,-0.1814118212943034,-0.7851225732920208,-0.0993598392160398,-0.5496549164722111,-0.057910646592121764,-0.35496487602039556,0.036522361953685356,-0.5842421992368771,-0.07893704780676121,-0.10022700822891904,0.12617835000313327,-0.2814156961194713,-0.12759979337170266,-0.1588317786308882,-0.07245036305523647,-0.45044595536976906,-0.10150884834777534,-0.2175555764982615,0.16812680604346136,-0.6425673279750634,-0.17739481767917042,0.01816047567239572,0.03800038882684691,0.0556692036271138,-0.054739883403716376,-0.23023713782979283,-8.693796904317522e-05,0.8869592126867507,0.02294390166579035,-0.17726092811068958,0.021681082247584138,-0.031355932243057494,0.6670738914017597,0.8425128761969657,-0.6313261993922966,0.09419793085410835,0.014553868926852167,-0.42891837259228355,-0.052503188193847604,0.027635857447017673,0.1648845156678774,-0.30667051287166075,-0.11176663641452694,0.0242585086477045,0.0036434467626763763,0.005438992507689105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-0.9459534199906194,-1.5521686464987492,0.7262600021333855,11,-2.0088944195653555,01101101101,-0.8872833330327851,-0.693158843723057,-0.1858453906623011,-0.7818856605143435,-0.1013183788531575,-0.5592047633053964,-0.05668326918072976,-0.3534655965770396,0.039845903414821096,-0.5589368065878002,-0.07744699234113211,-0.1088861178783611,0.13139864788759967,-0.2855372812891598,-0.13244156774600077,-0.1659381683542932,-0.06413375959320891,-0.44787127430444335,-0.11769258396083328,-0.19862361274290555,0.24305053424730583,-0.6865070919896028,-0.2562111296622666,0.024414072836578003,0.03534215545559901,0.07935177728364266,-0.05416127603830588,-0.22733338910880485,-0.0176363419570095,0.8815569379465009,0.03838573895490404,-0.17956177057425693,0.030664922812126256,-0.03135240340278811,0.6838292813847452,0.84209785133749,-0.6418248650020677,0.10335469418005182,0.011503653323197168,-0.4246253874105573,-0.054857944404894984,0.028109091445042002,0.16505188193598283,-0.28214353613868204,-0.022932406956516535,0.027639270072012875,-0.08363927759720681,0.016207134211660878,0.002136808054609325,-0.13023622431504162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-0.9564081354024676,-1.5523912335076504,0.7260450355249148,11,-2.0088944195653555,01101101101,-0.8951344725727847,-0.6904112110117063,-0.19570213775611375,-0.7720891758616443,-0.10302418681152721,-0.5590163215309939,-0.052456211076616716,-0.3273448128681194,0.036748110188827274,-0.5608370100425438,-0.0793966743622285,-0.10913482009087504,0.14323669087449936,-0.28806148621280475,-0.1338606719180728,-0.1763086553973036,-0.06652419521240999,-0.44815507878924504,-0.11402829696136682,-0.20386038417156183,0.24379005770403425,-0.6890454675225469,-0.25940871249498604,0.033779020453268915,0.03757868797675257,0.08177107316276724,-0.05698713861125912,-0.22085768748589518,-0.029524587527613288,0.8874963681318774,0.03657451784807069,-0.15941102295554796,0.041239154912892484,-0.0626283288702273,0.787496660999677,0.8558124747414597,-0.7381812392651832,0.10280750953513314,0.09742206122937458,-0.41063960939790933,-0.15370179758336056,0.03279992020662089,0.16722512032193293,-0.3069983693267512,-0.018507263439139016,0.03499168225526262,-0.07943437054916148,0.021472899863355658,-0.0028232878684069504,-0.250501263038543,-0.0027149596226965908,0.0005947460706178209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-0.9608472591194328,-1.5533844364327123,0.7249206019518672,11,-2.0088944195653555,01101101101,-0.8978757374499722,-0.6889530359122303,-0.19832214841148268,-0.7616720096541405,-0.10480844428171333,-0.5600925965753633,-0.05279134074511826,-0.3335232847429402,0.03781100989990113,-0.5962860788420103,-0.07930025042195125,-0.095989782646592,0.15593182568645222,-0.2647723766743534,-0.14013330290730755,-0.17505261222258775,-0.06598914406915493,-0.45250810346581327,-0.11412933262397977,-0.1818538206934807,0.3299270184869541,-0.6877035924531149,-0.3504280337770831,0.03710091686128815,0.04485301468672798,0.07161783851368522,-0.06453930380739528,-0.22425901891617664,-0.03682992371230737,0.8954802770187275,0.04955669724323053,-0.16589010770876053,0.0435969110559669,-0.05568563968450838,0.7967009859807654,0.8565278955768988,-0.7452111922762376,0.10831030917034432,0.09184820307355575,-0.39931085216773066,-0.1541249136719789,0.03773386691028166,0.16945429967664113,-0.30015017698081725,0.06888149541610677,0.0627197822908624,-0.17400031806824273,0.01825725175461105,-0.01441446393354246,-0.39217291545358485,0.005427181065074227,0.025181118090440005,-0.001220975216222846,0.006330498038677196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-0.9684211967131455,-1.5525996547982268,0.7251987041585793,11,-2.0088944195653555,01101101101,-0.8991970033894021,-0.6867617041552976,-0.20045918141868407,-0.7494612193789473,-0.10809505035659293,-0.55958902259495,-0.051147661600101646,-0.3263096871546984,0.04587616705992581,-0.5955490038949077,-0.08747116741823381,-0.10437301484278928,0.17677770984050908,-0.2658439081825291,-0.14279104939631584,-0.17970488850626198,-0.06071928717189519,-0.4525786251991971,-0.11515943212449728,-0.17574431433221946,0.3342575445955167,-0.6868314106398213,-0.3554911805110198,0.043636734676474685,0.05165166384252636,0.07048460124600883,-0.07006940084939797,-0.22533089674171508,-0.0361849522275115,0.8979612897165264,0.055759236499302534,-0.16094161869733603,0.04525954014982261,-0.054972448789757496,0.8234490405292197,0.8564443602743095,-0.7543955095189466,0.10948447325828022,0.08410289318657518,-0.3994784245381527,-0.15138509213607584,0.034795051519194375,0.1767638863783834,-0.294101039659771,0.06484258005016821,0.06932562530851531,-0.17188982254934104,0.03163211453598358,-0.021809673949178238,-0.3912782281906302,0.00047044485127550385,0.022862627066860774,-0.025539651818121283,1.0034400634680931,-0.011958562345744612,-0.13817843967176938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-0.9743045298660267,-1.5522334977536332,0.7243652390887023,11,-2.0088944195653555,01101101101,-0.9013059192963111,-0.6883794651251846,-0.19876379391276527,-0.7402745234415509,-0.11271902112077165,-0.5581665418046654,-0.04597759932968745,-0.3151047520248522,0.050739291746797206,-0.5910199021363558,-0.08964442606503761,-0.0993988379835587,0.18072077182048218,-0.2587476731951644,-0.14057053143936282,-0.1841784330766831,-0.05968644927496916,-0.4541181225116385,-0.11841603850357857,-0.18600260025702894,0.3402084264240709,-0.6896620700570588,-0.3646397509191261,0.04661406756362508,0.05680210306706716,0.07946894333553066,-0.07090782329193807,-0.22425709833637197,-0.03372226897738775,0.8897140254099626,0.054313464142357964,-0.15083082623020838,0.05883596516440159,-0.044482370113428614,0.846042388913589,0.8547749648123228,-0.7511628986651396,0.11445936675203257,0.07920866027914335,-0.39323185701035257,-0.14891712983946012,0.032222006476241,0.1819672915181519,-0.3009205209081207,0.06859832790350562,0.07495512187179514,-0.1857412920884928,0.04097998114631123,-0.017624596043794,-0.3881184333676812,-0.006785747621685284,0.03060635600054533,-0.042640620517645146,1.001596109692789,-0.012935621402053385,-0.13546005117824392,-0.012632510681952872,-0.12590697948949295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-0.9828614690653259,-1.5513237036074217,0.7217156202155115,11,-2.0088944195653555,01101101101,-0.9014503615897773,-0.6847208035470362,-0.19621770783805,-0.6946622033604086,-0.11389987626599649,-0.559719945138204,-0.04318020813559358,-0.25865628834788956,0.05143436351766185,-0.5941228744704935,-0.0843222037185334,-0.09500550986737448,0.18682117339003904,-0.2538409248041815,-0.14155368161406204,-0.19354156646977067,-0.05663439643038914,-0.46794895567973493,-0.1153374857254964,-0.18807858559125099,0.3382942094061712,-0.688239221738426,-0.3696029774940699,0.04540823777557533,0.05363546205096049,0.0836929345266417,-0.06438368999810244,-0.22688034733419202,-0.039914208836379104,0.9269923953420126,0.0547494425476958,-0.17461509139323472,0.06586346565960782,-0.05292605301575255,0.8598749994209943,0.8754437063466808,-0.7479246613917313,0.11847467596220744,0.07942246842776259,-0.39631020245096554,-0.14530556159052277,0.033131344050547885,0.17623455786511524,-0.29473943152817517,0.09055983406058093,0.07800273315712011,-0.21630490695204924,0.051439969866006977,-0.0034336112285923443,-0.383131455756212,-0.02470238578958065,0.06803243045863494,-0.05827958049503542,0.9717846436398183,-0.012846159297815168,-0.1182178132519851,-0.03096208766590636,-0.14583664628793627,0.010153942780069963,-0.1451591365607372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
