fraction,gs,fes,gap,num_qubits
0.0,-20.0,-18.0,2.0,20
0.02,-19.4536,-17.5077,1.9459,20
0.04,-18.917,-17.0236,1.8934,20
0.06,-18.39,-16.5475,1.8425,20
0.08,-17.8724,-16.0794,1.793,20
0.1,-17.3637,-15.6192,1.7445,20
0.12,-16.8637,-15.1668,1.6969,20
0.14,-16.3723,-14.7222,1.6501,20
0.16,-15.889,-14.2854,1.6036,20
0.18,-15.4138,-13.8561,1.5577,20
0.2,-14.9463,-13.4344,1.5119,20
0.22,-14.4864,-13.02,1.4664,20
0.24,-14.034,-12.6128,1.4212,20
0.26,-13.5887,-12.2128,1.3759,20
0.28,-13.1507,-11.8197,1.331,20
0.3,-12.7197,-11.4335,1.2862,20
0.32,-12.2956,-11.0542,1.2414,20
0.34,-11.8785,-10.6816,1.1969,20
0.36,-11.4684,-10.3158,1.1526,20
0.38,-11.0653,-9.9567,1.1086,20
0.4,-10.6692,-9.6043,1.0649,20
0.42,-10.2802,-9.2587,1.0215,20
0.44,-9.8986,-8.9199,0.9787,20
0.46,-9.5246,-8.5879,0.9367,20
0.48,-9.1584,-8.2629,0.8955,20
0.5,-8.8004,-7.9449,0.8555,20
0.52,-8.451,-7.6342,0.8168,20
0.54,-8.1108,-7.3309,0.7799,20
0.56,-7.7803,-7.0353,0.745,20
0.58,-7.4602,-6.748,0.7122,20
0.6,-7.1515,-6.4697,0.6818,20
0.62,-6.8548,-6.2139,0.6409,20
0.64,-6.5713,-5.9709,0.6004,20
0.66,-6.3018,-5.7413,0.5605,20
0.68,-6.0474,-5.526,0.5214,20
0.7000000000000001,-5.8088,-5.3257,0.4831,20
0.72,-5.587,-5.1411,0.4459,20
0.74,-5.3828,-4.9727,0.4101,20
0.76,-5.197,-4.821,0.376,20
0.78,-5.0304,-4.6865,0.3439,20
0.8,-4.8842,-4.5695,0.3147,20
0.8200000000000001,-4.7593,-4.4705,0.2888,20
0.84,-4.6571,-4.3899,0.2672,20
0.86,-4.5787,-4.3279,0.2508,20
0.88,-4.5251,-4.2845,0.2406,20
0.9,-4.4965,-4.2596,0.2369,20
0.92,-4.4928,-4.2532,0.2396,20
0.9400000000000001,-4.5131,-4.2654,0.2477,20
0.96,-4.5561,-4.2969,0.2592,20
0.98,-4.6205,-4.3495,0.271,20
1.0,-4.705,-4.4257,0.2793,20
