p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,u02,v02,beta03,gamma03,u03,v03,beta04,gamma04,u04,v04,beta05,gamma05,u05,v05,beta06,gamma06,u06,v06,beta07,gamma07,u07,v07,beta08,gamma08,u08,v08,beta09,gamma09,u09,v09,beta10,gamma10,u10,v10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
11,-1.8194644868249172,0.813155765349705,-0.1024771113874718,-0.9861775191843979,0.5297899409500993,11,-2.0088944195653555,01101101101,0.6095316612167861,-0.2531071941521099,0.007291377418595698,0.10174969644508242,0.4221014615995665,-0.4258928076188497,-0.09378559221569299,0.08560194443915585,0.3568654912260956,-0.5333832498369,0.026993623724926096,0.05769380426544058,0.33269898421085686,-0.580669953033793,-0.018519561942017225,0.053431523424739884,0.31003900899811393,-0.6418109547298814,0.02624161062224352,0.004487153190111486,0.2510167984808824,-0.7048768996348168,-0.011197862554896344,0.015590318281684612,0.18429496690506234,-0.8025092600638407,0.0009482086796965116,-0.0031792256244074727,0.1271084800474078,-0.8398073421118775,-0.001616060759698292,0.004300381193516792,0.1161877748078239,-0.9856090451379477,-0.01191922517931528,-0.003854059536491952,0.07034512169749747,-1.1409312124213726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1.8572020616379943,0.8234021272715888,-0.09236839534542104,-1.0269375083628012,0.5129905826179804,11,-2.0088944195653555,01101101101,0.619042422707913,-0.23631643797197016,0.016339813201738516,0.1104201893882719,0.4310369979664006,-0.39830539132342824,-0.10013477242101505,0.08675785443561115,0.3620079460874611,-0.5321115668031536,0.031215941169526983,0.05885785158071097,0.32091777328577564,-0.5775507641467336,-0.014674024348234354,0.05686579219559595,0.30535369344781527,-0.6385083934854497,0.02272625878960376,0.007517557782850125,0.27328755688049583,-0.6870066506546794,-0.006076647872576324,0.0199498790164972,0.20162071062988574,-0.7631820846237547,-0.00016808675991455627,0.0012826513445934845,0.15290158411799712,-0.8402370677480578,-0.0018734452040449759,0.008154459969410971,0.10737768345372034,-0.9072822525551736,-0.01103961492001045,-0.006649785635781548,0.10821349071322765,-1.0694782499064703,0.06804380930139522,-1.1940627397744112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1.8778992134837162,0.8257806072869462,-0.0824977319198972,-1.059756269204807,0.5027889655181778,11,-2.0088944195653555,01101101101,0.634241972077556,-0.21748058636875747,0.025858613736264812,0.11687391721644053,0.4526346552218458,-0.3637595602924008,-0.09530100781455104,0.08632276671560275,0.3702849431839532,-0.5060322950144615,0.032268650342563335,0.05528449956759268,0.33021778481352043,-0.5668397731449794,-0.01478336458297102,0.05666455316946121,0.3028273447469835,-0.624199309446725,0.018366105371506354,0.011120579306104324,0.2759403099761711,-0.6878466984917903,0.0012898657441069454,0.020168933274644488,0.22763213981543945,-0.7446105359745384,-0.005124500890830955,0.00351017358728033,0.1716832735523801,-0.8232230235442436,0.002258942129092229,0.00550432492701083,0.12564701981452883,-0.8749613170795645,-0.011573149908443842,-0.0009722085170063811,0.10536300439592242,-0.9762376487978643,0.1046219321240937,-1.1433594031224834,0.05183428879807589,-1.2207874536011551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1.8965951361846853,0.8284842505301481,-0.07209150078312983,-1.0723997649610568,0.4993693810930452,11,-2.0088944195653555,01101101101,0.6591308499363439,-0.20404653037256076,0.02233577396559866,0.12229524209719178,0.4800460052393659,-0.3419684699264303,-0.08640361918819647,0.08812696147210027,0.3870139964228666,-0.47689697806043674,0.0296283009522158,0.0511057570060926,0.34347938967016306,-0.5512343033324988,-0.016548000835672257,0.05443017638381088,0.307770470556625,-0.6020842731651386,0.01429330838872368,0.012208037805234783,0.2774334021045664,-0.6749959280869546,0.008301072102359138,0.020685849081151887,0.2428429764306968,-0.7408415177220085,-0.005213838977255893,0.003425396619191784,0.19701068681277448,-0.7981378719693316,0.0016653955018329741,0.004263547957984169,0.14997753058527655,-0.8487748700931662,-0.007301139430119307,-0.0006905877108097802,0.1148941356517578,-0.9057930463841612,0.10570540841841798,-1.026208022293985,0.10163017902220157,-1.1606263713771547,0.046929885645484185,-1.215113581354083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-1.9129813559039013,0.8243885290625986,-0.06734974554355584,-1.0692404472816297,0.4941792713741267,11,-2.0088944195653555,01101101101,0.671810974018394,-0.19767523445637897,0.02486085301837099,0.12278131680989424,0.49970569443528223,-0.3288031147597938,-0.08877656786159939,0.08844032434482854,0.4012882234416496,-0.4478094632378333,0.029105481736419324,0.04773407505830803,0.35719672564757954,-0.5206849024190737,-0.025016563346014875,0.05085855908939223,0.32073867009854407,-0.5710509869595275,0.013736130253667033,0.014906220551847852,0.28168252107459,-0.6383621227772744,0.009806881029998025,0.02235100135542698,0.24749079075407932,-0.7070931429539912,-0.006147294314709418,0.003483066258671152,0.2166859819624568,-0.7676567129448415,0.006546285473747105,0.002717887936186662,0.17968863822075387,-0.8211615305417291,-0.006878470154583987,0.000489163807826445,0.13755624248280424,-0.8530663320390913,0.11044873393866024,-0.9120256363550079,0.10703239387627606,-1.048606326715693,0.09568956641914837,-1.1774058713240558,0.04071557537135689,-1.2192295963436557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-1.9261634264437992,0.8398789719596326,-0.0582299035785075,-1.0617063067354033,0.4852726639414055,11,-2.0088944195653555,01101101101,0.6816897335292523,-0.18053183342778018,0.039816735462228484,0.12384334739581851,0.5025537683480537,-0.305839764165953,-0.08975958365853932,0.09326808578767962,0.40197235497574224,-0.41214464381871363,0.02391142611627323,0.050705115739570754,0.36004484336580966,-0.4862256381110875,-0.02477381220949998,0.052527395928393464,0.3244811832638781,-0.5384022895210246,0.016047637673468715,0.020699229752025827,0.284979512771406,-0.5864925554486892,0.00950947704809146,0.02537573429633625,0.25174260885791433,-0.6442591396573593,-0.008061558730356131,0.007262764802868661,0.22446411766445867,-0.7177675270278161,0.006669579747667237,0.0044809155031617165,0.19608129472331234,-0.7888457326435121,-0.0013362229373429873,0.0007768893215689215,0.16254318059316192,-0.8293790457503345,0.12938962005536983,-0.8605042468442805,0.110220092699791,-0.9431303933994887,0.10516479552027236,-1.0767635435701088,0.08814355985536555,-1.1848624417636315,0.03597175858601716,-1.2266699484515815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1.9372447585034207,0.8390139796020354,-0.04982646258830776,-1.0487686309002597,0.4774063899616711,11,-2.0088944195653555,01101101101,0.6967210396885427,-0.1617383016714702,0.046073656160469226,0.12672105804397496,0.5208885139962985,-0.2848558752576881,-0.09102571181314947,0.09502772593253957,0.4079448654485276,-0.38852315292150313,0.023253983787740087,0.05197983219068807,0.3606526999822281,-0.45948790591613264,-0.02714694578010138,0.050907298217617476,0.33002948373440016,-0.512008383149463,0.02243393024197127,0.02266142911254921,0.29123888288222227,-0.5559927216232019,0.008326101080406288,0.02428367162521036,0.25412152195433385,-0.5969448701424125,-0.010156974211552176,0.008151520929408617,0.22788740502590618,-0.6555834803593502,0.010968110717507825,0.0027982764738738336,0.20555854004762159,-0.7389490723612647,-0.00029777078809160564,0.0002679741773379342,0.17784939381203355,-0.8083706444977232,0.14630185567367027,-0.8333212374182877,0.12087983797310406,-0.8584164291749277,0.10783319506761725,-0.9490288644978128,0.09924131105024986,-1.0860597658560556,0.07659298817905469,-1.188557737302949,0.0296027710354124,-1.225741472393462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1.9467868155180694,0.8434467589797522,-0.046317824690680985,-1.046702088857653,0.4675298692341134,11,-2.0088944195653555,01101101101,0.7069390936102037,-0.15518372417159382,0.046104794014915663,0.12785096239393398,0.5307306718449848,-0.2813696742518026,-0.09824015493081142,0.09838760947775205,0.4090080878171535,-0.38660346435269355,0.019771966825595778,0.05383685720919055,0.3562389491568485,-0.4512498580879569,-0.03146071302654449,0.05199126550006952,0.32962750836486243,-0.49562050041938055,0.027197617913209682,0.026493148254916887,0.2965054804246096,-0.5374040206007071,0.0066400514475956525,0.024864435764375883,0.258922532577661,-0.5733936618637927,-0.008803533985142985,0.008878604065956575,0.22908583777023012,-0.6132139449101562,0.014356146887298454,0.003379269903575572,0.20727152063042376,-0.6818087325616401,0.0002875797192619018,0.0002442072265515216,0.18592024924495051,-0.7689902492409846,0.1613649686067785,-0.8251687047516212,0.1365776425383142,-0.8373439423355515,0.11716667849437451,-0.8655066547606881,0.10526271392634072,-0.9636284164566356,0.09400771568320844,-1.0996157609259132,0.07002979769211257,-1.1986547273189232,0.026532062768736025,-1.2364003916023114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.9552310269363344,0.8257856552809242,-0.04457607508983219,-1.0401359761985987,0.4543081097582591,11,-2.0088944195653555,01101101101,0.6990659736426325,-0.14823317804806874,0.051456423679395895,0.12293987823517223,0.5329365940097675,-0.26944762983820714,-0.10169851649405684,0.09597205807832153,0.4124648271630289,-0.3739493236981554,0.019605233288749364,0.054322661941425494,0.3535836361103574,-0.4361712920964327,-0.03729599743610302,0.050770689461880146,0.3237890903192272,-0.47069947089498887,0.02585302100100751,0.027115285728659812,0.29622205690899295,-0.5053840354800021,0.0068516688904878605,0.02305684076135646,0.26667759602557894,-0.5462212046188477,-0.004587556694726631,0.00922207922242204,0.23855210235026414,-0.5882765546270625,0.013762103422778508,0.004494262684670408,0.21350785616304316,-0.6412287951899306,-0.000303204219786082,0.002088034406167469,0.19225394374328547,-0.7142822461381123,0.17290280837047317,-0.7855500354032774,0.15154538717464522,-0.8219008615635999,0.1292365441581574,-0.8335854477274409,0.11231036388406299,-0.8758829181848173,0.10162971622398471,-0.9804549904908765,0.08789009003137843,-1.1107827979024445,0.06147586383850915,-1.2060596004544535,0.022180729591872082,-1.246268132303952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1.9610543978230828,0.8289532578208396,-0.040085296442921525,-1.038762701993135,0.45134548147147857,11,-2.0088944195653555,01101101101,0.7110500622901276,-0.13411588635613578,0.051422366085561236,0.12368981020880244,0.5502658542155575,-0.2483301617236996,-0.10174020477406578,0.09783230044603769,0.4253713513860577,-0.35469269281836785,0.022994989145751557,0.05451359616840691,0.3591669709274848,-0.42500176190605565,-0.03715539762794788,0.051293039756526354,0.32689786431125123,-0.4636662334414763,0.028953267926331842,0.028312286262583263,0.3011958692732192,-0.49572286510139546,0.0066185294588328916,0.022751138914350676,0.274154149920117,-0.5332674670054154,-0.00558931153043392,0.00879570592437731,0.247572591734492,-0.571258814281307,0.015513771424962726,0.005444495561939371,0.22208079815424075,-0.6122350089086469,-0.0010836578762664496,0.0019478260069681853,0.19850484415872638,-0.671230635604682,0.17885047195911824,-0.74651072766534,0.1619943950476182,-0.8061903103122013,0.1441806715042796,-0.8263640703077607,0.12544599648328386,-0.8339117512021276,0.11013418379382024,-0.8851467978809598,0.0989685121415961,-0.9978217708176379,0.08492374776098409,-1.1263367274053804,0.059586258021461204,-1.214019856774241,0.021649209491016782,-1.2486963461349485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-1.9666309985156998,0.8239269156944641,-0.034723864695042746,-1.0421254353830744,0.44903424909295125,11,-2.0088944195653555,01101101101,0.7216580748099901,-0.11974535095449064,0.052984554736151206,0.12427116543165954,0.573917593533077,-0.23020556613781917,-0.10144923656870447,0.09939844531688768,0.4463303977568732,-0.3395247622819728,0.025714475098274656,0.05493557190727365,0.3676487012035357,-0.41534736515443577,-0.03727063927055178,0.05066661205758821,0.326782911275282,-0.4550444739537407,0.026984053067958442,0.027926515177355348,0.3012944398346278,-0.4824745248280308,0.010530896753572522,0.01921150995584687,0.27902995717384144,-0.5166134528099335,-0.0029076469303414916,0.005976646851926804,0.2570866166231124,-0.556707847614655,0.014435792750777401,0.005782167064338422,0.2336877413630662,-0.5983136405549738,0.00013521574341365662,0.0011475228437884623,0.20820058305370845,-0.6482365684358165,0.18434468185155023,-0.7120532675935827,0.16665535859233904,-0.7748734480386709,0.15403080660511007,-0.8118899598077832,0.14077495967566522,-0.8228409686080159,0.12424899968274485,-0.8437759167587967,0.10784505659855746,-0.9128374091269753,0.0946693608053899,-1.0272636298571638,0.08073443041268288,-1.1439653953547406,0.05744854152491344,-1.2222502218144333,0.02118567466666816,-1.2551936548652098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1.971659245531316,0.8260768361331581,-0.0309367794789635,-1.0421085747111847,0.44778102798836056,11,-2.0088944195653555,01101101101,0.7353251147158876,-0.10989128353334963,0.05330573236608776,0.12488049021387114,0.598088418646514,-0.21805219702671513,-0.09971974902122172,0.1030977013445698,0.46916814562624526,-0.3287908190741105,0.023383190207132403,0.058871334556535,0.3790122468262943,-0.40686630912935323,-0.04017433038674276,0.05081124932821744,0.32650581558853947,-0.4461313750839006,0.029186345531712704,0.02588670138001413,0.2962186357265739,-0.4698331352142112,0.011626749827456975,0.016448818279097405,0.27578869789108623,-0.4996469569932205,-0.0026418156676665024,0.004693948267063576,0.2590378243928808,-0.5367577154676111,0.015352133305439239,0.005008494612867406,0.24161681548334207,-0.5749054667455107,0.0022137717023373205,0.0011902888000462645,0.22060927820503265,-0.619045982397807,0.19760733473109782,-0.6790750762091537,0.17759302988973855,-0.7482367505196004,0.1630281149390894,-0.8012360706708311,0.15089309739468515,-0.8215676046156682,0.13681894969142047,-0.826220657476018,0.12059274798015214,-0.8549058523836173,0.10556082777158424,-0.9324263207213649,0.0928160958061152,-1.0445999931365841,0.07782982352979083,-1.1521510391628689,0.05402634622403696,-1.2245070474070958,0.01959623880292895,-1.256764397897788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1.9757834175479774,0.8228427926366194,-0.02608141507801896,-1.0460762404479351,0.4399692338394677,11,-2.0088944195653555,01101101101,0.7414221407178834,-0.09676214913446171,0.040357891816210606,0.12855219210693916,0.6130147367083927,-0.20149467269798432,-0.0917101937950476,0.10396917888076576,0.48407586422973015,-0.315924580591054,0.025676934607000115,0.060889843092766384,0.38660346622532393,-0.40194320127766314,-0.04021272364955421,0.050695793228269045,0.3269903229924507,-0.44642783764957417,0.028209697678430366,0.025512306522358124,0.29391153107548357,-0.4691459473693828,0.014945097897249487,0.015944022097383964,0.2732210203929543,-0.49618594546082195,-0.0009788702640891574,0.003962906093724553,0.2564146867694645,-0.5346593043524372,0.016607060922097096,0.0043175233156395815,0.23995912982100964,-0.5764264807999342,0.002942142323546713,0.00014893352925665805,0.22201239611270115,-0.6185121745463088,0.20202653547865534,-0.6689973600696651,0.18192346655846497,-0.7310096049070468,0.16487748134168975,-0.7893970606488309,0.1518410623676661,-0.8223204952314879,0.14014128753064792,-0.8273351144404627,0.12648056641816802,-0.830953728465131,0.11090887065203732,-0.8679032614376154,0.09652345497782616,-0.9501194430932873,0.08467372482766065,-1.0564810049606153,0.07138661380866393,-1.1516322400596055,0.05004493247197926,-1.21293613517264,0.018283965637233616,-1.2396156805218896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-1.9792617924926512,0.8089331172758328,-0.02159477502918122,-1.0374603921392493,0.4354844319033067,11,-2.0088944195653555,01101101101,0.7388833921003856,-0.08235216463546223,0.032352946557691054,0.1298221524508068,0.624604888659591,-0.1774430005316839,-0.07756910106071038,0.09979053041719381,0.5029916196802587,-0.28779528531522686,0.031372248628344875,0.060968504195139585,0.40322234465321977,-0.377696757960089,-0.04062970365078986,0.04931080796580667,0.33629963618667547,-0.42873853208307333,0.01999449920696523,0.023625620370789156,0.29729064193752347,-0.45317525750122073,0.024517448063594523,0.012480989351027916,0.27485629375050313,-0.4767594287665996,-0.0018531237781466018,0.004000617270467173,0.25938066582568764,-0.5139433563945943,0.015769449880830975,0.0027749151398524176,0.24539258615005727,-0.5617659066475444,0.0032094062407345956,0.0001221723152544317,0.23017309164162644,-0.6129003817954034,0.21246784572093458,-0.6667058625171003,0.1926554836428597,-0.7243035831134231,0.17281451750299787,-0.7774253069805636,0.15531414321598025,-0.8099749119025021,0.1408955204209767,-0.8148983981354828,0.1282993352324895,-0.8080033923336228,0.11584936300536051,-0.8207476121279491,0.10308926442455009,-0.8757925184080602,0.09049441126764037,-0.9677895459581084,0.07762829798216099,-1.0672919756494028,0.06213952210156567,-1.1434818427276483,0.04125116136298349,-1.1846014024919227,0.014586121667615453,-1.1990319389529716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-1.9829656008377006,0.8031953178805152,-0.01959102258686718,-1.038847667276605,0.43002808203728926,11,-2.0088944195653555,01101101101,0.7369349375928564,-0.07565844921347166,0.03606449625478292,0.12760656245344196,0.6277892819046399,-0.16557096206120392,-0.08093633377943794,0.0992654410405607,0.5097606130728165,-0.27270230003690304,0.0364827332121425,0.06134876540226154,0.41080100144079057,-0.3629890868061009,-0.04192342842412123,0.04780180004512302,0.34272743207624345,-0.41633857966967325,0.019674213415452117,0.024241642051523418,0.30210382775066436,-0.44178813179148096,0.02109800896915313,0.014240154089476991,0.27832612769958903,-0.46422078361681196,0.00091205281682276,0.004768264095240095,0.26164848522005835,-0.5000789049691021,0.015616203482603374,0.002374619153721234,0.24659017256761678,-0.5474965232090423,0.004693693011997742,0.00042421954035321355,0.23117131828297993,-0.5967808399097362,0.21501729380480228,-0.6446012766909203,0.19837421944074546,-0.6945761070953634,0.1818966791515552,-0.746098304778206,0.16630395771101417,-0.7880825733603681,0.15181920147682806,-0.8079262675197282,0.1380483058896177,-0.8071183362280268,0.12454269250513689,-0.8059641090372958,0.11137855962536714,-0.830612623935962,0.0989524243004256,-0.8935062922055547,0.08707311445819588,-0.98443543013441,0.07431266398906088,-1.0786940598764632,0.0584663458356643,-1.1536770290958573,0.037971629605402964,-1.2000135988571226,0.013230134703011895,-1.2204437654776257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
