p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,beta03,gamma03,beta04,gamma04,beta05,gamma05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
1,0.6557203025432825,0.5824782917578716,-0.3705690725744704,-0.5240638082308359,0.8237486999918946,11,-2.0088944195653555,01101101101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.10442339972400472,0.6470744778268486,-0.28428909684595116,-0.7428832105141466,0.7003883678080546,11,-2.0088944195653555,01101101101,0.26802702458136934,-0.6863345932402936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.202945097409442,0.6514499119140584,-0.2729672633626287,-1.0546645176536515,0.6744305765348715,11,-2.0088944195653555,01101101101,0.4768944341073605,-0.7457604323097362,0.17455547780669797,-1.018727695672365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.43714352236460474,0.6203519964362274,-0.20525137913471742,-1.052083860509232,0.6325054105432557,11,-2.0088944195653555,01101101101,0.525909028483663,-0.5845064755392766,0.3514011783216758,-0.8747757596073762,0.1233956842198272,-1.0318683641372604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.7061552023065136,0.6090136149417302,-0.15674264594246676,-1.0019700320013025,0.6166050462585853,11,-2.0088944195653555,01101101101,0.5493991190638698,-0.454884875552321,0.4360056095232905,-0.708499804173823,0.2799328330928615,-0.8927618355543882,0.09645828055256862,-0.9896341182334236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.9400315909952335,0.5750225305081444,-0.12411084955888582,-0.95085015082375,0.5799843772565989,11,-2.0088944195653555,01101101101,0.5358356953236764,-0.36387459938209593,0.4601325430132546,-0.5788408965886236,0.35307211830146007,-0.7543601432724468,0.2219504122066844,-0.8784709928313327,0.07570315231042182,-0.9427154959707196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.0847963429891134,0.5475756970148815,-0.1017184751245495,-0.9084888231039947,0.5510405241711875,11,-2.0088944195653555,01101101101,0.520117965089569,-0.3000548362915411,0.4665793465711827,-0.4833451950469926,0.38964449135003637,-0.6423986074490204,0.2931712343188964,-0.7692394712505762,0.18199714742254353,-0.8575074558993279,0.06169696360051907,-0.9027764360699817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1.177413469918215,0.5186094311348255,-0.08504107532334937,-0.8676143278350895,0.521118760402409,11,-2.0088944195653555,01101101101,0.49867956153583376,-0.2518551451369562,0.4595857160497401,-0.4089905629649425,0.4028302492344937,-0.5504087028227362,0.33059424185097214,-0.6706749449038089,0.2456536831525046,-0.7651675249710702,0.15127279117465878,-0.8302551461645854,0.05107857066672968,-0.8634365277034454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1.2747861170548331,0.5500325113902308,-0.07758725204169009,-0.8902138814458652,0.5521335462273008,11,-2.0088944195653555,01101101101,0.5333200518615191,-0.23040430673282744,0.5004029324299628,-0.37622064315409265,0.45228132311262403,-0.510605705709952,0.39041737465790055,-0.6294762722767685,0.3166907918349208,-0.7292205208408186,0.23334171955531,-0.8068077728825087,0.1429026772036186,-0.8598805790095959,0.048121609317338845,-0.8868263488640447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.374441931336988,0.5304866060107605,-0.06874386385164769,-0.8761745622216068,0.5321269758890262,11,-2.0088944195653555,01101101101,0.5174242651866688,-0.2045388894791116,0.4916212217209983,-0.33529748882194443,0.4537128321792654,-0.45779995120141437,0.4046325269227194,-0.5690298594313756,0.34558882595497087,-0.6662483640203052,0.27803558114865456,-0.7470616227355056,0.20363617758726796,-0.8094797449435794,0.12422257550395636,-0.8519657893218929,0.041750201340645776,-0.8734736084547549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
