p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,beta03,gamma03,beta04,gamma04,beta05,gamma05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
11,-1.4511884097972336,0.5145689950015501,-0.06155159162686564,-0.8628020236083664,0.5158834067965397,11,-2.0088944195653555,01101101101,0.5040938541577635,-0.1834017619752066,0.483356816129958,-0.3015184013367397,0.4527800272117004,-0.4134969955543242,0.4129859426491885,-0.5170579833692899,0.36478465524745146,-0.6100931617149515,0.30915740421695426,-0.6907086026514909,0.2472365999729326,-0.7572632082771744,0.18028277152494068,-0.8084021187490968,0.10965890574128258,-0.8430842933224897,0.03680270086690245,-0.860603702938171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1.5017611560469506,0.5065751066703141,-0.0557041264277428,-0.8517043004430104,0.5076620500884014,11,-2.0088944195653555,01101101101,0.49790746614603154,-0.16615926623594812,0.48072049082996077,-0.27377137493080456,0.4553082546348895,-0.3766991794968298,0.42210556796771836,-0.47318155666092054,0.3816805380028467,-0.5615676661998306,0.334724848210909,-0.64034519727409,0.2820419234628222,-0.7081662444857603,0.22453318320749205,-0.7638703709135032,0.16318261793512262,-0.8065044635100381,0.0990399528271141,-0.8353390411306352,0.03320268666717118,-0.8498807361577504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1.5358559761887696,0.5054664868476959,-0.05126418047488853,-0.8490469730696979,0.506390368617072,11,-2.0088944195653555,01101101101,0.4980956472580541,-0.15304499423646062,0.4834614515176728,-0.25259406735475143,0.4617772991537857,-0.34845975017870595,0.43335939393631684,-0.43924410518203333,0.39862213291488674,-0.523623292040221,0.358072063576687,-0.6003668722034954,0.31230049724347303,-0.6683557514615832,0.2619748864209739,-0.7265984988572789,0.20782909183838824,-0.7742458039823078,0.15065268110644087,-0.8106028618355597,0.09127941504366804,-0.8351395046445701,0.03057508956621637,-0.8474979329054758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1.5691426528849144,0.5210792004276742,-0.04786079406596535,-0.8535832408024572,0.5219002460569688,11,-2.0088944195653555,01101101101,0.5145263271451018,-0.142980504943037,0.501502986763551,-0.23630215301122856,0.4821729553446379,-0.32665216439960126,0.4567793192490008,-0.41289433529264846,0.42564141818427326,-0.49394412035251706,0.38915082932297507,-0.5687822715058988,0.3477664429923701,-0.6364676555799326,0.3020086918623457,-0.6961490895979134,0.2524530062026278,-0.7470760448990903,0.19972257751326578,-0.7886080854720432,0.1444805215299357,-0.8202229218091162,0.08742153915881552,-0.841522979000015,0.02926318020961471,-0.8522403964669834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-1.6170432648773838,0.5528854045160984,-0.04290195978357808,-0.8197415861559293,0.553644154588295,11,-2.0088944195653555,01101101101,0.546827876325511,-0.1282358365015331,0.5347791874908114,-0.21216473455970336,0.5168713459682232,-0.2937691113877125,0.4933005538169241,-0.37215489235621907,0.4643250575682295,-0.44646326644565293,0.43026231882255234,-0.5158800955594635,0.3914855360736766,-0.5796448343914741,0.34841955586796247,-0.6370588631194121,0.3015362180966795,-0.6874931416298758,0.25134918641941895,-0.730395101413454,0.19840832045754858,-0.7652946996209451,0.14329365141713488,-0.7918095689511775,0.08660902714567084,-0.809649206947176,0.02897549624869459,-0.818618158801872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-1.6593147388866312,0.5526117543896858,-0.03926617811492839,-0.8002453479436105,0.5532782022149773,11,-2.0088944195653555,01101101101,0.5472898011065995,-0.11742037958446201,0.5366971478598187,-0.19444375861008847,0.5209358076906431,-0.26959453794652904,0.5001575709209268,-0.34214897450717896,0.4745625433293019,-0.4114083294056696,0.444397219023141,-0.47670559719331407,0.40995210656555603,-0.5374119294861995,0.37155893121912736,-0.592942691118889,0.3295874402502859,-0.642763090500657,0.28444184206101203,-0.6863933299508571,0.23655691344096316,-0.7234132264128684,0.18639381242931477,-0.7534662580466279,0.13443563711074963,-0.7762629977288443,0.0811827731168132,-0.7915839003944124,0.027148074638743892,-0.7992814173754054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1.685518923350977,0.5453154161000997,-0.03644066693589653,-0.7890415314154513,0.5458979029178451,11,-2.0088944195653555,01101101101,0.5406629772427339,-0.10901110188600979,0.5313977924959296,-0.18065149255106358,0.5175989091491342,-0.2507506283775939,0.4993840544097137,-0.31871044825498795,0.4769086309959276,-0.38395114296200933,0.4503643912957314,-0.44591610189463904,0.41997780140301194,-0.5040766618714927,0.3860081089887239,-0.5579366175016839,0.34874513149116987,-0.607036454634261,0.3085067834958031,-0.6509572707709244,0.26563636440007843,-0.6893243489944391,0.22049962950403615,-0.7218103549212531,0.17348166951504515,-0.7481381294030417,0.12498362508966558,-0.7680830531508385,0.07541926444300599,-0.7814749631076089,0.025211453224202228,-0.7881996042194563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1.7014006805081356,0.5369352534183849,-0.034484518187014736,-0.7905777744696002,0.53744678366798,11,-2.0088944195653555,01101101101,0.5328488519295007,-0.10319110655531961,0.5247071489344995,-0.17111234829424482,0.5125721077092679,-0.23773132174219005,0.49653608324486803,-0.30254101628558044,0.47672111937029044,-0.36504819101577723,0.45327801992522293,-0.4247771285902199,0.42638520105177286,-0.4812732557286478,0.39624733333989515,-0.5341066027902438,0.36309378416061955,-0.5828750761022217,0.3271768720418603,-0.627207518135468,0.2887699463720659,-0.6667665322374496,0.24816530704631903,-0.7012510504244643,0.20567197988764052,-0.7303986246907878,0.16161336477388002,-0.7539874243964666,0.1163247743693727,-0.7718379245324338,0.07015088219309519,-0.7838142720142283,0.023443099445067565,-0.7898253196059971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.7159062380514873,0.5353731721379866,-0.03366554912334156,-0.8146538439599484,0.5358309011911541,11,-2.0088944195653555,01101101101,0.5317160305110293,-0.10076667753309455,0.5244267292427197,-0.16717946735922967,0.5135550616519745,-0.23245025190555146,0.49917529225216456,-0.29613316552990376,0.4813856494491848,-0.3577931893586072,0.46030765454184014,-0.4170091229064704,0.43608529160815335,-0.47337646130319433,0.40888402394811435,-0.5265101584718006,0.37888966380156397,-0.576047257383767,0.346307103062184,-0.6216493694235677,0.3113589136581065,-0.6630049859260375,0.274283827159959,-0.6998316060964211,0.2353351040021672,-0.731877666777253,0.19477880345738444,-0.7589242608798052,0.15289196618187942,-0.7807866327414715,0.10996072174693777,-0.7973154401942836,0.06627833408375976,-0.8083977747233483,0.022143198193442792,-0.8139579327464926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1.7358951178872735,0.5264477970985793,-0.03263348103269593,-0.8312183947312063,0.5268539824254601,11,-2.0088944195653555,01101101101,0.5232020713678095,-0.09769924683578757,0.5167306308847135,-0.16216266429384024,0.507073374231842,-0.22562629500196352,0.4942898416078234,-0.287698864573043,0.47845884774224096,-0.34799767497444906,0.4596779959766156,-0.40615096398866796,0.4380630765073493,-0.4618001972509959,0.41374735250066025,-0.514602278733123,0.3868807384808484,-0.5642316660442378,0.35762887605740173,-0.6103823775081216,0.32617211268939195,-0.6527698786419305,0.29270438978341834,-0.6911328364059001,0.2574320469803432,-0.7252347304084376,0.2205725500027919,-0.7548653111329868,0.1823531499066575,-0.7798418961962132,0.14300948200277286,-0.8000104966456443,0.10278411308686262,-0.8152467663527693,0.06192504593458594,-0.8254567686482699,0.020684190281955166,-0.8305775554728241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-1.7531194594408168,0.5121996881839678,-0.031433294290360674,-0.8406603452691208,0.5125581176212878,11,-2.0088944195653555,01101101101,0.5093352597601705,-0.09412409513888301,0.5036224219582417,-0.15628851586711293,0.4950931232845119,-0.21757890781810924,0.48379506303696906,-0.2776525102583921,0.46979142455143613,-0.3361733672350011,0.4531605218547269,-0.39281420637746073,0.4339953617008416,-0.44725826913763017,0.412403123439471,-0.49920108223199333,0.38850455962559727,-0.5483521603797663,0.36243332072222467,-0.5944366308144197,0.3343352076727765,-0.637196770483687,0.3043673565230778,-0.6763934473414155,0.27269735965284586,-0.7118074576709692,0.2395023285311219,-0.7432407519613299,0.2049679032370927,-0.7705175424802984,0.16928721428546517,-0.7934852863507998,0.13265980256228732,-0.8120155386325288,0.09529050341137177,-0.8260046706381585,0.05738830111196516,-0.8353744494669944,0.019165160153885436,-0.8400724755150909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1.764664514082006,0.49847467527886286,-0.030338564933904997,-0.8500022741794352,0.49879249305792456,11,-2.0088944195653555,01101101101,0.49593456259425966,-0.09086109642903305,0.49086728105704797,-0.15092062060398534,0.48329865237241665,-0.2102110878904409,0.47326724453725766,-0.26843036765769895,0.46082417530649455,-0.3252817878011183,0.44603285170872076,-0.38047564651515964,0.4289686469385158,-0.4337306885473802,0.4097185162719228,-0.48477553841073173,0.3883805539622942,-0.5333500832508369,0.3650634933744613,-0.5792067983214724,0.33988615290443125,-0.6221120083139376,0.31297683050807645,-0.6618470781128651,0.2844726499241603,-0.6982095269106522,0.25451886192319567,-0.7310140600032445,0.22326810414281312,-0.7600935130094737,0.1908796232813468,-0.7852997037024272,0.1575184636131628,-0.8065041871121094,0.1233546259608681,-0.8235989100515669,0.08856220141008696,-0.8364967617311615,0.05331848418119263,-0.8451320176551861,0.017803068178600806,-0.8494606745388293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1.7728181403398091,0.48853143443529934,-0.02906677809092075,-0.8513717899796736,0.48881640346556704,11,-2.0088944195653555,01101101101,0.48625367537260805,-0.08706481153552761,0.4817087772114324,-0.14465690863799147,0.4749179303650108,-0.20157454845601883,0.46591279689612464,-0.2575523546785185,0.4547353628939459,-0.31232933293246673,0.44143774271550773,-0.36565008765915397,0.42608193600451516,-0.4172660128861751,0.40873953862038565,-0.4669364513432339,0.3894914088253029,-0.5144298165174295,0.36842729028567245,-0.5595246724164837,0.3456453936457219,-0.6020107660055563,0.3212519386241409,-0.6416900075039506,0.2953606587687209,-0.6783773939711119,0.2680922711780522,-0.711901871875739,0.2395739136626864,-0.742107134626307,0.20993855196997335,-0.768852351344552,0.17932435983636846,-0.7920128234840353,0.14787407475768877,-0.8114805662323307,0.11573433248101782,-0.827164811986067,0.08305498332116261,-0.8389924335513957,0.04998839348931231,-0.8469082850967254,0.01668873469142643,-0.850875459268045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-1.7828832491342057,0.5293997234671852,-0.027103496185903887,-0.8283696805787354,0.5296833225516396,11,-2.0088944195653555,01101101101,0.5271327525763746,-0.0811944272260392,0.5226085183121395,-0.13493767126359735,0.5158463941401724,-0.18810309147679663,0.5068753365143179,-0.24046302537418027,0.4957337608805918,-0.2917932596803564,0.48246937717634336,-0.34187399045166506,0.4671389855289796,-0.3904907643104098,0.44980823302909895,-0.43743539676714466,0.4305513326195714,-0.4825068636986187,0.4094507453043238,-0.5255121621639339,0.3865968270376611,-0.5662671368727683,0.3620874418061984,-0.604597268766601,0.3360275425602462,-0.6403384223361138,0.30852872178916424,-0.6733375484746404,0.27970873366519,-0.7034533398579375,0.24969098980199525,-0.7305568360438414,0.21860403078721036,-0.7545319757006795,0.1865809757518933,-0.7752760935997112,0.15375895233397407,-0.7927003602433976,0.120278509476657,-0.8067301622469486,0.08628301557626802,-0.8173054218442903,0.051918044556771945,-0.8243808541502838,0.017330752499880676,-0.8279261610775546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-1.7989527084660404,0.528427210674756,-0.02602278279011953,-0.8284671734736752,0.5286880863307171,11,-2.0088944195653555,01101101101,0.5263417498896514,-0.07796564833536457,0.5221790586804049,-0.12960081908574653,0.5159555652874663,-0.1807245146121792,0.5076958309960141,-0.23113497304461467,0.497432453203783,-0.2806332473339677,0.48520593677402757,-0.32902399040522895,0.471064534181332,-0.37611622610312356,0.45506405508113734,-0.4217241028877481,0.4372676460545286,-0.4656676273056904,0.4177455413975278,-0.5077733743419596,0.39657478593841494,-0.5478751718492896,0.37383893097698895,-0.5858147563536875,0.3496277045457584,-0.6214423976480619,0.3240366572943903,-0.6546174897089451,0.29716678539494834,-0.6852091056042302,0.2691241319561427,-0.713096514201959,0.2400193685196269,-0.7381696566409408,0.20996735828998306,-0.7603295806827987,0.1790867028221302,-0.7794888312312451,0.1474992739551704,-0.7955717954773948,0.11532973283991782,-0.8085150013089755,0.08270503795828915,-0.8182673678057584,0.04975394407617685,-0.8247904068326127,0.0166064941072109,-0.8280583749345929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-1.8126122846008643,0.5193009678854388,-0.025242836715251033,-0.835771727313649,0.5195379891743768,11,-2.0088944195653555,01101101101,0.5174060949700673,-0.07563640177207985,0.5136232633251,-0.12575397780135558,0.5079662760929738,-0.17541269120322991,0.5004557750066178,-0.22443134271781973,0.49111916507000736,-0.2726310686016561,0.47999051456027714,-0.31983599328208706,0.46711043071627273,-0.36587387110816877,0.4525259115671389,-0.41057671485636704,0.436290174441609,-0.45378140869771744,0.41846246178374286,-0.4953303033897968,0.39910782498367375,-0.5350717915217111,0.3782968870121397,-0.5728608607130982,0.3561055847249229,-0.6085596227485757,0.33261489177749715,-0.642037816716887,0.30791052316094103,-0.6731732843188389,0.2820826224372307,-0.7018524156096889,0.25522543281515825,-0.7279705635495118,0.2274369532670824,-0.7514324258489007,0.1988185809413074,-0.7721523927166847,0.16947474117488356,-0.7900548592407742,0.13951250645687802,-0.8050745012622851,0.10904120573247304,-0.8171565137363104,0.07817202547350222,-0.826256810709586,0.04701760397107169,-0.832342186185353,0.015691620330651666,-0.835390435288439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-1.821718610751435,0.5071576188207119,-0.0244068306263531,-0.8391633710445887,0.5073722626147047,11,-2.0088944195653555,01101101101,0.5054415579755815,-0.0731379068900198,0.5020152428920147,-0.12162150762802922,0.4968902671356796,-0.1696935796826059,0.4900839720022628,-0.21719146237877276,0.4816193878400139,-0.26395443791658624,0.471525156122337,-0.30982427518929734,0.459835432534111,-0.35464576518732965,0.4465897713996637,-0.39826724617643816,0.431832991843459,-0.44054111687300984,0.4156150261363666,-0.4813243358800859,0.39799075074066315,-0.5204789056941697,0.37901980062545515,-0.5578723396450974,0.3587663674808195,-0.5933781101889916,0.3372989825134448,-0.6268760770374182,0.31469028455872,-0.6582528936740937,0.29101677429390943,-0.6874023908836165,0.2663585553840761,-0.7142259359944857,0.24079906343663576,-0.7386327666208388,0.21442478368167217,-0.7605402977736364,0.18732495833329477,-0.7798744013021229,0.15959128462223476,-0.7965696567200241,0.13131760452144325,-0.8105695725677644,0.10259958721455878,-0.8218267775616837,0.07353440538167391,-0.830303180883467,0.04422040639774456,-0.8359701010674155,0.01475677955620472,-0.8388083630494481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-1.827939781648726,0.48892421653959,-0.023690949969199276,-0.844709886987056,0.4891166221143401,11,-2.0088944195653555,01101101101,0.48738588006981826,-0.07099830941418742,0.4843140473059383,-0.11808228191091394,0.47971838337029393,-0.16479472386251204,0.4736133479218587,-0.21098866064466304,0.4660181496607989,-0.2565187490421396,0.45695668589079647,-0.30124173455233316,0.44645746732929065,-0.34501690211691727,0.4345535284022126,-0.387706518863482,0.4212823233054603,-0.4291762674641053,0.4066856081601409,-0.4692956687473605,0.39080930963236615,-0.5079384922340616,0.37370338043096923,-0.5449831533050515,0.3554216421378019,-0.5803130957513966,0.33602161586512624,-0.6138171585033406,0.31556434127291455,-0.6453899253841568,0.2941141845154965,-0.6749320567884393,0.27173863572182466,-0.7023506022412542,0.24850809664655965,-0.7275592928547223,0.2244956591601039,-0.7504788127618562,0.19977687527453608,-0.7710370486736227,0.17442951942902937,-0.7891693167740282,0.14853334378269223,-0.8048185662393361,0.12216982728477023,-0.8179355587410637,0.09542191931172757,-0.8284790233679807,0.06837377867782021,-0.8364157864796647,0.04111050884033072,-0.841720876083047,0.013717890132606166,-0.8443776004035408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-1.8335806093319151,0.460832311194909,-0.022719799771029017,-0.8390072390031945,0.46100136674718006,11,-2.0088944195653555,01101101101,0.4594806106258029,-0.0680927582257882,0.45678117425825493,-0.11326598888844194,0.45274192000423785,-0.15810699089021057,0.4473746956924332,-0.20248423784621908,0.44069524431650825,-0.24626756364504557,0.4327231578582028,-0.2893285442483535,0.42348181982067196,-0.3315408743807231,0.41299833664064123,-0.3727807380047867,0.4013034581805585,-0.41292717149499897,0.3884314875339483,-0.45186241844479297,0.3744201804085289,-0.4894722750664092,0.3593106343822157,-0.525646425170283,0.34314716835684494,-0.5602787637414347,0.3259771925631976,-0.5932677081637612,0.3078510694986249,-0.6245164961793508,0.2888219662051654,-0.6539334697088578,0.2689456983214506,-0.6814323437004417,0.2482805663658196,-0.7069324592186912,0.22688718473085429,-0.7303590200311784,0.20482830389092133,-0.7516433119986966,0.1821686263442199,-0.7707229046256696,0.15897461682920608,-0.7875418341795515,0.13531430737206301,-0.8020507678420967,0.11125709773704669,-0.8142071484110166,0.08687355186501974,-0.8239753191275855,0.06223519089725498,-0.8313266282640578,0.03741428339160506,-0.8362395131641222,0.01248363334637073,-0.8386995634898875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-1.8495407999227131,0.45000375873920373,-0.019548247868090615,-0.7467733686210916,0.45015801664856187,11,-2.0088944195653555,01101101101,0.4487703297158773,-0.05859116321564746,0.44630685241244283,-0.09747348425745203,0.44262007904895484,-0.13608863725420578,0.43772011481493805,-0.1743307807556509,0.43162039017176573,-0.21209509570462876,0.424337624040698,-0.24927807273882965,0.4158917779774814,-0.2857777959027597,0.4063060014591115,-0.32149422199229144,0.39560656843272607,-0.3563294547661316,0.38382280530054197,-0.3901880132726145,0.3709870105382252,-0.4229770935563535,0.357134366167014,-0.45460682302743183,0.3423028413222445,-0.4849905067959247,0.32653308818258947,-0.5140448652965669,0.30986833054526264,-0.5416902625522514,0.2923542453525948,-0.567850924450709,0.27403883749471,-0.5924551464360809,0.25497230823145817,-0.6154354900461237,0.2352069175942518,-0.6367289677563466,0.214796841144952,-0.6562772156244372,0.19379802148441921,-0.6740266532617711,0.17226801491773291,-0.6899286306935328,0.15026583369635998,-0.7039395617049148,0.1278517842696755,-0.7160210433079024,0.10508730198917628,-0.7261399610011956,0.08203478271845353,-0.7342685795347544,0.05875741181046733,-0.7403846189301915,0.035318990920886355,-0.7444713155486449,0.0117837631321841,-0.7465174680387462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-1.8583520827549913,0.43810872809804463,-0.018753780756883786,-0.7402989085587556,0.4382493731482117,11,-2.0088944195653555,01101101101,0.43698410927641856,-0.056213201584417144,0.43473775851355223,-0.093528323929699,0.4313754421596364,-0.13060336040884638,0.42690579123252903,-0.16734313993495142,0.42134027926205564,-0.20365335202089646,0.41469319283762335,-0.23944078887302178,0.40698159493475045,-0.27461358465419505,0.39822528111465305,-0.3090814513020982,0.38844672870932334,-0.3427559102973875,0.37767103912254085,-0.375550519786785,0.36592587339492877,-0.40738109647807486,0.3532413811984593,-0.43816593173740837,0.3396501234426787,-0.46782600133419405,0.3251869886913187,-0.49628516829516467,0.3098891036038542,-0.5234703783468959,0.2937957376319008,-0.5493118474450782,0.27694820221509586,-0.5737432409091574,0.25938974473522514,-0.596701843702509,0.24116543750081418,-0.6181287214210371,0.2223220620471588,-0.6379688715769449,0.2029079890487949,-0.6561713647893316,0.1829730541526705,-0.672689475519183,0.16256843005075503,-0.6874808020131602,0.141746495120473,-0.7005073751482919,0.12056069897015985,-0.7117357558981687,0.09906542523468456,-0.7211371211704443,0.07731585197343854,-0.7286873377953001,0.05536781002904903,-0.7343670244749461,0.03327763971040581,-0.7381616015351343,0.011102046167897315,-0.7400613283509736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
