fraction,gs,fes,gap,num_qubits
0.0,-21.0,-19.0,2.0,21
0.02,-20.3757,-18.4305,1.9452,21
0.04,-19.7643,-17.8716,1.8927,21
0.06,-19.1652,-17.3233,1.8419,21
0.08,-18.578,-16.7852,1.7928,21
0.1,-18.0022,-16.2572,1.745,21
0.12,-17.4375,-15.7391,1.6984,21
0.14,-16.8833,-15.2314,1.6519,21
0.16,-16.3392,-14.7338,1.6054,21
0.18,-15.805,-14.2457,1.5593,21
0.2,-15.2802,-13.7666,1.5136,21
0.22,-14.7645,-13.2965,1.468,21
0.24,-14.2577,-12.835,1.4227,21
0.26,-13.7595,-12.3819,1.3776,21
0.28,-13.2698,-11.9369,1.3329,21
0.3,-12.7883,-11.4999,1.2884,21
0.32,-12.3149,-11.0707,1.2442,21
0.34,-11.8495,-10.6492,1.2003,21
0.36,-11.3921,-10.2352,1.1569,21
0.38,-10.9426,-9.8285,1.1141,21
0.4,-10.5011,-9.43,1.0711,21
0.42,-10.0676,-9.0401,1.0275,21
0.44,-9.6424,-8.658,0.9844,21
0.46,-9.2255,-8.2839,0.9416,21
0.48,-8.8172,-7.918,0.8992,21
0.5,-8.4178,-7.5607,0.8571,21
0.52,-8.0278,-7.2123,0.8155,21
0.54,-7.6475,-6.8734,0.7741,21
0.56,-7.2775,-6.5443,0.7332,21
0.58,-6.9184,-6.2258,0.6926,21
0.6,-6.5708,-5.9183,0.6525,21
0.62,-6.2354,-5.6227,0.6127,21
0.64,-5.9129,-5.3395,0.5734,21
0.66,-5.6038,-5.0695,0.5343,21
0.68,-5.3087,-4.8131,0.4956,21
0.7000000000000001,-5.0283,-4.571,0.4573,21
0.72,-4.7631,-4.3437,0.4194,21
0.74,-4.5134,-4.1318,0.3816,21
0.76,-4.2799,-3.9357,0.3442,21
0.78,-4.0631,-3.7562,0.3069,21
0.8,-3.8638,-3.594,0.2698,21
0.8200000000000001,-3.6829,-3.4501,0.2328,21
0.84,-3.5212,-3.3255,0.1957,21
0.86,-3.3796,-3.221,0.1586,21
0.88,-3.2588,-3.1374,0.1214,21
0.9,-3.1595,-3.075,0.0845,21
0.92,-3.0829,-3.0338,0.0491,21
0.9400000000000001,-3.0328,-3.0112,0.0216,21
0.96,-3.0246,-2.995,0.0296,21
0.98,-3.0493,-2.9999,0.0494,21
1.0,-3.0991,-3.0408,0.0583,21
