problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,4,0.5,777,0.0,-4.0,-2.0,2.0
maxcut,4,0.5,777,0.05,-3.9258,-2.0645,1.8613
maxcut,4,0.5,777,0.1,-3.8534,-2.1299,1.7235
maxcut,4,0.5,777,0.15,-3.7829,-2.1964,1.5865
maxcut,4,0.5,777,0.2,-3.7145,-2.2642,1.4503
maxcut,4,0.5,777,0.25,-3.6487,-2.3334,1.3153
maxcut,4,0.5,777,0.3,-3.5857,-2.4043,1.1814
maxcut,4,0.5,777,0.35,-3.5259,-2.4772,1.0487
maxcut,4,0.5,777,0.4,-3.47,-2.5524,0.9176
maxcut,4,0.5,777,0.45,-3.4185,-2.6305,0.788
maxcut,4,0.5,777,0.5,-3.3726,-2.7119,0.6607
maxcut,4,0.5,777,0.55,-3.3335,-2.7975,0.536
maxcut,4,0.5,777,0.6,-3.3034,-2.8882,0.4152
maxcut,4,0.5,777,0.65,-3.2858,-2.9852,0.3006
maxcut,4,0.5,777,0.7,-3.2864,-3.0903,0.1961
maxcut,4,0.5,777,0.75,-3.3141,-3.2053,0.1088
maxcut,4,0.5,777,0.8,-3.3798,-3.3325,0.0473
maxcut,4,0.5,777,0.85,-3.4888,-3.4742,0.0146
maxcut,4,0.5,777,0.9,-3.635,-3.6324,0.0026
maxcut,4,0.5,777,0.95,-3.808,-3.8078,0.0002
maxcut,4,0.5,777,1.0,-4.0,-3.0,1.0
maxcut,4,0.6,777,0.0,-4.0,-2.0,2.0
maxcut,4,0.6,777,0.05,-3.9258,-2.0645,1.8613
maxcut,4,0.6,777,0.1,-3.8534,-2.1299,1.7235
maxcut,4,0.6,777,0.15,-3.7829,-2.1964,1.5865
maxcut,4,0.6,777,0.2,-3.7145,-2.2642,1.4503
maxcut,4,0.6,777,0.25,-3.6487,-2.3334,1.3153
maxcut,4,0.6,777,0.3,-3.5857,-2.4043,1.1814
maxcut,4,0.6,777,0.35,-3.5259,-2.4772,1.0487
maxcut,4,0.6,777,0.4,-3.47,-2.5524,0.9176
maxcut,4,0.6,777,0.45,-3.4185,-2.6305,0.788
maxcut,4,0.6,777,0.5,-3.3726,-2.7119,0.6607
maxcut,4,0.6,777,0.55,-3.3335,-2.7975,0.536
maxcut,4,0.6,777,0.6,-3.3034,-2.8882,0.4152
maxcut,4,0.6,777,0.65,-3.2858,-2.9852,0.3006
maxcut,4,0.6,777,0.7,-3.2864,-3.0903,0.1961
maxcut,4,0.6,777,0.75,-3.3141,-3.2053,0.1088
maxcut,4,0.6,777,0.8,-3.3798,-3.3325,0.0473
maxcut,4,0.6,777,0.85,-3.4888,-3.4742,0.0146
maxcut,4,0.6,777,0.9,-3.635,-3.6324,0.0026
maxcut,4,0.6,777,0.95,-3.808,-3.8078,0.0002
maxcut,4,0.6,777,1.0,-4.0,-3.0,1.0
maxcut,4,0.7,777,0.0,-4.0,-2.0,2.0
maxcut,4,0.7,777,0.05,-3.9258,-2.0645,1.8613
maxcut,4,0.7,777,0.1,-3.8534,-2.1299,1.7235
maxcut,4,0.7,777,0.15,-3.7829,-2.1964,1.5865
maxcut,4,0.7,777,0.2,-3.7145,-2.2642,1.4503
maxcut,4,0.7,777,0.25,-3.6487,-2.3334,1.3153
maxcut,4,0.7,777,0.3,-3.5857,-2.4043,1.1814
maxcut,4,0.7,777,0.35,-3.5259,-2.4772,1.0487
maxcut,4,0.7,777,0.4,-3.47,-2.5524,0.9176
maxcut,4,0.7,777,0.45,-3.4185,-2.6305,0.788
maxcut,4,0.7,777,0.5,-3.3726,-2.7119,0.6607
maxcut,4,0.7,777,0.55,-3.3335,-2.7975,0.536
maxcut,4,0.7,777,0.6,-3.3034,-2.8882,0.4152
maxcut,4,0.7,777,0.65,-3.2858,-2.9852,0.3006
maxcut,4,0.7,777,0.7,-3.2864,-3.0903,0.1961
maxcut,4,0.7,777,0.75,-3.3141,-3.2053,0.1088
maxcut,4,0.7,777,0.8,-3.3798,-3.3325,0.0473
maxcut,4,0.7,777,0.85,-3.4888,-3.4742,0.0146
maxcut,4,0.7,777,0.9,-3.635,-3.6324,0.0026
maxcut,4,0.7,777,0.95,-3.808,-3.8078,0.0002
maxcut,4,0.7,777,1.0,-4.0,-3.0,1.0
maxcut,4,0.8,777,0.0,-4.0,-2.0,2.0
maxcut,4,0.8,777,0.05,-3.951,-2.0752,1.8758
maxcut,4,0.8,777,0.1,-3.9039,-2.1507,1.7532
maxcut,4,0.8,777,0.15,-3.8591,-2.2267,1.6324
maxcut,4,0.8,777,0.2,-3.8166,-2.3031,1.5135
maxcut,4,0.8,777,0.25,-3.7767,-2.3802,1.3965
maxcut,4,0.8,777,0.3,-3.7395,-2.458,1.2815
maxcut,4,0.8,777,0.35,-3.7053,-2.5367,1.1686
maxcut,4,0.8,777,0.4,-3.6744,-2.6166,1.0578
maxcut,4,0.8,777,0.45,-3.6471,-2.6978,0.9493
maxcut,4,0.8,777,0.5,-3.6237,-2.7808,0.8429
maxcut,4,0.8,777,0.55,-3.6047,-2.8661,0.7386
maxcut,4,0.8,777,0.6,-3.5907,-2.9544,0.6363
maxcut,4,0.8,777,0.65,-3.5827,-3.0468,0.5359
maxcut,4,0.8,777,0.7,-3.5818,-3.1446,0.4372
maxcut,4,0.8,777,0.75,-3.5903,-3.25,0.3403
maxcut,4,0.8,777,0.8,-3.6113,-3.3657,0.2456
maxcut,4,0.8,777,0.85,-3.6509,-3.4952,0.1557
maxcut,4,0.8,777,0.9,-3.719,-3.6424,0.0766
maxcut,4,0.8,777,0.95,-3.8307,-3.8104,0.0203
maxcut,4,0.8,777,1.0,-4.0,-3.0,1.0
maxcut,4,0.9,777,0.0,-4.0,-2.0,2.0
maxcut,4,0.9,777,0.05,-3.951,-2.0752,1.8758
maxcut,4,0.9,777,0.1,-3.9039,-2.1507,1.7532
maxcut,4,0.9,777,0.15,-3.8591,-2.2267,1.6324
maxcut,4,0.9,777,0.2,-3.8166,-2.3031,1.5135
maxcut,4,0.9,777,0.25,-3.7767,-2.3802,1.3965
maxcut,4,0.9,777,0.3,-3.7395,-2.458,1.2815
maxcut,4,0.9,777,0.35,-3.7053,-2.5367,1.1686
maxcut,4,0.9,777,0.4,-3.6744,-2.6166,1.0578
maxcut,4,0.9,777,0.45,-3.6471,-2.6978,0.9493
maxcut,4,0.9,777,0.5,-3.6237,-2.7808,0.8429
maxcut,4,0.9,777,0.55,-3.6047,-2.8661,0.7386
maxcut,4,0.9,777,0.6,-3.5907,-2.9544,0.6363
maxcut,4,0.9,777,0.65,-3.5827,-3.0468,0.5359
maxcut,4,0.9,777,0.7,-3.5818,-3.1446,0.4372
maxcut,4,0.9,777,0.75,-3.5903,-3.25,0.3403
maxcut,4,0.9,777,0.8,-3.6113,-3.3657,0.2456
maxcut,4,0.9,777,0.85,-3.6509,-3.4952,0.1557
maxcut,4,0.9,777,0.9,-3.719,-3.6424,0.0766
maxcut,4,0.9,777,0.95,-3.8307,-3.8104,0.0203
maxcut,4,0.9,777,1.0,-4.0,-3.0,1.0
maxcut,4,1.0,777,0.0,-4.0,-2.0,2.0
maxcut,4,1.0,777,0.05,-3.951,-2.0752,1.8758
maxcut,4,1.0,777,0.1,-3.9039,-2.1507,1.7532
maxcut,4,1.0,777,0.15,-3.8591,-2.2267,1.6324
maxcut,4,1.0,777,0.2,-3.8166,-2.3031,1.5135
maxcut,4,1.0,777,0.25,-3.7767,-2.3802,1.3965
maxcut,4,1.0,777,0.3,-3.7395,-2.458,1.2815
maxcut,4,1.0,777,0.35,-3.7053,-2.5367,1.1686
maxcut,4,1.0,777,0.4,-3.6744,-2.6166,1.0578
maxcut,4,1.0,777,0.45,-3.6471,-2.6978,0.9493
maxcut,4,1.0,777,0.5,-3.6237,-2.7808,0.8429
maxcut,4,1.0,777,0.55,-3.6047,-2.8661,0.7386
maxcut,4,1.0,777,0.6,-3.5907,-2.9544,0.6363
maxcut,4,1.0,777,0.65,-3.5827,-3.0468,0.5359
maxcut,4,1.0,777,0.7,-3.5818,-3.1446,0.4372
maxcut,4,1.0,777,0.75,-3.5903,-3.25,0.3403
maxcut,4,1.0,777,0.8,-3.6113,-3.3657,0.2456
maxcut,4,1.0,777,0.85,-3.6509,-3.4952,0.1557
maxcut,4,1.0,777,0.9,-3.719,-3.6424,0.0766
