p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,u02,v02,beta03,gamma03,u03,v03,beta04,gamma04,u04,v04,beta05,gamma05,u05,v05,beta06,gamma06,u06,v06,beta07,gamma07,u07,v07,beta08,gamma08,u08,v08,beta09,gamma09,u09,v09,beta10,gamma10,u10,v10,beta11,gamma11,u11,v11,beta12,gamma12,u12,v12,beta13,gamma13,u13,v13,beta14,gamma14,u14,v14,beta15,gamma15,u15,v15,beta16,gamma16,u16,v16,beta17,gamma17,u17,v17,beta18,gamma18,u18,v18,beta19,gamma19,u19,v19,beta20,gamma20,u20,v20,beta21,gamma21,u21,v21,beta22,gamma22,u22,v22,beta23,gamma23,u23,v23,beta24,gamma24,u24,v24,beta25,gamma25,u25,v25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
31,-1.9993622145516339,0.8288408924004503,-0.02546132730919557,-0.9976548968756092,0.4073157802517247,11,-2.0088944195653573,01101101101,0.7594134602091046,-0.09227602387601484,-0.016667544245935008,0.11851277308837124,0.6289329988139245,-0.18113098413127274,-0.07584460246503187,0.09955235129210555,0.5106888848963064,-0.26921243965328184,0.016135605009523837,0.06346275535425747,0.43231991482558646,-0.3344922504894298,-0.049675462068451574,0.048961674439070166,0.37674039338107207,-0.3789116574260805,0.020900063133757123,0.030939425513052645,0.3358357841188567,-0.4162453832121442,-0.004548599141011201,0.028111927536110724,0.30276100627319313,-0.44386686282270144,0.018832489907623356,0.016947691047566417,0.28673213651790785,-0.4765385403335503,-0.01705330568135101,0.013167201222798776,0.2721472007479979,-0.5185025494589712,0.011507392043840867,0.00510060930674532,0.24436441677856868,-0.5320765069216591,0.003954312351681445,0.006780117348609695,0.2254848697204961,-0.5334197211780594,0.007597577973357496,0.00020471886847382725,0.21462517542009893,-0.5654885330538482,0.002130268326463109,0.00489477861444076,0.2037738893142967,-0.612788192927244,0.0007743355651153475,0.00035661128316933857,0.19642533214632707,-0.6666883621882618,-0.0027510358572135083,0.0014885951973185995,0.18606511860879016,-0.7185686770444965,0.0013263367900141808,-0.002022455971976871,0.1763335512753029,-0.7417148857826493,0.004205264075655119,-0.0016697407815812852,0.1721492216273456,-0.7618538569950025,-0.002541368711266287,-0.001099435432024671,0.1628410879475404,-0.7793583685853096,0.004714741890583832,-0.0011108390799076514,0.1481122586636339,-0.7679303498802317,-0.0037020725007998103,-0.0007302952528090295,0.13806437305843441,-0.7765856604716598,0.002370720834389139,0.0004369004283177435,0.12626102889802546,-0.8096617247649971,-0.005784523073308225,-0.0006014785592515328,0.1119431927983293,-0.8344604802777835,0.0050932802069626245,-0.0013737490654953256,0.10608038775852628,-0.8623086435190261,-0.0015147234400890454,-0.0005801454348033068,0.09885003951419694,-0.8685604027119777,0.0005727988294822241,-0.0005961401355658151,0.08373953043908679,-0.8861326719669232,0.067305498760656,-0.9331159487012382,0.05462747941987402,-0.9507339549531042,0.05228324830734686,-1.03064266792263,0.0457404466152071,-1.1570294354993804,0.01858871636932487,-1.1765974118100275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-2.0011273731707275,0.8213953755227297,-0.020103269178038858,-0.9964748012061615,0.3960477696174191,11,-2.0088944195653573,01101101101,0.7676406975016334,-0.08175034857015935,-0.01822759982858287,0.1273969076188533,0.6397306719370983,-0.16596482903360577,-0.0699772878170457,0.09772797106597325,0.5148002356999227,-0.2482683925486694,0.022829245366239342,0.06575521796336481,0.4358231092770235,-0.31321594517758405,-0.050051737066700235,0.047944333987711536,0.3798780914230989,-0.35851917900750213,0.022814915653138028,0.0320887121579776,0.3374312661115949,-0.40250478206926293,-0.0025719545818321072,0.02791793644752834,0.2997438071707358,-0.43388407214471275,0.015113976308103556,0.017265433217036764,0.27989857424279607,-0.45982713538772496,-0.012942603377461623,0.012100042680434096,0.2715623888707643,-0.5060437155386976,0.007999634511857598,0.005471777305286963,0.244687968281289,-0.5330724272770034,0.00660118164532759,0.005665299176227049,0.22064738225000927,-0.5353854135746788,0.007053369604291105,0.0007727119232198273,0.21008271112889337,-0.5587486303531358,-0.0021478146499845363,0.004373951996775242,0.19524356270025237,-0.5976611466548206,0.005010901215980653,-5.953568596770707e-05,0.18574508306532306,-0.6431107872244836,-0.003099733100629278,-4.3573054503689374e-05,0.18027197826953592,-0.7004083705837905,0.0002931120882245816,-0.0019230351628339315,0.16896876996786295,-0.7428577653522086,0.007006486551792749,-0.003306460927426007,0.1607999887909978,-0.7621478472557123,-0.0045070233558248815,-0.0018747135485519793,0.1549139306311798,-0.7797761565363222,0.00730181045044835,-0.0026076208229763817,0.14431120062664193,-0.7777681450477668,-0.0054360439435143185,-0.00026022211104088477,0.13318193817499888,-0.7648934932212291,0.004056124577728807,-0.00036393112837308463,0.12207376114484392,-0.7948741767984233,-0.008103115608460183,-0.00035542637863968075,0.1071661689250185,-0.8266391071262472,0.007146344597699795,-0.002202795277328725,0.09548436434661288,-0.8291274196706361,-0.002817390088542986,-0.0010383769906286257,0.09010649076626606,-0.8395125987858327,0.0021905715104226764,-0.0007876350750397088,0.08256513243729129,-0.8475674982921901,0.06920369403050154,-0.8949240013243099,0.051711744228100966,-0.9549426992060412,0.04309007521936152,-0.9518197625299213,0.04486339515564481,-1.0359867111561485,0.03253529989504204,-1.1693838833063583,0.00966425498255997,-1.1580622848053694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-2.001190967155151,0.8221430981651515,-0.01934408420190333,-0.99675599119102,0.3951886875285051,11,-2.0088944195653573,01101101101,0.7699243627392686,-0.07657981109982047,-0.018245254565155185,0.12696142318324208,0.6492576666425248,-0.1599307811359535,-0.06991166128647065,0.09741191572847636,0.5239268348734208,-0.24456769709089166,0.022020182113122427,0.06616045252508783,0.4427299024378855,-0.30807544555753874,-0.051606276886086565,0.047866157181307455,0.38692300450041484,-0.35276390982053063,0.024884919851092906,0.03220979773564279,0.34244449888304135,-0.3947163903474671,-0.003760378532119804,0.028258022394055896,0.30590169565156067,-0.42486285710603044,0.0143095250527609,0.017401851453657708,0.283844250751214,-0.4498963833201492,-0.013330305807683417,0.012670782317422597,0.27532106933757816,-0.4962191169379676,0.009872054660923451,0.005406308795550327,0.2537227649506425,-0.5319037307478016,0.004703383987043145,0.005349118054634016,0.2250232274917989,-0.5329792307305238,0.010159117197873952,0.000997484824778798,0.2124661759850967,-0.5435422560264744,-0.0018071972044856007,0.0038078483917711264,0.2023190172802923,-0.5796853222596159,0.004640467765118356,0.0005107596304586598,0.18860888834638628,-0.62069336501484,-0.0030552976792108002,0.00030541159518925667,0.1824594487897612,-0.6703370683632767,-2.4412124556282385e-05,-0.0015692117333901336,0.1756328426800095,-0.7228703101302705,0.006692901479568558,-0.003252735251869391,0.16488904399934223,-0.7520319946739377,-0.003674231867480118,-0.002153670537787982,0.15875809514961833,-0.7691026074419213,0.007843138740106186,-0.0025410634535877686,0.15137996234592307,-0.7864028058078251,-0.005266170786423241,-0.00026456124035137814,0.13922261838221467,-0.7799160147734091,0.0034617871786670183,-0.00036277691929940546,0.12971948129797503,-0.7778596253966712,-0.007784752323745884,-0.000244022769930685,0.11853935700541192,-0.8089798049549067,0.0064307949379604126,-0.0022227027306963875,0.10364173405985458,-0.8241772701452236,-0.003047796220391986,-0.00046121115354189713,0.0947002372256072,-0.8268505652240246,0.001759307886906947,-0.0005491221826221648,0.08779029784450659,-0.8407257545170179,0.07725261710251823,-0.8549569343391564,0.06524174064836159,-0.9086954403526712,0.05026609954730736,-0.9517553668544066,0.04341179035978418,-0.9480783899829512,0.04461335231287352,-1.0445418606333055,0.03055152406869916,-1.1731606193801936,0.008462886566266647,-1.1676384440887577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-2.0015708919057547,0.825562831305907,-0.018614264324849788,-0.9972752642980452,0.3935773068669794,11,-2.0088944195653573,01101101101,0.7725463404283281,-0.07291808475007498,-0.01852575420702335,0.12825887898822483,0.658106704327652,-0.15291456678994544,-0.06988366391917528,0.09716856870754162,0.5351019452879232,-0.23675902441812327,0.02123818481052794,0.06699152600824651,0.4518042361189654,-0.30492805658218874,-0.05361908825062739,0.048215350843924386,0.3946359943906108,-0.35373568765076285,0.02612706387414462,0.03257949828478257,0.3469179486697567,-0.3903953092672179,-0.004466414885611042,0.02790452433649586,0.3098488512069962,-0.417221386745655,0.014404311967922018,0.01823795075722588,0.2862054976364074,-0.4408202799746681,-0.012812858122686099,0.012263096696537119,0.2759099608408306,-0.4800934792003356,0.01160887635063756,0.005238127506942857,0.26162261700084694,-0.5234304002909301,0.0053702918973138345,0.0048246734782008685,0.23384017338351426,-0.5368167696688384,0.01075023734884053,0.0016913649890673737,0.2126048234528305,-0.5359792566221678,-0.0024618858087465507,0.003968616001104845,0.2036932432652314,-0.5614480537513276,0.0045789113743680285,0.0012352735259743201,0.1930450246428581,-0.6037246668477502,-0.003625399107276239,0.0005458483495919376,0.18343955436151396,-0.6433906295189871,0.0001703538319283987,-0.0012369934183674087,0.17857449794966085,-0.6940886720341987,0.004140053177532738,-0.002973625126185908,0.17047339862018654,-0.7429690717755109,-0.0008503730921358083,-0.001989572655889768,0.1614618415402964,-0.7645147180563602,0.005690109999059915,-0.0018088749091827948,0.15446298826651428,-0.7789585391056401,-0.004440755845734992,-0.0003974504291172988,0.14381291654648118,-0.7882528761614952,0.002789044105731441,-0.0005905569178672102,0.13283760417869925,-0.7801795098911595,-0.006101442280965678,-0.00044299030283567536,0.12396996709847165,-0.791881249949478,0.006540274163322646,-0.0018237309417457636,0.1108899390311891,-0.8176237253365564,-0.003093736110268494,-0.00017546726969613576,0.09844819983276386,-0.8203952136749941,0.0010890669305913077,-0.00020733030390028323,0.09194724247999522,-0.8299845282357733,0.08377709187216249,-0.8456649352475278,0.07300516864202419,-0.8582152301448783,0.06161044579048894,-0.9116994874126532,0.04838069490246807,-0.9519084974863724,0.04196459092096532,-0.9578137164184798,0.039765750189736424,-1.0510495378183113,0.026111184707903426,-1.1688325277733644,0.007520344675923909,-1.1798350422489405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-2.0018583146080777,0.828175481886448,-0.01644982277929216,-0.9979859908857723,0.39317365722356745,11,-2.0088944195653573,01101101101,0.778298410176713,-0.0701139525484414,-0.017876220770008815,0.12973101269232948,0.6654507995953377,-0.1505873136495363,-0.06817724701607993,0.09439953851530698,0.5451228540450809,-0.2338289065463805,0.017437293725190654,0.07024987395264333,0.463740355366766,-0.30511400024277263,-0.05468641863519513,0.04835104934888269,0.40348502174212536,-0.35291869873765286,0.02487978992197874,0.032903774773049385,0.35334621674849553,-0.3836098147824994,-0.0053678172759415955,0.027132895674746253,0.3149974645066144,-0.41058939846976555,0.014455902398317209,0.018387209028791002,0.2866547779354181,-0.4316112998214908,-0.013792470933786582,0.011702867157018454,0.27516621278679165,-0.46111108965289993,0.014012924657396527,0.005544635059498524,0.267037016620873,-0.507364229737492,0.005400893283818104,0.004753681987425568,0.2427447071107004,-0.5349526499291357,0.012627134302576472,0.002499059118149332,0.21793649116877842,-0.5341964959944506,-0.004341684090266427,0.0034596903669934084,0.20700134827005678,-0.5449947054802781,0.006490055318143477,0.003005206568404864,0.19995462927756688,-0.5806933460248921,-0.004067798645947659,0.00044592450194059374,0.191524701887551,-0.6221590992307472,0.00010153546658724727,-0.0010150209632310294,0.1835756647350371,-0.6675573001795874,0.0053506630349648985,-0.0030060402465931736,0.17606531407376563,-0.7183915724356206,-0.0010213870305708147,-0.0017568815241221316,0.16906747157270235,-0.7567283468441753,0.004746484953293719,-0.0015677480748115145,0.16155474954014074,-0.7778365903575812,-0.005258663669506952,-0.00027715143630812256,0.1523318452913306,-0.7891438483816974,0.004353706374374036,-0.0009911131912370115,0.1406051557979397,-0.7840113127614766,-0.006917854131607224,-0.000750789072789001,0.12770143309321214,-0.782454979536331,0.0072082217515984925,-0.0018497475581082856,0.11593007810400952,-0.8093930047397797,-0.002854769889383347,-0.0006750663418023579,0.10419688334500188,-0.8268142087340188,0.0018269517218836098,-0.0008735554474053561,0.09400630308592753,-0.8235114715050078,0.08611517673449857,-0.8381589543673954,0.07516701524470622,-0.8515579173527336,0.06293512944582925,-0.8697453199563457,0.05293657088537117,-0.9285421261767232,0.043050695747727415,-0.9526434760481111,0.03754354947018104,-0.9495000480622577,0.03255472446678953,-1.0516574571154493,0.017435220501234666,-1.172968491398843,0.003444076220728353,-1.1815170588795947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-2.0023081782099164,0.8305805036582442,-0.015369039225746024,-0.9972147801081407,0.3916544535774031,11,-2.0088944195653573,01101101101,0.7762686370004037,-0.06573460559266334,-0.01808642810461174,0.12906310568140625,0.6699469551299418,-0.1441839182877523,-0.06632635039942048,0.09395641062091402,0.554857389883624,-0.22799590636181238,0.01601283990835322,0.07132411149940296,0.4706258470464081,-0.2992318953771391,-0.05348040962092615,0.047481739419551194,0.40971722793254334,-0.34710545711117086,0.022856445766957754,0.03362962420528915,0.35875398148849813,-0.37744248908374983,-0.005290331362718907,0.026838114328327632,0.31971564584270556,-0.40312963044274136,0.013566307437974776,0.018621817065531104,0.291700468654003,-0.42342824144341223,-0.012113461969763801,0.01144933627272196,0.27520341672962023,-0.44878933568490476,0.014067814039047758,0.006123269627725324,0.26665881574754857,-0.491283482483121,0.004872972879241012,0.0043873999205182755,0.25006629281487236,-0.5261324682814593,0.013552852652837162,0.003459478368491438,0.22507790058878968,-0.5339626734895855,-0.004200276204992588,0.0032348220280903305,0.20911947686222748,-0.5396259361634279,0.006504085348882196,0.0028172208626918668,0.20229731664020129,-0.565999899646554,-0.003195912731243356,0.000999925020576949,0.1936240588897063,-0.6051546203256062,4.9021605958392733e-05,-0.0006509734062564491,0.18527228624153133,-0.6471171320570325,0.005315891947934082,-0.0020155951023141058,0.1798416153187795,-0.6939785218318928,-0.0012255073738677512,-0.0011950208641839867,0.1729208935539944,-0.7382571128791712,0.004701190931798297,-0.000915794327136953,0.16557629422422604,-0.7655534261458182,-0.004843033197792972,-0.00021753971267904966,0.15867266714525444,-0.7814788853634277,0.004461615642163223,-0.0005501007066978366,0.14783350754658614,-0.789387888172589,-0.007161900428769021,-0.0006048087358452876,0.13532743043652232,-0.7838227886388154,0.007341389469262735,-0.0015856969466129136,0.12557262727977928,-0.791958896093867,-0.0037148421160678015,-0.0002556118486221108,0.11482600398020078,-0.8207710328288342,0.002171719966638507,-0.0001528169012302627,0.10222885974764098,-0.8266356076790008,0.09217159667511936,-0.8225145413854161,0.0823166936961888,-0.8433420908445082,0.0704146726676103,-0.857940296503969,0.06043963665632993,-0.8815101182208362,0.05133024619437662,-0.9392645539194318,0.041042708344458494,-0.952713340467679,0.03357291626559095,-0.9509355640390038,0.026143025740269502,-1.0568179976240382,0.013717169065398455,-1.1695887044979894,0.003171687948442488,-1.1711562295742086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-2.0021372012513075,0.8282796477377309,-0.014101643658880881,-0.9972368061163502,0.3905694181330842,11,-2.0088944195653573,01101101101,0.7789304253147956,-0.06171387974365577,-0.017994539130313337,0.1288647778868856,0.6771488009692951,-0.1369019687153453,-0.0638677822067851,0.09415211310725685,0.5631869050316692,-0.21771110084709344,0.015232714744230427,0.07122937990506222,0.47860536812067195,-0.28947184628006256,-0.05354516771953923,0.047354654260763525,0.4177735064546147,-0.34132578067578123,0.023272971529665194,0.033618347607498905,0.3664181813036004,-0.37283722852397116,-0.0051822256198519375,0.026684368575140914,0.3254927965779965,-0.39693554260913855,0.013535995314733476,0.01831313079718697,0.29502831039951,-0.41640756847487914,-0.011521917419326658,0.011497151413633413,0.2770888083749447,-0.43779711230340773,0.014500986351370473,0.005988207869404077,0.26923558802524994,-0.4765089093797534,0.004944566464426458,0.004272002996139313,0.2552339260523024,-0.5167666999141806,0.013585597493511856,0.003323285357362488,0.2314334230570535,-0.5314108569576806,-0.004209609513090926,0.0032795871364363085,0.212942798539706,-0.5342243672732703,0.006391277023014756,0.003147879224253325,0.20372036346670827,-0.5531780417167842,-0.0034954300576762274,0.000830501301511707,0.19586800222407857,-0.5879950349918875,-0.0002249430955733469,-0.0007211460566076335,0.1883435287184184,-0.6272528521390964,0.0052478479369931635,-0.0019864913431878084,0.18250030888819113,-0.6710744401092035,-0.0014215443775800717,-0.0013221455535962169,0.1755822213681974,-0.7181749643568476,0.00502619245539336,-0.00133125676360645,0.16753356812000422,-0.7543718993894968,-0.004599214568402186,-0.0005328419759972623,0.16116005148810097,-0.7751868457038278,0.004471142388906916,-0.000408053260492882,0.15435050930348632,-0.7898268273414623,-0.00715818502544075,-0.0004934284312393541,0.1430442945413333,-0.7922853693256227,0.007455642541410158,-0.0016735225797007108,0.13077666003547958,-0.7869020294284597,-0.0036415314958698187,-0.00022789856248749176,0.12171912828300395,-0.8041260977359804,0.0023203512909694382,-0.000641571794308238,0.11144556956550311,-0.8291724669950306,0.09912044763289064,-0.8263882997314729,0.08995468338338557,-0.8269889685073503,0.08051582426045095,-0.8486070775321226,0.06766270332830569,-0.8601900950856288,0.057791159604719575,-0.8904706871330681,0.0500703609304844,-0.9452429883247893,0.040160422061440444,-0.9487705455446354,0.032976503150555204,-0.9535608306653605,0.026168915134154768,-1.0644088733092494,0.013158820867664452,-1.1692267056252543,0.002550072270081482,-1.1675741511657778,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-2.0026254379019983,0.8294438434918662,-0.014434319507312667,-0.9969976474015665,0.3798637399199546,11,-2.0088944195653573,01101101101,0.7788284104992405,-0.059381227997916286,-0.018015294133667276,0.1393340525461639,0.6820281456291813,-0.1305305068501235,-0.06320211011331578,0.0910889562007784,0.5722109624010218,-0.21048434148994438,0.015306983508813323,0.07398794756046347,0.4855049687269518,-0.2818648309901415,-0.055599610301202126,0.047185520522336176,0.4232201165231731,-0.33531128584335024,0.025495457470281063,0.033823320907113,0.37066519605047527,-0.3705550101576359,-0.007027155153023252,0.026679226587439913,0.32572311475632215,-0.39422099621329876,0.014347080498280028,0.017989317921681215,0.2927064607347437,-0.41026085138527885,-0.010951884902926106,0.011145032609446631,0.2731340017142794,-0.42842438257215076,0.014821285700188503,0.005866067791665911,0.26359718645210584,-0.4634822765364006,0.0038646434105569687,0.0039159828183923,0.25244718111707115,-0.5057550271777174,0.014740037897967217,0.003654494872775126,0.2316031201458875,-0.5287766062926641,-0.0028233073176911127,0.0033566962571430826,0.20952981707901772,-0.5326174248006756,0.0037771410554231022,0.003257804318630867,0.1966169613382384,-0.5414308905842635,-0.003963487213738716,0.0018844298493797768,0.18951362850061929,-0.5680545052707334,0.00047458977359311023,-0.0011403947752695331,0.18200427562270644,-0.6085214088143859,0.006012011608521541,-0.0015307290753602094,0.17469637301621418,-0.6557657865239479,-0.002176234718370001,-0.0010843029861488072,0.16761575144613192,-0.7008562644996584,0.004337638669527195,-0.0010019490106722348,0.15933534609852554,-0.7332157779564589,-0.0038707287802526393,-0.0006055276848701975,0.15255558546352685,-0.7559778671732252,0.0060420059184389825,-0.000331934105050701,0.1471880257169261,-0.782432823671426,-0.00916525822745897,-0.00017853113066143783,0.13689164194482734,-0.8013512454318517,0.008070133302162094,-0.0014396666561812326,0.12241245697960057,-0.795363207519306,-0.0040397453569606155,0.00011786626793250856,0.111929272534886,-0.7940780063307029,0.001874303921235032,-0.000266504561687661,0.10414289295083971,-0.8197918507595929,0.09233448895590887,-0.8306427307387895,0.07960234047703794,-0.8183075484806954,0.06947835944413028,-0.8316420021153297,0.05817611762691542,-0.8546486676663813,0.0477223277257195,-0.8574063070456123,0.042252631666193495,-0.8915580769859028,0.035584193887949124,-0.9452433017786243,0.02568162426401232,-0.9410868440748067,0.02024287976914712,-0.9552636873672271,0.016941722141168746,-1.078304051666229,0.008919032747732683,-1.178911891219172,0.001794808122320302,-1.1696404702936394,,,,,,,,,,,,,,,,,,,,,,,,
39,-2.0033465822169854,0.8266903696085891,-0.013111409541262595,-0.9969328532093631,0.3782355652992887,11,-2.0088944195653573,01101101101,0.778751052264808,-0.05542270191841308,-0.01910633863118571,0.13790796534886837,0.6857756944041075,-0.12415375473038721,-0.06476094283869589,0.09177394296333773,0.5787853221956657,-0.20214517241157087,0.017405522261520763,0.07389665766811522,0.4930388709391584,-0.273165357977729,-0.05652346869474798,0.04735380901733317,0.4306523383030488,-0.3291993328145045,0.026125876044499924,0.033773702908201066,0.3777933886763654,-0.36835729847791854,-0.00818755668706834,0.02591362994281928,0.33186987537524976,-0.39517309993495636,0.015883660525580254,0.017991979030197277,0.29590827281050547,-0.41257769594260213,-0.008956594319342438,0.010525792171828417,0.27231059568579524,-0.4264729588065723,0.01689962357480475,0.005559367809298967,0.2616993537969564,-0.4518541810000216,0.002130617591929652,0.004042794180555624,0.2541789793990334,-0.4896303162337813,0.011246912785592601,0.004210928452437931,0.23740660526441776,-0.5189982340984775,-0.0008327261196841266,0.0036387469223553882,0.21536509141414986,-0.5315030408749885,0.003928720363825253,0.0033182027101425035,0.19964674063948165,-0.5427673828539329,-0.0037608750704248954,0.0019225119133242626,0.19059360137032122,-0.5657704483756694,0.00038234339585709666,-0.0013464704453351303,0.18299170940350445,-0.5995352557002293,0.006489735232117138,-0.00113077781485726,0.1765441740008547,-0.6390298403171327,-0.0026231025736350552,-0.0012881587293993772,0.17095997059354567,-0.6787210989471539,0.004581893757078033,-0.0008144767545126969,0.1637561426697346,-0.7120497236348121,-0.003973824118215713,-0.0007702472317117503,0.15611800084339342,-0.7386141898772716,0.006381420126284159,-4.927008800955626e-06,0.15047304973543735,-0.7677000766407251,-0.008929260197434515,-0.00042837859917060553,0.14348637603879097,-0.7974490863705374,0.007712725357417569,-0.001251485213778063,0.13112017347632401,-0.8048825008404769,-0.0038375002598136873,-0.00019590818199452403,0.11756744771446628,-0.7914670788821615,0.0019115688562535461,-0.00038937151372723817,0.10857850525177676,-0.7962361628304889,0.10091732027559933,-0.8200091165620096,0.08991798426760965,-0.8230301303100125,0.07849834444665783,-0.8185330760529984,0.06862681854828785,-0.839232746017281,0.05781536803806221,-0.853841197684418,0.048389825835447604,-0.8556180112903159,0.04311670860995208,-0.8959273931503824,0.036562236983016194,-0.942106536077913,0.026349372522464887,-0.9358860098180174,0.01880962559944321,-0.9661941597813966,0.014936822959024086,-1.0946651068954616,0.009603573860783261,-1.1854266495619201,0.0030248963437739225,-1.1718053534530415,,,,,,,,,,,,,,,,,,,,,,
40,-2.003499436580422,0.8277528981853278,-0.012889866114791624,-0.9964868982469618,0.37704186601494616,11,-2.0088944195653573,01101101101,0.7819001368971216,-0.05315001907716905,-0.01968564919862505,0.13884116466357113,0.6925702690762211,-0.11900112091591929,-0.06542830660009348,0.09238976622240855,0.5879481248551369,-0.19519667102988314,0.018111005940977885,0.07438956736436189,0.5021213601608887,-0.26427881624381844,-0.056357151244776416,0.04752983661848829,0.43918450987819047,-0.320471808910401,0.02685829651920513,0.03377931821283826,0.38597458118780886,-0.36337311856295185,-0.008463854773134057,0.025354477145421057,0.33925199107203896,-0.3924188667884491,0.01641843591198068,0.017895879390104636,0.3018626258389211,-0.40956456080196846,-0.008728133765263697,0.010526247118730495,0.27527095512799066,-0.42373955843036404,0.016279479173992844,0.005313375812301897,0.2612045219405542,-0.44699691975662925,0.0013523003133970302,0.004507326182068487,0.25398747945431455,-0.48102226377973906,0.011879059849009164,0.004328994222834394,0.24088241927587556,-0.5125310875653664,-0.0011791751018853682,0.0035061489161922594,0.22022048796338747,-0.5291485331388117,0.004235040539013616,0.0029665140198204933,0.20263713514645298,-0.5367594394998098,-0.003605842682298259,0.0024278970997084204,0.19246012998815976,-0.5538556364428118,-0.0005091026693871189,-0.0013809027883508005,0.1850509869551116,-0.5875961586501629,0.006116445482327237,-0.00100676291376259,0.17794189606552674,-0.6260604865694324,-0.0017360780879707796,-0.0014711472793647042,0.17140185069671782,-0.6601103869520537,0.0049330290692364874,-0.00040954382525079766,0.1648971441606692,-0.6937891277096064,-0.004435007916047122,-0.0007755801207540593,0.1589990428228271,-0.7262761285131464,0.00634962312594714,-0.0001414773640588536,0.15404932405938862,-0.7526303557255716,-0.008171834344382166,-0.0006429310104097102,0.14719779730836224,-0.7784974959200689,0.008090931611958254,-0.0008228491772825875,0.1361560753930478,-0.7998733591522407,-0.004418135005359497,-0.0005687364519476847,0.12319232879029472,-0.7991117660673259,0.0013944392286754299,-0.0003104254444992841,0.11223667424619109,-0.7907141129318562,0.10415762847924125,-0.8058017575326988,0.09639852476265826,-0.8246410782489108,0.0867508392184363,-0.8184252575927325,0.0758342639577667,-0.8185420131486647,0.0650463447202255,-0.842575328089911,0.05508745258768263,-0.8521969608082248,0.047186256895135344,-0.8582971969072608,0.04126937214659116,-0.9046851298370976,0.034072672012300464,-0.9429525274612535,0.024400279476135704,-0.9332393550123541,0.016604134114725763,-0.9730492799523636,0.013547566914770649,-1.103015309379368,0.011179722658549104,-1.1875802154449524,0.004628797391030416,-1.173950774648555,,,,,,,,,,,,,,,,,,,,
