fraction,gs,fes,gap,num_qubits
0.0,-13.0,-11.0,2.0,13
0.02,-12.5749,-10.6294,1.9455,13
0.04,-12.1601,-10.2673,1.8928,13
0.06,-11.7552,-9.9136,1.8416,13
0.08,-11.36,-9.5682,1.7918,13
0.1,-10.9741,-9.231,1.7431,13
0.12,-10.5972,-8.9017,1.6955,13
0.14,-10.2289,-8.5801,1.6488,13
0.16,-9.8691,-8.2663,1.6028,13
0.18,-9.5173,-7.9607,1.5566,13
0.2,-9.1734,-7.6629,1.5105,13
0.22,-8.837,-7.3725,1.4645,13
0.24,-8.5081,-7.0892,1.4189,13
0.26,-8.1863,-6.813,1.3733,13
0.28,-7.8715,-6.5437,1.3278,13
0.3,-7.5637,-6.2811,1.2826,13
0.32,-7.2627,-6.0251,1.2376,13
0.34,-6.9684,-5.7755,1.1929,13
0.36,-6.6807,-5.5323,1.1484,13
0.38,-6.3998,-5.2953,1.1045,13
0.4,-6.1256,-5.0644,1.0612,13
0.42,-5.8583,-4.8397,1.0186,13
0.44,-5.598,-4.621,0.977,13
0.46,-5.3449,-4.4082,0.9367,13
0.48,-5.0994,-4.2016,0.8978,13
0.5,-4.8617,-4.0009,0.8608,13
0.52,-4.6325,-3.8065,0.826,13
0.54,-4.4122,-3.6185,0.7937,13
0.56,-4.2015,-3.4374,0.7641,13
0.58,-4.0012,-3.264,0.7372,13
0.6,-3.8119,-3.0993,0.7126,13
0.62,-3.6346,-2.9449,0.6897,13
0.64,-3.4699,-2.8022,0.6677,13
0.66,-3.3183,-2.672,0.6463,13
0.68,-3.1805,-2.5549,0.6256,13
0.7000000000000001,-3.0565,-2.4512,0.6053,13
0.72,-2.9466,-2.3609,0.5857,13
0.74,-2.8506,-2.2838,0.5668,13
0.76,-2.7682,-2.2195,0.5487,13
0.78,-2.6991,-2.1673,0.5318,13
0.8,-2.643,-2.1267,0.5163,13
0.8200000000000001,-2.5993,-2.0978,0.5015,13
0.84,-2.5677,-2.0794,0.4883,13
0.86,-2.5478,-2.0704,0.4774,13
0.88,-2.539,-2.0702,0.4688,13
0.9,-2.5411,-2.0781,0.463,13
0.92,-2.5536,-2.0938,0.4598,13
0.9400000000000001,-2.5761,-2.1166,0.4595,13
0.96,-2.6082,-2.1461,0.4621,13
0.98,-2.6493,-2.1818,0.4675,13
1.0,-2.6992,-2.2235,0.4757,13
