fraction,gs,fes,gap,num_qubits
0.0,-21.0,-19.0,2.0,21
0.02,-20.5713,-18.622,1.9493,21
0.04,-20.1439,-18.2451,1.8988,21
0.06,-19.7181,-17.8694,1.8487,21
0.08,-19.2937,-17.4948,1.7989,21
0.1,-18.8709,-17.1215,1.7494,21
0.12,-18.4498,-16.7496,1.7002,21
0.14,-18.0303,-16.379,1.6513,21
0.16,-17.6127,-16.0099,1.6028,21
0.18,-17.197,-15.6423,1.5547,21
0.2,-16.7832,-15.2764,1.5068,21
0.22,-16.3715,-14.9121,1.4594,21
0.24,-15.9619,-14.5496,1.4123,21
0.26,-15.5546,-14.1889,1.3657,21
0.28,-15.1497,-13.8303,1.3194,21
0.3,-14.7473,-13.4737,1.2736,21
0.32,-14.3476,-13.1193,1.2283,21
0.34,-13.9508,-12.7673,1.1835,21
0.36,-13.5569,-12.4176,1.1393,21
0.38,-13.1662,-12.0706,1.0956,21
0.4,-12.779,-11.7263,1.0527,21
0.42,-12.3953,-11.3849,1.0104,21
0.44,-12.0155,-11.0466,0.9689,21
0.46,-11.64,-10.7116,0.9284,21
0.48,-11.2689,-10.3801,0.8888,21
0.5,-10.9026,-10.0522,0.8504,21
0.52,-10.5416,-9.7284,0.8132,21
0.54,-10.1863,-9.4089,0.7774,21
0.56,-9.8372,-9.094,0.7432,21
0.58,-9.4948,-8.7843,0.7105,21
0.6,-9.1598,-8.4804,0.6794,21
0.62,-8.8328,-8.1879,0.6449,21
0.64,-8.5147,-7.9096,0.6051,21
0.66,-8.2063,-7.6408,0.5655,21
0.68,-7.9086,-7.3823,0.5263,21
0.7000000000000001,-7.6227,-7.1349,0.4878,21
0.72,-7.3498,-6.8995,0.4503,21
0.74,-7.0913,-6.6774,0.4139,21
0.76,-6.8488,-6.4699,0.3789,21
0.78,-6.624,-6.2784,0.3456,21
0.8,-6.419,-6.1047,0.3143,21
0.8200000000000001,-6.2362,-5.951,0.2852,21
0.84,-6.0783,-5.8188,0.2595,21
0.86,-5.9483,-5.709,0.2393,21
0.88,-5.849,-5.6238,0.2252,21
0.9,-5.7828,-5.5661,0.2167,21
0.92,-5.7514,-5.536,0.2154,21
0.9400000000000001,-5.755,-5.534,0.221,21
0.96,-5.7934,-5.5607,0.2327,21
0.98,-5.8653,-5.6176,0.2477,21
1.0,-5.9692,-5.7116,0.2576,21
