fraction,gs,fes,gap,num_qubits
0.0,-22.0,-20.0,2.0,22
0.02,-21.4274,-19.4813,1.9461,22
0.04,-20.8642,-18.9705,1.8937,22
0.06,-20.3101,-18.4674,1.8427,22
0.08,-19.7649,-17.9721,1.7928,22
0.1,-19.2285,-17.4845,1.744,22
0.12,-18.7004,-17.0046,1.6958,22
0.14,-18.1807,-16.5322,1.6485,22
0.16,-17.6689,-16.0671,1.6018,22
0.18,-17.165,-15.6094,1.5556,22
0.2,-16.6688,-15.1589,1.5099,22
0.22,-16.18,-14.7155,1.4645,22
0.24,-15.6987,-14.279,1.4197,22
0.26,-15.2246,-13.8493,1.3753,22
0.28,-14.7577,-13.4264,1.3313,22
0.3,-14.298,-13.0101,1.2879,22
0.32,-13.8455,-12.6004,1.2451,22
0.34,-13.4,-12.1971,1.2029,22
0.36,-12.9618,-11.8003,1.1615,22
0.38,-12.531,-11.4099,1.1211,22
0.4,-12.1075,-11.0258,1.0817,22
0.42,-11.6918,-10.6481,1.0437,22
0.44,-11.2839,-10.2768,1.0071,22
0.46,-10.8842,-9.912,0.9722,22
0.48,-10.493,-9.5556,0.9374,22
0.5,-10.1108,-9.2161,0.8947,22
0.52,-9.738,-8.8858,0.8522,22
0.54,-9.3751,-8.5652,0.8099,22
0.56,-9.0228,-8.2548,0.768,22
0.58,-8.6816,-7.9551,0.7265,22
0.6,-8.3522,-7.6667,0.6855,22
0.62,-8.0352,-7.3903,0.6449,22
0.64,-7.7313,-7.1263,0.605,22
0.66,-7.4411,-6.8754,0.5657,22
0.68,-7.1654,-6.6381,0.5273,22
0.7000000000000001,-6.9048,-6.4149,0.4899,22
0.72,-6.6602,-6.2065,0.4537,22
0.74,-6.4325,-6.0133,0.4192,22
0.76,-6.2227,-5.8362,0.3865,22
0.78,-6.0321,-5.6759,0.3562,22
0.8,-5.862,-5.5332,0.3288,22
0.8200000000000001,-5.7142,-5.4089,0.3053,22
0.84,-5.59,-5.3038,0.2862,22
0.86,-5.4911,-5.2185,0.2726,22
0.88,-5.4187,-5.1537,0.265,22
0.9,-5.3738,-5.1099,0.2639,22
0.92,-5.3572,-5.1128,0.2444,22
0.9400000000000001,-5.3692,-5.1455,0.2237,22
0.96,-5.4101,-5.2014,0.2087,22
0.98,-5.4798,-5.2789,0.2009,22
1.0,-5.5776,-5.3768,0.2008,22
