fraction,gs,fes,gap,num_qubits
0.0,-21.0,-19.0,2.0,21
0.02,-20.4851,-18.5389,1.9462,21
0.04,-19.9768,-18.0832,1.8936,21
0.06,-19.4752,-17.6331,1.8421,21
0.08,-18.9801,-17.1884,1.7917,21
0.1,-18.4915,-16.7493,1.7422,21
0.12,-18.0091,-16.3157,1.6934,21
0.14,-17.533,-15.8876,1.6454,21
0.16,-17.063,-15.4651,1.5979,21
0.18,-16.599,-15.0481,1.5509,21
0.2,-16.141,-14.6366,1.5044,21
0.22,-15.689,-14.2307,1.4583,21
0.24,-15.2428,-13.8302,1.4126,21
0.26,-14.8025,-13.4353,1.3672,21
0.28,-14.368,-13.046,1.322,21
0.3,-13.9395,-12.6622,1.2773,21
0.32,-13.5168,-12.2839,1.2329,21
0.34,-13.1001,-11.9114,1.1887,21
0.36,-12.6896,-11.5445,1.1451,21
0.38,-12.2853,-11.1833,1.102,21
0.4,-11.8873,-10.828,1.0593,21
0.42,-11.4961,-10.4786,1.0175,21
0.44,-11.1117,-10.1353,0.9764,21
0.46,-10.7346,-9.7981,0.9365,21
0.48,-10.3651,-9.4672,0.8979,21
0.5,-10.0038,-9.1429,0.8609,21
0.52,-9.6512,-8.8253,0.8259,21
0.54,-9.3079,-8.5148,0.7931,21
0.56,-8.9748,-8.2117,0.7631,21
0.58,-8.6526,-7.9269,0.7257,21
0.6,-8.3423,-7.6574,0.6849,21
0.62,-8.0449,-7.4003,0.6446,21
0.64,-7.7614,-7.1563,0.6051,21
0.66,-7.4928,-6.9265,0.5663,21
0.68,-7.2402,-6.7115,0.5287,21
0.7000000000000001,-7.0045,-6.5121,0.4924,21
0.72,-6.7864,-6.3288,0.4576,21
0.74,-6.5869,-6.1622,0.4247,21
0.76,-6.4069,-6.0126,0.3943,21
0.78,-6.2471,-5.8803,0.3668,21
0.8,-6.1086,-5.7656,0.343,21
0.8200000000000001,-5.9924,-5.6691,0.3233,21
0.84,-5.8998,-5.5919,0.3079,21
0.86,-5.8319,-5.5337,0.2982,21
0.88,-5.7896,-5.495,0.2946,21
0.9,-5.7735,-5.4764,0.2971,21
0.92,-5.7837,-5.4784,0.3053,21
0.9400000000000001,-5.82,-5.5017,0.3183,21
0.96,-5.8819,-5.564,0.3179,21
0.98,-5.9684,-5.6518,0.3166,21
1.0,-6.0786,-5.7581,0.3205,21
