fraction,gs,fes,gap,num_qubits
0.0,-8.0,-6.0,2.0,8
0.02,-7.8457,-5.8907,1.955,8
0.04,-7.6916,-5.7816,1.91,8
0.06,-7.5379,-5.6727,1.8652,8
0.08,-7.3844,-5.5642,1.8202,8
0.1,-7.2313,-5.4559,1.7754,8
0.12,-7.0786,-5.348,1.7306,8
0.14,-6.9262,-5.2404,1.6858,8
0.16,-6.7743,-5.1332,1.6411,8
0.18,-6.6228,-5.0263,1.5965,8
0.2,-6.4717,-4.9199,1.5518,8
0.22,-6.3212,-4.8139,1.5073,8
0.24,-6.1712,-4.7084,1.4628,8
0.26,-6.0218,-4.6034,1.4184,8
0.28,-5.873,-4.499,1.374,8
0.3,-5.7248,-4.3952,1.3296,8
0.32,-5.5774,-4.2919,1.2855,8
0.34,-5.4308,-4.1894,1.2414,8
0.36,-5.2851,-4.0876,1.1975,8
0.38,-5.1402,-3.9867,1.1535,8
0.4,-4.9964,-3.8865,1.1099,8
0.42,-4.8536,-3.7873,1.0663,8
0.44,-4.712,-3.6891,1.0229,8
0.46,-4.5716,-3.5921,0.9795,8
0.48,-4.4327,-3.4961,0.9366,8
0.5,-4.2953,-3.4015,0.8938,8
0.52,-4.1595,-3.3083,0.8512,8
0.54,-4.0255,-3.2165,0.809,8
0.56,-3.8935,-3.1264,0.7671,8
0.58,-3.7637,-3.0381,0.7256,8
0.6,-3.6363,-2.9518,0.6845,8
0.62,-3.5115,-2.8677,0.6438,8
0.64,-3.3896,-2.786,0.6036,8
0.66,-3.2708,-2.7069,0.5639,8
0.68,-3.1556,-2.6305,0.5251,8
0.7000000000000001,-3.0444,-2.5571,0.4873,8
0.72,-2.9376,-2.487,0.4506,8
0.74,-2.8358,-2.4205,0.4153,8
0.76,-2.7396,-2.3579,0.3817,8
0.78,-2.6499,-2.2995,0.3504,8
0.8,-2.5676,-2.2458,0.3218,8
0.8200000000000001,-2.4939,-2.1972,0.2967,8
0.84,-2.43,-2.1541,0.2759,8
0.86,-2.3774,-2.1169,0.2605,8
0.88,-2.3371,-2.0862,0.2509,8
0.9,-2.3103,-2.0623,0.248,8
0.92,-2.2975,-2.046,0.2515,8
0.9400000000000001,-2.2989,-2.0381,0.2608,8
0.96,-2.3141,-2.0402,0.2739,8
0.98,-2.3428,-2.0548,0.288,8
1.0,-2.3843,-2.0882,0.2961,8
