fraction,gs,fes,gap,num_qubits
0.0,-18.0,-16.0,2.0,18
0.02,-17.5702,-15.6239,1.9463,18
0.04,-17.1442,-15.2506,1.8936,18
0.06,-16.7221,-14.88,1.8421,18
0.08,-16.304,-14.5124,1.7916,18
0.1,-15.8897,-14.1477,1.742,18
0.12,-15.4794,-13.786,1.6934,18
0.14,-15.073,-13.4274,1.6456,18
0.16,-14.6707,-13.0719,1.5988,18
0.18,-14.2723,-12.7197,1.5526,18
0.2,-13.8781,-12.3706,1.5075,18
0.22,-13.4879,-12.0249,1.463,18
0.24,-13.1019,-11.6826,1.4193,18
0.26,-12.7201,-11.3437,1.3764,18
0.28,-12.3426,-11.0084,1.3342,18
0.3,-11.9695,-10.6768,1.2927,18
0.32,-11.6008,-10.3488,1.252,18
0.34,-11.2366,-10.0247,1.2119,18
0.36,-10.8771,-9.7044,1.1727,18
0.38,-10.5225,-9.3881,1.1344,18
0.4,-10.1729,-9.076,1.0969,18
0.42,-9.8285,-8.7682,1.0603,18
0.44,-9.4896,-8.4685,1.0211,18
0.46,-9.1563,-8.1789,0.9774,18
0.48,-8.8291,-7.8951,0.934,18
0.5,-8.5083,-7.6174,0.8909,18
0.52,-8.1941,-7.3463,0.8478,18
0.54,-7.8871,-7.0822,0.8049,18
0.56,-7.5877,-6.8254,0.7623,18
0.58,-7.2965,-6.5765,0.72,18
0.6,-7.0139,-6.336,0.6779,18
0.62,-6.7406,-6.1043,0.6363,18
0.64,-6.4771,-5.8821,0.595,18
0.66,-6.2241,-5.6698,0.5543,18
0.68,-5.9822,-5.4681,0.5141,18
0.7000000000000001,-5.7521,-5.2775,0.4746,18
0.72,-5.5345,-5.0986,0.4359,18
0.74,-5.3303,-4.932,0.3983,18
0.76,-5.1402,-4.7783,0.3619,18
0.78,-4.9655,-4.6383,0.3272,18
0.8,-4.8075,-4.5128,0.2947,18
0.8200000000000001,-4.6677,-4.4028,0.2649,18
0.84,-4.5482,-4.3095,0.2387,18
0.86,-4.451,-4.2339,0.2171,18
0.88,-4.3785,-4.1772,0.2013,18
0.9,-4.3322,-4.1401,0.1921,18
0.92,-4.3132,-4.1234,0.1898,18
0.9400000000000001,-4.3211,-4.1277,0.1934,18
0.96,-4.3546,-4.1538,0.2008,18
0.98,-4.4118,-4.203,0.2088,18
1.0,-4.4911,-4.2764,0.2147,18
