fraction,gs,fes,gap,num_qubits
0.0,-6.0,-4.0,2.0,6
0.02,-5.8919,-3.9319,1.96,6
0.04,-5.784,-3.864,1.92,6
0.06,-5.6762,-3.7962,1.88,6
0.08,-5.5686,-3.7286,1.84,6
0.1,-5.4613,-3.6612,1.8001,6
0.12,-5.3541,-3.5941,1.76,6
0.14,-5.2471,-3.5271,1.72,6
0.16,-5.1404,-3.4604,1.68,6
0.18,-5.0339,-3.3939,1.64,6
0.2,-4.9277,-3.3277,1.6,6
0.22,-4.8218,-3.2617,1.5601,6
0.24,-4.7162,-3.1961,1.5201,6
0.26,-4.611,-3.1309,1.4801,6
0.28,-4.5061,-3.0659,1.4402,6
0.3,-4.4016,-3.0014,1.4002,6
0.32,-4.2975,-2.9373,1.3602,6
0.34,-4.1939,-2.8737,1.3202,6
0.36,-4.0908,-2.8106,1.2802,6
0.38,-3.9883,-2.748,1.2403,6
0.4,-3.8863,-2.686,1.2003,6
0.42,-3.785,-2.6246,1.1604,6
0.44,-3.6844,-2.564,1.1204,6
0.46,-3.5846,-2.5041,1.0805,6
0.48,-3.4857,-2.4451,1.0406,6
0.5,-3.3877,-2.387,1.0007,6
0.52,-3.2907,-2.33,0.9607,6
0.54,-3.1949,-2.2741,0.9208,6
0.56,-3.1004,-2.2194,0.881,6
0.58,-3.0072,-2.1662,0.841,6
0.6,-2.9157,-2.1145,0.8012,6
0.62,-2.8259,-2.0645,0.7614,6
0.64,-2.738,-2.0165,0.7215,6
0.66,-2.6523,-1.9706,0.6817,6
0.68,-2.569,-1.9271,0.6419,6
0.7000000000000001,-2.4884,-1.8863,0.6021,6
0.72,-2.4108,-1.8484,0.5624,6
0.74,-2.3367,-1.8139,0.5228,6
0.76,-2.2663,-1.7832,0.4831,6
0.78,-2.2002,-1.7566,0.4436,6
0.8,-2.1388,-1.7346,0.4042,6
0.8200000000000001,-2.0827,-1.7178,0.3649,6
0.84,-2.0325,-1.7068,0.3257,6
0.86,-1.9889,-1.7021,0.2868,6
0.88,-1.9526,-1.7043,0.2483,6
0.9,-1.9242,-1.7138,0.2104,6
0.92,-1.9044,-1.7311,0.1733,6
0.9400000000000001,-1.8941,-1.7562,0.1379,6
0.96,-1.8943,-1.7884,0.1059,6
0.98,-1.9071,-1.8257,0.0814,6
1.0,-1.9363,-1.8641,0.0722,6
