p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,u02,v02,beta03,gamma03,u03,v03,beta04,gamma04,u04,v04,beta05,gamma05,u05,v05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
11,-1.801661788204611,0.7743150967667082,-0.07194907018757285,-1.0251071741280156,0.5294091907708668,11,-2.0088944195653555,01101101101,0.6167851049455515,-0.22279758016698495,0.04923910445745335,0.09427917601354795,0.43727442168527275,-0.38006147291063647,-0.09507380467025257,0.07653810535253763,0.3521372076040942,-0.5179648545255535,0.04679292336114986,0.05126258576796004,0.344658912182021,-0.6083412167072921,0.002526611516885074,0.04675053003580059,0.3228685096488144,-0.6541166068951377,0.2511540213927178,-0.6964375933546404,0.17777973550622136,-0.7838116579436638,0.1429959989515158,-0.9289227940604313,0.11588142198140747,-1.0908833499729578,0.04792347135679667,-1.198735039255883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1.836235646268645,0.7617780208431598,-0.0574408492374716,-1.051615038836067,0.5147515815345858,11,-2.0088944195653555,01101101101,0.6281273247709209,-0.18615719427448035,0.06294495358531726,0.09955290440682017,0.4605552440488303,-0.33781016445497275,-0.09352634082287546,0.07251758189156435,0.35953595684326023,-0.4862979986139345,0.05193999053041211,0.04783975076967519,0.33687699852183395,-0.5931453163916858,0.011067368304453257,0.046800612409682814,0.3279419928538928,-0.646699921527897,0.2789816278944699,-0.6776353309685083,0.2033521232091474,-0.7353717259294129,0.1487659666758132,-0.8480985301230906,0.12821109202092873,-1.0012676886128238,0.10439141559353263,-1.1479979437839867,0.04239661521204686,-1.237043225562112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1.860190319142002,0.744614554029614,-0.04561580240836953,-1.0709016528327335,0.5034553775220376,11,-2.0088944195653555,01101101101,0.6339625073880518,-0.151493322791157,0.0745670039715178,0.10043349263288477,0.48397285679828167,-0.2864405455051058,-0.07994656204303073,0.0688521439038039,0.3756931314385766,-0.4339557954420529,0.056480537041600415,0.04370436503722305,0.3355350336647375,-0.5590312698819029,0.011997118088744802,0.04405417581771204,0.32678886257475237,-0.637983520662363,0.29834834926365367,-0.6794387575796318,0.23701257752900964,-0.718891698317721,0.17208479132907328,-0.7924289909893811,0.1346139844895322,-0.9112681366160362,0.12012547366537034,-1.0549467384135327,0.09523992695366904,-1.1840052834698882,0.03763201923496194,-1.259857775378723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1.878815071958381,0.7346809176038751,-0.03727388429333187,-1.0758631094742177,0.4960444489896974,11,-2.0088944195653555,01101101101,0.6426278401018118,-0.12584782420150892,0.08506125769446621,0.10347987462339381,0.5092975253396449,-0.24439710731411823,-0.06794923980364867,0.06847863798831336,0.39813602932415565,-0.38249790712894527,0.0514313185779989,0.03958843306651269,0.3408257361211252,-0.5106538762093185,0.016395473970171204,0.04001467004141513,0.32222341717239644,-0.6030856189298565,0.30365734280089157,-0.6576342305881085,0.2606713987502883,-0.6974428422295541,0.2013620127039066,-0.7541344623577824,0.15195614332512286,-0.8462032752412725,0.12702827748103812,-0.9681474926309125,0.11425526351450342,-1.0955672899260518,0.08747269885787676,-1.1991502199386754,0.03364324409980628,-1.256490247819812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-1.8941288064128647,0.7224923366691973,-0.030726958777562537,-1.0629009957702489,0.4927233589535099,11,-2.0088944195653555,01101101101,0.6468725418973923,-0.10402670025479821,0.09735674733977312,0.10303879289251759,0.5315495397617843,-0.20440185564696783,-0.06366041452868879,0.06610599165685338,0.42476708022553383,-0.32759969046576826,0.05547701329984029,0.03544736675027714,0.3572175950918322,-0.45238051060889656,0.01380287635771247,0.03560868561762382,0.3271185305088227,-0.5546279658531575,0.30931130627821046,-0.6232434751129806,0.27904882068153164,-0.6671962396263508,0.23099149226882834,-0.709609441903474,0.17951585672823445,-0.773523402159095,0.1424831232249268,-0.8687393372075638,0.12374506243724605,-0.9871320774272399,0.10945986074961149,-1.1074032664052293,0.0806307255391567,-1.2046019200021325,0.03024062418525346,-1.2585874904774745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-1.9072029580706404,0.7005331105515826,-0.024909803569646723,-1.0417342824468447,0.481941228204345,11,-2.0088944195653555,01101101101,0.6400063072513673,-0.08579752070873359,0.1107488117877555,0.10228327215362168,0.5432959448614423,-0.17275612609955165,-0.06565345091767014,0.06503620314629824,0.4451686582686537,-0.28393646953857493,0.05370608541431448,0.03015351213313319,0.37196338014677244,-0.40161029343960464,0.018278115340001375,0.029334618953755505,0.32964870068383156,-0.5030864707425471,0.3055171996103611,-0.5745574495001733,0.2808935332631149,-0.6192711015282591,0.24520295005997264,-0.6553410148931496,0.2017655124070728,-0.7051171252757189,0.16235911060732644,-0.7829220059305252,0.1358609427319889,-0.8881501267265783,0.12015162574868654,-1.006604151312403,0.10338201106224475,-1.1177001908793296,0.07325134284129023,-1.2023900463823625,0.02682592398497451,-1.2477589156984603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1.917938072747961,0.6870425127590861,-0.021798275328778968,-1.0247638735848938,0.47783848797323414,11,-2.0088944195653555,01101101101,0.6370470656917487,-0.074472743690374,0.10993478985304224,0.10250719038460546,0.5546340537921391,-0.14944721014271314,-0.061823447663352564,0.061382565154352815,0.46598851764227994,-0.24782282173398232,0.05942860474311847,0.025312053939327065,0.3931520040954494,-0.3579400474737624,0.013887087845577562,0.026713866902268672,0.3446980753369132,-0.461534263640181,0.3147016451571666,-0.5432599435722909,0.28971877442866334,-0.5984787358414048,0.25878315907376437,-0.6353687850781529,0.22004174590007855,-0.6706105083575368,0.180301213030071,-0.7212374428002167,0.14857643626278152,-0.7968833119227875,0.12854871389868308,-0.8959072216465142,0.11524459818674851,-1.0064661557940724,0.09812017463711703,-1.1111054094436232,0.06827232884381118,-1.192239451002699,0.02470612472746392,-1.236376325450345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1.9278938363012044,0.6645896441561772,-0.018244558260841027,-1.0155778770675261,0.46861276378750827,11,-2.0088944195653555,01101101101,0.6245444598833484,-0.06307020105744891,0.13247984439634908,0.09843344974700076,0.5564124209196962,-0.1286907749576699,-0.07372754098831438,0.06125796830531762,0.4787462373884124,-0.21705011691519197,0.059287148991660474,0.019820084064498936,0.4087339140284913,-0.31856837544632943,0.018009161910484368,0.02178086778448288,0.3556631835205153,-0.4168752038550591,0.31889801278894153,-0.49684280119250834,0.2909086109946994,-0.5518975949254586,0.26318543077106415,-0.5870938983773504,0.23149961237017905,-0.6166702184904672,0.19765230010733587,-0.6575406459777814,0.1671047436936562,-0.7219767736729221,0.1443421928063831,-0.8127730245204128,0.1290646794378473,-0.9226192600139289,0.11564082182096799,-1.0372217398771955,0.09616203786587589,-1.1401294201936307,0.06518744564689011,-1.2169767968142204,0.023226272314862784,-1.2578424996743192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.9360634547995597,0.652315997005627,-0.01493120234087144,-0.9968395807892643,0.4681221407707994,11,-2.0088944195653555,01101101101,0.620565206603382,-0.052561730646387056,0.13243522271018407,0.0987165473567441,0.5650325958479528,-0.10996549842502623,-0.07290477989859911,0.05813499892438061,0.498499126048735,-0.19016786932687652,0.061557756024448636,0.01409974153873538,0.4337092114967942,-0.28585294781891113,0.020022747126323348,0.01741536798284817,0.3790348907214546,-0.38266379591329375,0.33651385473902,-0.46560348622724257,0.3028918807265944,-0.5256109432530705,0.2728209503378559,-0.5634063642536323,0.24238609580016543,-0.5890444054862181,0.2111309511518616,-0.6175903020480168,0.18168435265857344,-0.6629897718433417,0.15743660351273814,-0.732793737727756,0.13975318762624406,-0.8257407089444909,0.12640690653081535,-0.9327247592789512,0.11217932126438492,-1.0401736810250803,0.09134495264940407,-1.1340522486506683,0.060686429003213305,-1.2028841741036664,0.02137227767659776,-1.2391050044582896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1.9414981094946038,0.6425805828672245,-0.013073193411152075,-0.9947387231707874,0.4681734696043328,11,-2.0088944195653555,01101101101,0.6170488453170797,-0.04623723897692367,0.1322849066561049,0.09966155116234578,0.5713819516701582,-0.0975592382931412,-0.06934097194916272,0.05442698428087218,0.5144749198099539,-0.1707022427080664,0.060359890086681404,0.009518645768047531,0.45572250582298135,-0.26037740702762435,0.021886464738647138,0.014128098608618498,0.4021554568404479,-0.3545556668993444,0.3568329203454851,-0.4393963435449189,0.31900869890267464,-0.5048172322641797,0.28578305058571535,-0.5484295637664462,0.2543174190519088,-0.576320811563075,0.22351243086180805,-0.600524419951768,0.19439459678386983,-0.6343597314321039,0.1691422191229383,-0.6875852843278177,0.14936770322927284,-0.763201189996858,0.1346310229166653,-0.8568790966157275,0.12202210054377803,-0.9588326617969115,0.10709499127447451,-1.0570105626203932,0.0857423887577163,-1.1401852253749702,0.05610829450021699,-1.1998852600724004,0.019590853122569474,-1.2309083891071912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-1.9478127353713655,0.6285711054861693,-0.01071704029442996,-0.9757396403375772,0.463096507890798,11,-2.0088944195653555,01101101101,0.6070972843036481,-0.03843927860866168,0.13651559058311086,0.09601307642166386,0.5681023363657113,-0.08266714203801026,-0.06754480848609136,0.052555080789944884,0.5182475613594617,-0.14744196465584308,0.059454758320852466,0.0074947905179544244,0.4648887202064923,-0.22916071045964767,0.023166693224312737,0.012195151604470452,0.4140452065636961,-0.3179905147656042,0.36907832500245474,-0.4015886216898362,0.33048728736150107,-0.46968373210591097,0.29676311942871586,-0.517787833421632,0.2658202838170876,-0.54869603964877,0.23632802123661245,-0.5713191613076598,0.20836390489438425,-0.5974103592105839,0.18315701458447028,-0.6374883087764204,0.16211949004357804,-0.6974507137724534,0.14569111546360106,-0.7769768649257858,0.13260020724644478,-0.870039710292589,0.11994491700677981,-0.9670325984120961,0.10411487105318437,-1.057498403110255,0.08217774027825844,-1.132411452474119,0.0531265506173379,-1.1853664473166625,0.01842428593607507,-1.2126440147470299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1.9523032063974464,0.6236982630039642,-0.010023354223042982,-0.971265975665772,0.4597968239998923,11,-2.0088944195653555,01101101101,0.6046723557317851,-0.03559605937028454,0.13784898570321835,0.09615997106173213,0.569742978075383,-0.07584156337438175,-0.06866963018335286,0.05275753423046526,0.5242626182708073,-0.1348588423564045,0.0589634553098988,0.005893696646707348,0.47434048295954817,-0.2103200426481478,0.023807750132449564,0.01154637855823666,0.42529373977948776,-0.2943205007455585,0.38053382045017714,-0.37613347095535,0.34121556884048454,-0.4458840101501314,0.3066802175881639,-0.49785977025636696,0.2754285856943195,-0.5323418327190919,0.2461816808140728,-0.5553919216519556,0.21858786143518746,-0.5767594125945894,0.19331214442753722,-0.606702958248994,0.17151863850960195,-0.6528348409922666,0.15401810778977776,-0.7179975599937908,0.14049377436773824,-0.79973615823779,0.12918397590919112,-0.8913269122969129,0.11720618537754628,-0.9838002239137124,0.10143376699786687,-1.068142067582957,0.07959698109056672,-1.136944273471355,0.051171711525895315,-1.1851293959136087,0.017688250867193264,-1.2098272959254173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1.956907168468919,0.6151626444038988,-0.009037537164496724,-0.9624945951761198,0.4573208633794152,11,-2.0088944195653555,01101101101,0.5991312552584501,-0.03200241701753244,0.13651442859817411,0.09644015529412092,0.5693234941828618,-0.06810255305108077,-0.06741225610714269,0.05005313586004958,0.5296725135150511,-0.12147148547612616,0.06019715679452981,0.003715953679272565,0.4848199100472033,-0.19086392787681097,0.023351149331383436,0.009692341921758649,0.4390575785566313,-0.2700915906366551,0.3955009575356804,-0.3500018644628069,0.3557205922561439,-0.4213483772697621,0.3198923689350067,-0.47763301860203106,0.28734693240495673,-0.5170347651104994,0.257269726233713,-0.5428606182422409,0.2292693808438649,-0.5624425752212555,0.2036030981231222,-0.5848937177286437,0.1809942899992196,-0.618464931619095,0.1621438756317021,-0.668312077046074,0.14715984375914581,-0.7352857760257451,0.13516414135280266,-0.8159777682819017,0.12426927657919819,-0.9038411983628483,0.11197462539402035,-0.9908930287586676,0.09586792873901674,-1.0694022164669865,0.07439277887768452,-1.1330836200451706,0.04740530106455256,-1.1775888834708634,0.01630788801195438,-1.2003928038958027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-1.9614373399203435,0.6058611291172475,-0.008379584202416909,-0.9530837439821913,0.4541857837856091,11,-2.0088944195653555,01101101101,0.5920095017776416,-0.029558587476107408,0.13397226589051575,0.09383301608815126,0.5660170074855975,-0.06270498966126911,-0.06744499710783165,0.04884388938192081,0.5309098991817324,-0.11187414781892903,0.05887024871856486,0.0022217034856393085,0.4903552315294519,-0.17646450362909546,0.025117798448708942,0.00855034913159,0.44790137543553704,-0.25142530230733384,0.40634526116283276,-0.328760200325661,0.36738843449807157,-0.3998654328683666,0.33164552272894204,-0.4580027181483989,0.298954298095309,-0.5001848747973191,0.2688440350267215,-0.5279474342436187,0.2409782020306226,-0.54682583740852,0.21541080911018948,-0.5647436001109547,0.19257337075043135,-0.589822213932626,0.17301364002677477,-0.6282586105587271,0.1570015539780949,-0.6828484521512935,0.14416949982777463,-0.7524967075599687,0.1333452157973778,-0.8327364482289978,0.12266939786482706,-0.9169800186431745,0.10998920318952204,-0.9980468268618694,0.09341812793165714,-1.069497571694721,0.0718871382277477,-1.1264457825903353,0.04550463047049874,-1.165751782476694,0.01559728606698446,-1.1857409060114046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-1.9648763497919353,0.6041461212583095,-0.007422081105774694,-0.9506685223945864,0.4537264623019335,11,-2.0088944195653555,01101101101,0.5913987262723999,-0.026306161505945645,0.1327817097677807,0.09333952730860359,0.5673841736579387,-0.05622098999378075,-0.0650280183940513,0.04777659638300257,0.5347413383750799,-0.10118981989757991,0.05880312814243085,0.0019633454952478124,0.49671246674975256,-0.16120367689185175,0.02612411006520149,0.008969978187811424,0.45650400234099797,-0.23225631119772294,0.4167308505728023,-0.3074573340304537,0.37908014351077235,-0.3789048721605703,0.34426061497961785,-0.43979599434195454,0.31221690749783204,-0.4862001215374414,0.28251116769292284,-0.518029175935817,0.2547303977169303,-0.5389730328889029,0.22877991761758393,-0.555459113962835,0.20496927655134037,-0.5749560940375368,0.18387162027307977,-0.6041005705751811,0.16601666035156942,-0.6471417403705921,0.15153560647572725,-0.705075767106756,0.13989512162564688,-0.7756226724821355,0.12983055395399115,-0.8539543783633184,0.11952486161808092,-0.9338868386723916,0.106999028318422,-1.0091569283154906,0.09060802787400557,-1.07443576824326,0.06949654226693965,-1.1258646881584056,0.043873786612205146,-1.161086650436964,0.015016026995846154,-1.178919400755252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-1.9693459134916216,0.5835901326054693,-0.006196238658074379,-0.9407323988669175,0.4456671737774017,11,-2.0088944195653555,01101101101,0.5731864539463566,-0.022232415713057594,0.13136629113022694,0.08785941967754271,0.553394774199465,-0.048302021013717555,-0.058830304006154376,0.044290844753458083,0.526051070027598,-0.08832928322099601,0.0582745827624217,0.00024263151256488297,0.4934698416539566,-0.14282833330209688,0.02587910832152124,0.006855337443442917,0.45804040922508454,-0.20881552898196432,0.4218580837194405,-0.2805909781088645,0.3864731028092224,-0.35117962768796224,0.3528043894951903,-0.4140582678884307,0.3212179067655815,-0.4647307618578498,0.29172422635730627,-0.5017643805266924,0.2642196884731271,-0.5270489859613284,0.23868852659245865,-0.5452457832037265,0.21530106937587473,-0.5625974723450662,0.19437990538816427,-0.5854227329174139,0.17625049440818025,-0.6186774911930434,0.16103170178494294,-0.6649221338420545,0.14844339563828482,-0.7239050247610366,0.13770598502404413,-0.7927982760332932,0.12758105399763284,-0.8669522136240786,0.11656046438302725,-0.9409167686238049,0.10316566339279892,-1.0094404156752652,0.08628291003701385,-1.0682047951051186,0.06544454495616019,-1.1141652945793319,0.04097627906863517,-1.145506175395003,0.013963472079732062,-1.1613390432280455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-1.972792966016848,0.5741179972312912,-0.005886476873792059,-0.9391428491987744,0.4384439449607688,11,-2.0088944195653555,01101101101,0.5647237360836374,-0.020943363092350117,0.12888652969119507,0.0865801789006002,0.5467655245691172,-0.04510297445895991,-0.058397749036910515,0.04399624212904335,0.5217581449080776,-0.08211267431705832,0.05938196540024748,-4.613324643830017e-05,0.4916429418136567,-0.1328109362680168,0.025696119041217755,0.006338257925033522,0.45847674797081245,-0.19496704922212965,0.4241366917418583,-0.2638280235579777,0.39010268548746446,-0.333235146994504,0.3573569183656906,-0.39704065334858163,0.3264081175434212,-0.45049016192529096,0.29741615336009036,-0.4912533178466132,0.2703682555821565,-0.51987729875847,0.24524796956366912,-0.5395808633403893,0.22214441790711628,-0.5554637840635117,0.2012703466355088,-0.5733388391381518,0.18288681638708573,-0.598469620737931,0.1671619737261481,-0.6345011652678283,0.15401281455101512,-0.6828046701131488,0.1429861760680241,-0.7423426856424192,0.13322619434393485,-0.8100290940566022,0.123552451568799,-0.8814436336684743,0.11264219223988087,-0.9516919776889285,0.09927970453476549,-1.01619403784893,0.08261458806023014,-1.0712328403753542,0.062364203105604345,-1.1141859838469628,0.0389062099228997,-1.143463247836946,0.013232307015660522,-1.1582574128233798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-1.9763542640966696,0.5697408621204514,-0.005195684331228271,-0.935746277472653,0.4341765667540986,11,-2.0088944195653555,01101101101,0.5611897535520904,-0.018655138553320565,0.12762716707262145,0.08684545205990009,0.5447598572682756,-0.04065980225638763,-0.05705043949366815,0.044821351184100515,0.5216892527176789,-0.07485526477793153,0.05767977013939388,-0.0007263877860644739,0.4935914229155968,-0.12228684227793771,0.028200015538358502,0.005709072024885782,0.4622212223418877,-0.18120122756178392,0.42924511966091433,-0.24745653994782976,0.3960602469856531,-0.31544285358244,0.3636931264895353,-0.37930330293676884,0.3327885560362513,-0.43418316111963273,0.30367714283948666,-0.47723435129240405,0.276491831898829,-0.5081643300254497,0.25129390682077585,-0.5292255407196765,0.22816963808500196,-0.5446687295098678,0.2072696202696989,-0.559800453283904,0.1887809009098922,-0.5798654431955467,0.1728424696082755,-0.609000979556983,0.15943215787461573,-0.6494792855849456,0.14826287716415712,-0.7013752051498421,0.1387257165196568,-0.7626911157508265,0.12990668337498287,-0.8298656619350807,0.12068540832729543,-0.8985128123632988,0.1099025668267381,-0.9642008937740976,0.09656357837305826,-1.0230940014178465,0.08003429392942961,-1.0723341272683566,0.06018307476852368,-1.1101243868146777,0.037433515029730025,-1.135558799337553,0.012710916458346143,-1.1483093007049656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
