p,qaoa_energy,beta01,gamma01,u01,v01,num_qubits,min_energy,opt_var_assignment,beta02,gamma02,u02,v02,beta03,gamma03,u03,v03,beta04,gamma04,u04,v04,beta05,gamma05,u05,v05,beta06,gamma06,beta07,gamma07,beta08,gamma08,beta09,gamma09,beta10,gamma10,beta11,gamma11,beta12,gamma12,beta13,gamma13,beta14,gamma14,beta15,gamma15,beta16,gamma16,beta17,gamma17,beta18,gamma18,beta19,gamma19,beta20,gamma20,beta21,gamma21,beta22,gamma22,beta23,gamma23,beta24,gamma24,beta25,gamma25,beta26,gamma26,beta27,gamma27,beta28,gamma28,beta29,gamma29,beta30,gamma30,beta31,gamma31,beta32,gamma32,beta33,gamma33,beta34,gamma34,beta35,gamma35,beta36,gamma36,beta37,gamma37,beta38,gamma38,beta39,gamma39,beta40,gamma40,beta41,gamma41,beta42,gamma42,beta43,gamma43,beta44,gamma44,beta45,gamma45,beta46,gamma46,beta47,gamma47,beta48,gamma48,beta49,gamma49,beta50,gamma50
1,0.6557203025432825,0.5824782917578716,-0.3705690725744704,-0.5240638082308359,0.8237486999918946,11,-2.0088944195653555,01101101101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08107791757529004,0.643609240054547,-0.2648684198901104,-0.7404733464967185,0.7162365705960755,11,-2.0088944195653555,01101101101,0.3178061982534645,-0.69177048300964,0.0200225909019066,-0.04731604878563901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.4407160564663313,0.6953586835233174,-0.2623962449315963,-1.1089501861913351,0.6735158836331182,11,-2.0088944195653555,01101101101,0.3953526528691219,-0.6087520558862862,0.15792521562803344,0.03386814410578722,0.22816084756397942,-1.2061582734906733,-0.09011955700641118,0.08053465591963646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.877759663652899,0.7191784929686833,-0.23565925397719215,-1.1376544068155328,0.6453229968134426,11,-2.0088944195653555,01101101101,0.444166547776813,-0.5442930399975341,0.03771685053216709,0.04335432202943239,0.316676626112012,-0.9926796691571538,0.023746660510992033,0.09817437665855566,0.20523426835419195,-1.1231387798933887,-0.055478886707585974,-0.02222235328251363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1.2341881218372714,0.7204514897780973,-0.20773237901538955,-1.0056812002814883,0.6079063844821669,11,-2.0088944195653555,01101101101,0.4602744372566469,-0.4633480909520771,-0.0645147162735245,0.04185689540891831,0.3357968899664112,-0.813287957869228,0.02358881453103138,0.11518426025235917,0.28598665510640037,-0.8719803633280939,0.009519427650574858,-0.008304206735734575,0.19687103989055688,-0.930788797654635,-0.046858701396761654,0.03232749390804975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1.4450556510593833,0.7294233540513776,-0.17687888274158017,-0.9549356796795156,0.578854256291124,11,-2.0088944195653555,01101101101,0.463013048433659,-0.4007286511865407,-0.06689800674793091,0.042635132693835405,0.35079436748176557,-0.6506708987497557,-0.0034016190613268197,0.12051436000107041,0.298927814841472,-0.8225484981907394,0.027391175162365326,0.013863685796819654,0.27608215241908185,-0.7837427694719366,-0.050108385365218194,0.03157022605831361,0.15077266127213074,-0.9235093990411536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.571564172462307,0.7763481976104004,-0.1316134000185176,-0.9228585908155865,0.5837293072937098,11,-2.0088944195653555,01101101101,0.509450164502228,-0.32441884105189855,-0.02760499644411849,0.05689344334818977,0.364881838371681,-0.5130928133580762,-0.021055602734349595,0.11905200045162816,0.3364553071827282,-0.7182611870808991,0.041936598033522274,0.03191237614987639,0.2818165538372231,-0.7496441365000933,-0.04443012953712881,0.03612341890645181,0.24440302134293684,-0.7802222019355678,0.11792683135803168,-0.9621201490128881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1.6577203789016357,0.8152687594166188,-0.10816179851366076,-0.9317876896126277,0.5854455025705219,11,-2.0088944195653555,01101101101,0.5608125252332358,-0.2811960536102217,0.005655889789339785,0.07428976500733132,0.380596420473047,-0.4366076377379319,-0.043201231880695336,0.11413683524241872,0.35411158666070197,-0.6232673796561042,0.054043821285581765,0.04461064439592994,0.3130685656755337,-0.7232743336388144,-0.04190443909704556,0.04162602041369834,0.2475688703320264,-0.7250418185645551,0.20638562330020443,-0.8370552473251285,0.09349890091191379,-1.0391736448523976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1.7068612035351114,0.8184175695523571,-0.08862803093864309,-0.9287000134741804,0.57794113526907,11,-2.0088944195653555,01101101101,0.6064278773998358,-0.24823802124723557,0.020548075703364692,0.08579150239002582,0.4121941657611148,-0.3934045736112862,-0.05490960949444054,0.10351903411185633,0.35488550042706046,-0.5451492321110529,0.052083875474868646,0.04766897250722922,0.3354495894299021,-0.659835302633984,-0.027821830166292173,0.03809778758983702,0.27391102429054315,-0.6983890272413976,0.21508424989887978,-0.7439527438499413,0.16980464050436164,-0.892643360564954,0.07151285301349819,-1.0571165710564245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.753308441970728,0.8050740238395082,-0.0778454060351518,-0.9414834899468055,0.564791940712821,11,-2.0088944195653555,01101101101,0.6273407585207258,-0.22943726800008535,0.028192269908463217,0.08984611730669603,0.44031073451179836,-0.3735155999517976,-0.06646435505602863,0.09007031498904952,0.36396428316221885,-0.5055816121228781,0.0447445570935657,0.04820193292820075,0.3503503045149372,-0.6065074424925254,-0.013092620475591643,0.03990823732335121,0.30572947198427697,-0.6632718541357885,0.23250132568477708,-0.7081620237322206,0.18262534771594913,-0.8017366490767448,0.14268581864783575,-0.9519911110251053,0.0585402087616437,-1.0755062963052655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
