fraction,gs,fes,gap,num_qubits
0.0,-8.0,-6.0,2.0,8
0.02,-7.8411,-5.8861,1.955,8
0.04,-7.6824,-5.7724,1.91,8
0.06,-7.5239,-5.6588,1.8651,8
0.08,-7.3657,-5.5454,1.8203,8
0.1,-7.2077,-5.4323,1.7754,8
0.12,-7.0499,-5.3193,1.7306,8
0.14,-6.8924,-5.2066,1.6858,8
0.16,-6.7352,-5.0941,1.6411,8
0.18,-6.5783,-4.9819,1.5964,8
0.2,-6.4218,-4.87,1.5518,8
0.22,-6.2655,-4.7583,1.5072,8
0.24,-6.1097,-4.647,1.4627,8
0.26,-5.9543,-4.536,1.4183,8
0.28,-5.7993,-4.4254,1.3739,8
0.3,-5.6448,-4.3151,1.3297,8
0.32,-5.4907,-4.2053,1.2854,8
0.34,-5.3373,-4.0959,1.2414,8
0.36,-5.1844,-3.987,1.1974,8
0.38,-5.0321,-3.8787,1.1534,8
0.4,-4.8805,-3.7708,1.1097,8
0.42,-4.7297,-3.6636,1.0661,8
0.44,-4.5796,-3.557,1.0226,8
0.46,-4.4304,-3.4511,0.9793,8
0.48,-4.2822,-3.3459,0.9363,8
0.5,-4.135,-3.2415,0.8935,8
0.52,-3.9889,-3.1379,0.851,8
0.54,-3.844,-3.0353,0.8087,8
0.56,-3.7004,-2.9336,0.7668,8
0.58,-3.5583,-2.833,0.7253,8
0.6,-3.4178,-2.7335,0.6843,8
0.62,-3.279,-2.6352,0.6438,8
0.64,-3.1421,-2.5381,0.604,8
0.66,-3.0073,-2.4423,0.565,8
0.68,-2.8749,-2.3481,0.5268,8
0.7000000000000001,-2.7451,-2.2566,0.4885,8
0.72,-2.6183,-2.1672,0.4511,8
0.74,-2.4948,-2.0801,0.4147,8
0.76,-2.3752,-1.9955,0.3797,8
0.78,-2.2602,-1.9138,0.3464,8
0.8,-2.1504,-1.8351,0.3153,8
0.8200000000000001,-2.0469,-1.76,0.2869,8
0.84,-1.9508,-1.6888,0.262,8
0.86,-1.8634,-1.6219,0.2415,8
0.88,-1.7862,-1.5596,0.2266,8
0.9,-1.7207,-1.5024,0.2183,8
0.92,-1.6682,-1.4761,0.1921,8
0.9400000000000001,-1.6304,-1.4685,0.1619,8
0.96,-1.6092,-1.4724,0.1368,8
0.98,-1.6075,-1.4874,0.1201,8
1.0,-1.6283,-1.5127,0.1156,8
