fraction,gs,fes,gap,num_qubits
0.0,-6.0,-4.0,2.0,6
0.02,-5.8636,-3.9136,1.95,6
0.04,-5.7275,-3.8273,1.9002,6
0.06,-5.5918,-3.7413,1.8505,6
0.08,-5.4563,-3.6554,1.8009,6
0.1,-5.3212,-3.5698,1.7514,6
0.12,-5.1865,-3.4844,1.7021,6
0.14,-5.0521,-3.3993,1.6528,6
0.16,-4.9181,-3.3144,1.6037,6
0.18,-4.7846,-3.2298,1.5548,6
0.2,-4.6514,-3.1454,1.506,6
0.22,-4.5188,-3.0613,1.4575,6
0.24,-4.3866,-2.9776,1.409,6
0.26,-4.255,-2.8941,1.3609,6
0.28,-4.124,-2.811,1.313,6
0.3,-3.9935,-2.7282,1.2653,6
0.32,-3.8636,-2.6458,1.2178,6
0.34,-3.7345,-2.5637,1.1708,6
0.36,-3.606,-2.4821,1.1239,6
0.38,-3.4784,-2.4008,1.0776,6
0.4,-3.3516,-2.32,1.0316,6
0.42,-3.2257,-2.2395,0.9862,6
0.44,-3.1008,-2.1596,0.9412,6
0.46,-2.977,-2.08,0.897,6
0.48,-2.8545,-2.0009,0.8536,6
0.5,-2.7332,-1.9223,0.8109,6
0.52,-2.6135,-1.8441,0.7694,6
0.54,-2.4954,-1.7663,0.7291,6
0.56,-2.3792,-1.689,0.6902,6
0.58,-2.2652,-1.612,0.6532,6
0.6,-2.1535,-1.5355,0.618,6
0.62,-2.0446,-1.4593,0.5853,6
0.64,-1.9389,-1.3834,0.5555,6
0.66,-1.8368,-1.308,0.5288,6
0.68,-1.7389,-1.2333,0.5056,6
0.7000000000000001,-1.6456,-1.1597,0.4859,6
0.72,-1.5576,-1.0889,0.4687,6
0.74,-1.4755,-1.0378,0.4377,6
0.76,-1.3996,-0.9903,0.4093,6
0.78,-1.3306,-0.9465,0.3841,6
0.8,-1.2688,-0.9059,0.3629,6
0.8200000000000001,-1.2146,-0.8684,0.3462,6
0.84,-1.1684,-0.8336,0.3348,6
0.86,-1.1303,-0.8012,0.3291,6
0.88,-1.1007,-0.7713,0.3294,6
0.9,-1.0794,-0.7597,0.3197,6
0.92,-1.0665,-0.7601,0.3064,6
0.9400000000000001,-1.0618,-0.765,0.2968,6
0.96,-1.0651,-0.7737,0.2914,6
0.98,-1.0761,-0.7857,0.2904,6
1.0,-1.0944,-0.8004,0.294,6
