fraction,gs,fes,gap,num_qubits
0.0,-10.0,-8.0,2.0,10
0.02,-9.7759,-7.8267,1.9492,10
0.04,-9.5528,-7.654,1.8988,10
0.06,-9.3308,-7.4821,1.8487,10
0.08,-9.1098,-7.311,1.7988,10
0.1,-8.8899,-7.1406,1.7493,10
0.12,-8.6712,-6.9711,1.7001,10
0.14,-8.4537,-6.8025,1.6512,10
0.16,-8.2375,-6.6347,1.6028,10
0.18,-8.0225,-6.4679,1.5546,10
0.2,-7.8088,-6.302,1.5068,10
0.22,-7.5965,-6.1371,1.4594,10
0.24,-7.3857,-5.9733,1.4124,10
0.26,-7.1764,-5.8105,1.3659,10
0.28,-6.9686,-5.6488,1.3198,10
0.3,-6.7625,-5.4883,1.2742,10
0.32,-6.5582,-5.329,1.2292,10
0.34,-6.3556,-5.1709,1.1847,10
0.36,-6.1549,-5.014,1.1409,10
0.38,-5.9563,-4.8585,1.0978,10
0.4,-5.7598,-4.7043,1.0555,10
0.42,-5.5655,-4.5515,1.014,10
0.44,-5.3737,-4.4002,0.9735,10
0.46,-5.1844,-4.2504,0.934,10
0.48,-4.9979,-4.1022,0.8957,10
0.5,-4.8144,-3.9556,0.8588,10
0.52,-4.6341,-3.8108,0.8233,10
0.54,-4.4572,-3.668,0.7892,10
0.56,-4.2842,-3.5276,0.7566,10
0.58,-4.1152,-3.3902,0.725,10
0.6,-3.9506,-3.2571,0.6935,10
0.62,-3.791,-3.1302,0.6608,10
0.64,-3.6366,-3.0151,0.6215,10
0.66,-3.4879,-2.9055,0.5824,10
0.68,-3.3455,-2.8015,0.544,10
0.7000000000000001,-3.2099,-2.7037,0.5062,10
0.72,-3.0815,-2.6125,0.469,10
0.74,-2.961,-2.5285,0.4325,10
0.76,-2.849,-2.452,0.397,10
0.78,-2.746,-2.3836,0.3624,10
0.8,-2.6527,-2.3239,0.3288,10
0.8200000000000001,-2.5701,-2.2733,0.2968,10
0.84,-2.4987,-2.2323,0.2664,10
0.86,-2.4394,-2.2013,0.2381,10
0.88,-2.3929,-2.1804,0.2125,10
0.9,-2.3599,-2.1694,0.1905,10
0.92,-2.341,-2.1679,0.1731,10
0.9400000000000001,-2.3368,-2.1756,0.1612,10
0.96,-2.3476,-2.1922,0.1554,10
0.98,-2.3737,-2.2188,0.1549,10
1.0,-2.4148,-2.2575,0.1573,10
