fraction,gs,fes,gap,num_qubits
0.0,-4.0,-2.0,2.0,4
0.02,-3.925,-1.97,1.955,4
0.04,-3.8501,-1.9401,1.91,4
0.06,-3.7754,-1.9103,1.8651,4
0.08,-3.7009,-1.8807,1.8202,4
0.1,-3.6266,-1.8512,1.7754,4
0.12,-3.5525,-1.8219,1.7306,4
0.14,-3.4787,-1.7928,1.6859,4
0.16,-3.405,-1.7639,1.6411,4
0.18,-3.3317,-1.7352,1.5965,4
0.2,-3.2586,-1.7068,1.5518,4
0.22,-3.1858,-1.6785,1.5073,4
0.24,-3.1133,-1.6505,1.4628,4
0.26,-3.0411,-1.6228,1.4183,4
0.28,-2.9694,-1.5954,1.374,4
0.3,-2.898,-1.5683,1.3297,4
0.32,-2.827,-1.5415,1.2855,4
0.34,-2.7565,-1.5151,1.2414,4
0.36,-2.6865,-1.489,1.1975,4
0.38,-2.6171,-1.4634,1.1537,4
0.4,-2.5482,-1.4382,1.11,4
0.42,-2.48,-1.4135,1.0665,4
0.44,-2.4124,-1.3894,1.023,4
0.46,-2.3456,-1.3658,0.9798,4
0.48,-2.2796,-1.3427,0.9369,4
0.5,-2.2145,-1.3203,0.8942,4
0.52,-2.1504,-1.2986,0.8518,4
0.54,-2.0873,-1.2777,0.8096,4
0.56,-2.0253,-1.2575,0.7678,4
0.58,-1.9646,-1.2381,0.7265,4
0.6,-1.9053,-1.2196,0.6857,4
0.62,-1.8476,-1.202,0.6456,4
0.64,-1.7915,-1.1854,0.6061,4
0.66,-1.7372,-1.1697,0.5675,4
0.68,-1.685,-1.1551,0.5299,4
0.7000000000000001,-1.6351,-1.1415,0.4936,4
0.72,-1.5877,-1.1289,0.4588,4
0.74,-1.5432,-1.1172,0.426,4
0.76,-1.5019,-1.1064,0.3955,4
0.78,-1.4643,-1.0963,0.368,4
0.8,-1.4309,-1.0869,0.344,4
0.8200000000000001,-1.4023,-1.0779,0.3244,4
0.84,-1.3789,-1.0691,0.3098,4
0.86,-1.3615,-1.0604,0.3011,4
0.88,-1.3503,-1.052,0.2983,4
0.9,-1.3456,-1.044,0.3016,4
0.92,-1.3475,-1.0372,0.3103,4
0.9400000000000001,-1.3558,-1.0325,0.3233,4
0.96,-1.3702,-1.0315,0.3387,4
0.98,-1.3904,-1.0369,0.3535,4
1.0,-1.4161,-1.0521,0.364,4
